File,Model,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
linear-20-7_data.csv,GENIE3,0.2366486585886623,78.0,45.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,False,False,True,True,True,True,True,True,True
linear-20-0_data.csv,GENIE3,0.21188233230271902,85.0,47.0,45.0,42.0,42.0,42.0,42.0,42.0,42.0,False,False,False,True,True,True,True,True,True
linear-20-4_data.csv,GENIE3,0.31153449209356804,56.0,37.0,38.0,36.0,36.0,36.0,36.0,36.0,36.0,False,False,False,True,True,True,True,True,True
linear-20-9_data.csv,GENIE3,0.3171592326211381,64.0,42.0,38.0,38.0,37.0,37.0,37.0,37.0,37.0,False,False,False,True,True,True,True,True,True
linear-20-8_data.csv,GENIE3,0.264798639427544,70.0,29.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,False,False,True,True,True,True,True,True,True
linear-20-6_data.csv,GENIE3,0.22172684784602353,70.0,44.0,42.0,41.0,40.0,39.0,39.0,39.0,39.0,False,False,False,False,True,True,True,True,True
linear-20-1_data.csv,GENIE3,0.3358096540848535,60.0,45.0,44.0,43.0,44.0,43.0,43.0,43.0,43.0,False,False,False,False,True,True,True,True,True
linear-20-2_data.csv,GENIE3,0.3313979609148814,51.0,43.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,False,False,False,True,True,True,True,True,True
linear-20-5_data.csv,GENIE3,0.19288556873843143,98.0,60.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,False,False,True,True,True,True,True,True,True
linear-20-3_data.csv,GENIE3,0.2879738397961316,74.0,51.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,False,False,False,True,True,True,True,True,True
