File,Model,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
sigmoid_mix-20-9_data.csv,GENIE3,0.21732266540627618,78.0,39.0,36.0,34.0,34.0,34.0,34.0,34.0,34.0,False,False,True,True,True,True,True,True,True
sigmoid_mix-20-7_data.csv,GENIE3,0.25856700658714893,82.0,49.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,False,False,False,True,True,True,True,True,True
sigmoid_mix-20-8_data.csv,GENIE3,0.23289987659842004,79.0,53.0,45.0,43.0,43.0,43.0,43.0,43.0,43.0,False,False,True,True,True,True,True,True,True
sigmoid_mix-20-1_data.csv,GENIE3,0.23728969869625027,90.0,55.0,52.0,50.0,50.0,50.0,50.0,50.0,50.0,False,False,True,True,True,True,True,True,True
sigmoid_mix-20-5_data.csv,GENIE3,0.24666223810908242,82.0,52.0,48.0,48.0,47.0,47.0,47.0,47.0,47.0,False,False,False,True,True,True,True,True,True
sigmoid_mix-20-3_data.csv,GENIE3,0.22742307351219615,74.0,43.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,False,False,False,False,True,True,True,True,True
sigmoid_mix-20-2_data.csv,GENIE3,0.21886570640107317,71.0,45.0,44.0,42.0,42.0,42.0,42.0,42.0,42.0,False,False,True,True,True,True,True,True,True
sigmoid_mix-20-4_data.csv,GENIE3,0.2262458590156878,79.0,50.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0,False,False,False,True,True,True,True,True,True
sigmoid_mix-20-0_data.csv,GENIE3,0.27776153556923455,76.0,53.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,False,False,False,True,True,True,True,True
sigmoid_mix-20-6_data.csv,GENIE3,0.21827385052208892,75.0,43.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0,False,False,True,True,True,True,True,True,True
