File,Model,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
syntrenHop1_100_7_data.csv,GENIE3,0.13805385314049248,234.0,158.0,154.0,152.0,152.0,152.0,152.0,152.0,152.0,False,False,False,True,True,True,True,True,True
syntrenHop1_100_8_data.csv,GENIE3,0.14473625934364992,241.0,168.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,False,False,False,True,True,True,True,True,True
syntrenHop1_100_9_data.csv,GENIE3,0.12677388283668659,208.0,158.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,False,False,True,True,True,True,True,True,True
syntrenHop1_100_6_data.csv,GENIE3,0.1252299325804832,206.0,159.0,158.0,156.0,156.0,156.0,156.0,156.0,156.0,False,False,False,True,True,True,True,True,True
syntrenHop1_100_0_data.csv,GENIE3,0.12820125234165008,252.0,162.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,False,False,True,True,True,True,True,True,True
syntrenHop1_100_3_data.csv,GENIE3,0.1662651324460339,216.0,151.0,148.0,147.0,147.0,147.0,147.0,147.0,147.0,False,False,False,True,True,True,True,True,True
syntrenHop1_100_4_data.csv,GENIE3,0.1295892276803215,220.0,160.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,False,False,True,True,True,True,True,True,True
syntrenHop1_100_5_data.csv,GENIE3,0.14831122096455537,202.0,152.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,False,False,True,True,True,True,True,True,True
syntrenHop1_100_2_data.csv,GENIE3,0.11458191032449981,204.0,165.0,160.0,158.0,158.0,158.0,158.0,158.0,158.0,False,False,False,True,True,True,True,True,True
syntrenHop1_100_1_data.csv,GENIE3,0.12327960756850075,224.0,151.0,150.0,148.0,148.0,148.0,148.0,148.0,148.0,False,False,False,True,True,True,True,True,True
