,AT5G04140,AT1G70530,AT5G10450,AT1G21670,AT2G25000,AT5G55050,AT4G20860,AT1G72300,AT4G20000,AT1G08090,AT4G01250,AT3G48650,AT4G33430,AT2G22122,AT1G51800,AT3G52450,AT4G35180,AT5G53110,AT1G30730,AT2G39200,AT1G14780,AT4G21870,AT5G46330,AT3G46280,AT1G77380,AT3G49780,AT1G52200,AT5G50200,AT1G15950,AT1G64170,AT5G01540,AT3G45060,AT3G29034,AT1G51890,AT2G30490,AT4G28140,AT5G13930,AT5G06950,AT5G20250,AT1G64280,AT5G20480,AT4G39400,AT5G07440,AT4G23210,AT5G59080,AT5G53460,AT5G67450,AT2G44370,AT5G44585,AT2G25470,AT1G51620,AT5G54160,AT2G41220,AT5G66420,AT2G39530,AT4G30190,AT2G01950,AT1G37130,AT1G12940,AT3G19010,AT1G30720,AT2G15620,AT2G44380,AT1G02450,AT2G02220,AT1G19380,AT2G38900,AT4G24160,AT2G37040,AT1G65490,AT3G59880,AT2G36690,AT4G38560,AT3G26210,AT4G08850,AT2G42360,AT5G37600,AT1G49000,AT3G19930,AT2G30360,AT1G51680,AT3G50470,AT1G61380,AT1G35160,AT3G50480,AT2G31400,AT5G39580,AT1G05300,AT4G01700,AT1G65690,AT3G21080,AT4G27730,AT4G31550,AT4G21410,AT5G40780,AT1G61360,AT2G17740,AT5G48430,AT3G25882,AT2G19190,AT2G44490,AT3G19450,AT2G37710,AT4G31800,AT3G22060
AT5G04140,0,-0.2296868251446196,0.004052802789292145,-0.07195280121468632,0.047758047308432285,-0.09527371427215632,-0.3621933521352224,0.03278356569884899,-0.20156454036531654,0.05801898696792599,-0.24559399376702593,-0.18418815972775407,-0.17037994934258607,0.25576333420188907,-0.3216865207152216,-0.24202958705931732,-0.32414622898316453,-0.2108951034727958,-0.24894214670431908,-0.285186102810805,-0.12195439876332212,0.22136638457769045,-0.06503033990573714,-0.37467065844908937,-0.3354612322903267,-0.3263617288952723,-0.4196759700946436,-0.42690096686644485,-0.26199266743010774,-0.04604951628739531,-0.22788864649370896,-0.428525565415424,-0.38228504512158024,-0.38588804615863115,-0.2856113289835271,-0.28859235654407184,0.21919845307277716,-0.1350278608625388,-0.1436354010491229,-0.19194803405523983,-0.11269790193342806,-0.03308150717812948,-0.6418183785784435,-0.30720476409257064,0.39376025479482785,0.271163693307775,-0.08493289451272973,-0.262447100290554,-0.22215262872155814,0.15803182189087972,-0.24999479813576944,-0.30911764537009173,0.08332736713936495,-0.3092299252866591,-0.426866316090012,-0.3117745016597014,0.09156742066565472,-0.2544400332702792,0.0027637817284693494,-0.3166083685517372,-0.35762787119930556,0.49977575282526837,-0.04375845987063638,-0.14033127141955992,-0.24688792922536995,-0.07334906754029127,-0.4094175212709758,-0.38451650751001376,-0.3494835016040215,0.26513481950840495,-0.018118529530218266,-0.311861619465106,-0.15357873458799973,-0.1505245087126964,-0.13174436602772716,-0.4535512849247324,-0.26439258316915776,-0.17505818697704512,-0.23217096389548766,-0.4403297149822986,-0.27116171446426834,-0.20258107806515435,-0.1276791535227961,0.12986374399734127,-0.21129007283019954,0.21886468424931302,-0.3995027533069711,-0.03084814666145679,-0.1603867554899785,-0.5581216836135605,-0.27442052729582783,0.17432635646123765,-0.18923796896833636,-0.12862253000612378,-0.3945851292314134,-0.2947630720314842,-0.3977829383629786,-0.44204804818402715,-0.3088438059297142,-0.3445322057863577,-0.08312374273455354,0.45614128285645517,-0.03654681043304266,-0.21611708053163628,-0.3103505995664217
AT1G70530,0,0.0,0.027279915547367035,0.5173847671025752,0.14595262662791025,0.41492501951125677,0.7038356891611434,0.1260511059647393,0.6032014563364547,-0.058346469439215246,0.6676271374369203,0.649871162396453,0.3410985604255382,-0.1962189442662586,0.6878495089586882,0.6319892198666723,0.6824020975073684,0.610862272457373,0.5616106068421194,0.7188074514428847,0.3310073141873496,-0.1293508753904263,0.3879618722538262,0.5481935178294869,0.3256874279366042,0.543673249021215,0.6927675556804685,0.5057317988857675,0.0022492795324874264,0.4095278876592779,0.6825893648256077,0.28359410305185623,0.5252700880099092,0.6789356504539189,0.49708351221635255,0.3358486707371081,-0.25925573565462934,-0.10737875555730862,0.2824617367164014,0.7224909129168771,0.4427776399629058,-0.03514231873899818,0.2980422312630758,0.6070589970194881,0.00014368169973594673,-0.1973637926434576,0.49269573769636055,0.6520123057026453,0.5540350100673572,0.3691605133985852,0.6499334241155461,0.23401349630868387,-0.02737451347698276,0.44764828096367365,0.5053457919516102,0.22846869322485455,0.004694550577785387,0.08875927672647502,0.3406220772242464,0.6788563000556205,0.5446228124942114,-0.2958339573267592,0.4108376860290822,0.42067218842434784,0.8261471695546427,0.4646031496260867,0.33972612527469864,0.5574227845476466,0.38857126600502634,0.19395392227247493,0.3253060847641317,0.6983214546104496,0.6056858125581506,0.5368647499442302,0.621532920966599,0.5923568130755955,0.5714227933731921,0.6824509724880191,0.3724501018693806,0.2728426649274137,0.40266689677737216,0.6109277712711845,0.7073943768453126,-0.15425323896681734,0.566127815458143,-0.074895620111937,0.6127996964527375,0.5160933512172186,0.5443802497794784,0.6331090794418142,0.513802151346134,-0.009639273807571137,0.6124064933325041,0.5411265393756401,0.5947219095339563,0.6668872864487609,0.6112649333344772,0.549494813721696,0.5098848461757545,0.5564549092227471,0.744693891526199,-0.2573662715125059,0.6678483901886689,0.5535103181340503,0.6338863361347331
AT5G10450,0,0.0,0.0,0.287046423568738,0.3534524543311754,-0.0383420337812728,0.03141184247189127,-0.0028596309728619184,0.07459120274772414,-0.013629082871375332,-0.007029744629275692,-0.08547398754599705,0.00574423851551679,0.1803810279324253,0.044357412260321354,-0.07392258949711955,0.10168081473200256,0.13114329093017077,0.17544521476308114,0.07075483425397908,-0.055567130739167594,0.035315440807221425,-0.09332234920504112,0.13007799556922633,0.08907099912323342,0.0845321598519148,0.07128675532925213,0.15902096702691307,-0.22936553970784074,0.24582338705891074,-0.020381877033071677,-0.18578367668589973,0.043194756851168664,0.0830139216490717,-0.003653436152020097,-0.20632063389328503,-0.2702271065998839,-0.051915135595246985,0.429171194734819,0.0659894872733747,0.07838203286942497,0.08050010050798166,0.0280324352817163,0.1729827239587972,0.12087105534913775,0.00021848555865278826,0.10698859703864165,0.10271495269848094,0.23719488217168885,0.17774678882232547,0.13202325374068505,-0.12923449608000068,0.18237909369624108,0.04350794780606432,0.0011335057995598046,0.0990112328601477,-0.11289552419472712,-0.16985153867358938,0.15878413230519547,-0.1270465205541201,0.07520029346018006,-0.14701477723253956,0.31048777854097376,0.05886390850029795,0.09772299122690496,-0.11416856471290514,-0.15821043800857643,-0.24190064573040163,-0.19169041947908028,0.053425099596120185,-0.047169114105377,0.08423831329760954,0.07941048676507705,0.3959506454915291,-0.009094429212303879,0.02018507322486912,0.18895508919582593,-0.00992032455298701,0.14229578331649698,-0.09189675100999328,-0.14856191541313307,0.20151485387445342,0.045147213335461005,-0.1400831718286779,0.19115869755333048,0.07206545805019818,-0.07756451088448647,0.17116295984265717,-0.09264554396638415,0.00489122078816148,0.2959642940390846,0.3248274182813155,-0.16183002581275807,-0.0864882107673338,0.2372082990585662,-0.08460339985642161,0.09470295980845073,0.03824971278950814,0.11196989365788956,0.039834455007541326,-0.05105161681146994,0.09519916664115534,0.051496198601882925,0.09039189990297307,0.037849556485921886
AT1G21670,0,0.0,0.0,0.0,0.17717852864909012,0.3475520867836236,0.4421280963898222,0.028481354963292228,0.41263995446347074,0.049630854171441724,0.4469349492469032,0.31480411567167554,0.22569838369755682,-0.09657606420156542,0.45071531379565255,0.33520745197225116,0.38403570805427406,0.33643521215439587,0.5190367941714653,0.49558079817582507,0.13286886905857842,-0.08496110816382313,0.24500181720740907,0.47677308472391644,0.23271071005370228,0.4678349748617882,0.4993062470763208,0.3938629392855349,-0.21031179230044716,0.47143897948568697,0.4137048467309915,0.0807644852325374,0.38683100927520236,0.44106016937397574,0.2860454946965295,0.027311214427937488,-0.23865532387092864,-0.03297888273866563,0.39500005215953055,0.4288779472134398,0.29006576206369195,0.1215321534222848,0.15525051575215573,0.44927055630173046,0.29153005799889264,-0.24805248821257472,0.3633740633073011,0.5122064788656151,0.4948952918711698,0.3689313967086356,0.4482250250943215,0.05377400070754205,0.040283656313706145,0.3421352255103137,0.3991596928458234,0.1055740889187637,0.06707716978271595,-0.20775556942058815,0.13029226222555496,0.34843487779576426,0.45004680202470765,-0.2933383095674215,0.4433863822797662,0.32742977380783717,0.49579074348186986,0.2744266049090212,0.04428829027784405,0.11980351390148969,0.0878324633168168,0.09973092409950558,0.2196569159157641,0.4755190695079898,0.359162897684745,0.5650135327456292,0.3621089022671353,0.34107423708205215,0.4402412646669878,0.45033737084686576,0.29791524739498626,0.16135483466673864,0.16201378516421855,0.4698809462306027,0.520899264734964,-0.061880629623176205,0.33260162857397524,0.03177393941096226,0.3686405915790951,0.5089158504261435,0.31594080486462156,0.3122399843060955,0.3969139807567777,0.23883455454355282,0.32013553210500406,0.3625609635823381,0.383997383245564,0.33004415072908583,0.4318786242436371,0.44406450109347523,0.23160567008287614,0.3836124680915199,0.3921195800778217,-0.23739586396679904,0.43210276159545946,0.20227753898484754,0.40346237605199553
AT2G25000,0,0.0,0.0,0.0,0.0,0.3544520354289504,0.1400612282086989,-0.12073834239271335,0.42119682500560995,0.01692662858551832,0.003264696607375742,0.10997221058285739,0.024991428297486747,0.01004493997087446,0.19735857635807819,0.05643504846940863,0.4208633852132834,0.4601493867469068,0.20485130358903322,0.24592676241135172,0.22306492487061658,-0.02097582591102768,-0.007755032131240474,0.2636396027900616,0.2662688804433267,0.05470150218189269,0.15187461966226537,0.4126111873956923,0.0014103663901143392,0.6286607358715209,0.27355698982603055,0.14980874312903228,0.2775829310132034,0.26438320951717287,0.21884841595125834,0.014401217561463257,-0.0031957083333285503,-0.21692410399315534,-0.14917166945170562,0.2266567345209972,0.051451747076914515,0.041990466777068795,-0.2508671143167783,0.42314786853809466,0.09314580211998584,-0.054119783694485994,0.488775907418261,0.36145726974598413,0.38896699844210614,0.5091823032897461,0.3318488121258021,0.2597360312342332,0.45246389057787906,0.2576556286979745,0.14593347156047426,0.38233492641420763,-0.1697094651267743,-0.14857965622752223,0.6051222845278371,0.030956988728829217,0.1057807120077631,-0.18815331271154082,0.4948509635172428,0.42305997602869205,0.23446570336746614,0.1693966095975819,0.05649479991685156,-0.22168758717634207,0.0476636630737796,0.333935404396679,0.4608744487488209,0.1271994178314525,0.44106867483984147,0.6018113335725342,0.22862131334091976,0.2644225234812819,0.549697570850211,0.32684199787487894,0.15926014926390922,-0.26133293856744294,-0.006315857958843136,0.35379111384454526,0.39104122007138525,-0.3300397580730082,0.4049942901525617,-0.031011555792900415,0.10003184032065915,0.43526478352975134,0.26041049743275996,0.2189308226665955,0.49074307253173727,0.6130583560506381,0.011564048094637161,-0.011545472940724208,0.39323009331568237,0.06679452160027329,0.24696017397629408,0.025986179932604117,0.47188483335050935,0.20974224179109033,0.093758482222747,0.4003413869855391,0.5252283958387755,0.3787597328291568,0.18795401129948916
AT5G55050,0,0.0,0.0,0.0,0.0,0.0,0.5262875080356834,-0.01492788795812272,0.556838095202684,0.24207348244886018,0.3579488586666238,0.2910340352051131,0.2587454305504081,-0.12257871859971983,0.517518009555641,0.3517450959556019,0.45310232435373793,0.5492361428153284,0.41554327239553757,0.5268918654501148,0.48883360803138015,-0.08135847232814587,0.0989745579480159,0.5695329965108732,0.31777355476485236,0.46248907947247114,0.5200680582729863,0.5189552133370388,0.09098395933000496,0.4922148232659905,0.45935842949532396,0.1837045395518048,0.5131239365920955,0.4582281542127154,0.5150126963778359,0.14206439291563314,-0.11344438631558376,-0.10969702207193435,0.02726152068164463,0.3677225445114832,0.1635907306917574,-0.06565550776175694,0.10524336208782697,0.5691648429273415,0.10818622940871342,-0.40438682034089357,0.545549979081607,0.5366699290965679,0.47656013345614573,0.5230826207553264,0.5689331229106002,0.38276955934573165,0.031480290983355884,0.5003658543058901,0.5730994545515168,0.3219849929792047,-0.016282601560885762,-0.16130120454403024,0.4193620973311151,0.4154733123165755,0.33355626228401,-0.20790314294434584,0.5131864421403952,0.40662063143386934,0.4442826187052728,0.49794365566289805,0.08866085668538416,0.20275534159466088,0.3960348249648917,0.3409812734529738,0.5933735246825463,0.38681608800649553,0.5154790269620018,0.45583253954937614,0.4097176814534225,0.555951486757329,0.5873451036271299,0.5783786444493451,0.2703760887296834,0.18631167066612997,0.27841855848299174,0.3737611920342466,0.5934524740461559,-0.230320701383068,0.42960783584494366,0.0037690239156355247,0.44240279303808006,0.5735248855629135,0.5191371050208682,0.4188248080082925,0.4439651232262699,0.27458075371510887,0.3374883197061863,0.36295353481635867,0.4381818029109682,0.31399268384787726,0.5399777304966442,0.31535523066175863,0.3822301835803285,0.48156015378260253,0.35194531985104993,0.12386326681681305,0.5246553242827721,0.36733160665384773,0.45629660927934024
AT4G20860,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1192430926905309,0.5957890670416591,0.017519712977524065,0.7183488401410244,0.5362419207947504,0.35716230802200527,-0.22954102334327442,0.7569205194687927,0.6577910939051943,0.6763462419038061,0.5374326397147474,0.5964194775388182,0.8060096067528868,0.42842367363804695,-0.1864924143088411,0.21887332253432654,0.7154458579677198,0.45529760049438867,0.6362213404985608,0.7739273938855471,0.6658755353835294,0.09699628166347006,0.37771743526757134,0.6785818327855487,0.36369517506029087,0.6300441101103549,0.7486253189991181,0.7394951345673367,0.3284581601123455,-0.30478306072068506,-0.05225554801344462,0.14555787634108763,0.5787823264537588,0.392532827875078,-0.013659471738216638,0.4820778426979464,0.6984255130063256,-0.05966353476764557,-0.3750175057721373,0.470441732176825,0.6873970942588904,0.5984654622183813,0.34545257333306434,0.7678342789028327,0.4991102285944336,-0.07487335067203879,0.5956603423611229,0.7150430217571029,0.34439481957782186,0.04210003605103241,0.1331137483352975,0.0930856950204874,0.6373498729985165,0.6138679252392547,-0.3913544526968892,0.48700666590898906,0.445577418300028,0.7235337743184798,0.511851853646403,0.3696118628190752,0.6122584319368918,0.5022590351113765,0.16806286214417968,0.38360023370349683,0.7422104359132715,0.5350808115025782,0.5200396499922246,0.6038117615646338,0.8023660069684863,0.4635190173573079,0.5675181489984658,0.33650270166499296,0.4475336558099741,0.4303910374980334,0.47814113881880327,0.6622323496086268,-0.10396154519821126,0.6241401694674029,-0.15266436564484223,0.6924053184660872,0.42366954167893384,0.5374859791105434,0.7426622661954732,0.5698774296309491,0.01893725240639668,0.603000746939735,0.5791809178105567,0.5747634598170188,0.682382303059713,0.783020896601631,0.7079749846592992,0.512329808746996,0.6441736618034272,0.5832178265822947,-0.06704336687875824,0.5575090657805034,0.5489159271854198,0.7803146706250499
AT1G72300,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04120009713516626,0.02501569115015802,0.2043124948810567,0.1247730138593527,0.08067098735850298,0.03964936079923547,0.2908344200327398,0.11382364276552938,0.0850280421944201,0.08131806765636551,0.030698508391521055,0.1335763644771264,0.060685278899959,-0.05069028806643718,0.17238407147816523,0.13736245548647752,-0.07116358817301954,-0.015728121925654353,0.15180827487241236,0.033922250344789295,0.3628292321758272,0.012458652858831352,0.039954158918711104,-0.2136047777270729,-0.04970238882084782,0.03472571040177167,-0.08567732400751901,0.07920573114809738,-0.08270353273025878,0.0015028987225854996,0.2034458811841125,0.22892875432089596,0.32096515119848057,0.21727603592098976,0.29520042213294073,0.11079945673909346,-0.021176246960333985,0.16625640960497756,0.057714554555335765,0.05869639893380845,0.01788161261571389,0.04352480170350773,0.10784964639216454,0.18317024685274103,-0.18165825570917227,0.21019416281812148,-0.03233069642513942,-0.04045661114588807,0.007080955913053424,0.47072325563621464,-0.019251057562848128,0.2662828787514561,0.2983919521977061,0.12507329261657574,0.0913038424012441,-0.05523902735159884,0.16978338159351344,0.097940965385997,-0.06372871392555952,0.24934141368479237,0.21063563510921907,0.03351896905082015,-0.11900722349605905,0.1243851273493433,0.16875094683153585,0.044698626520140484,0.3564927482614185,0.06425823689825443,-0.013995478763967686,0.016153992932343736,0.5276956992226456,-0.016316051636875387,0.3136751496587423,0.10140832489884669,-0.008689845916107176,0.18197549141404404,0.13338309048834737,-0.11617308187698308,0.23090086862925066,0.04802649762160961,0.1270794469883305,0.049299039801157095,0.050654212315223456,-0.14034803922371186,0.271797606609823,0.056042149569703374,-0.02137247591533485,0.06650445390753384,0.08128807361150807,0.26336106868618125,-0.054202370925198376,0.1489135343674181,0.21399034982812243,0.11961659465869759,0.14202109731900453,0.173319150019728,0.07213440887157296
AT4G20000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06974251024239361,0.6293405857331511,0.6406191347336205,0.23133465823186813,-0.045420100171434157,0.6546189316827848,0.6472346174858615,0.6648729572160061,0.7539623413042411,0.7513761600092124,0.7769561117614788,0.3909766615406074,-0.11264237274942834,0.25770315000166016,0.6774823516691939,0.3775108859691688,0.5346706037979507,0.6852221111810414,0.6313516780394032,-0.08493470655119388,0.6526389693803907,0.7341724641591783,0.19556652148625114,0.7046863353147225,0.6876764425107375,0.4950557755175329,0.023007809420359227,-0.14349519180201292,-0.08501046890660034,0.1216773677072258,0.5443976782187846,0.23723084558816648,-0.10892804778771097,0.12159537142991322,0.7079996118360182,0.06691111469994228,-0.31239290415723636,0.8097501054012197,0.8366473333169515,0.7644880288488222,0.6250270226279063,0.7681871981762821,0.28381672663146296,0.08446779325700148,0.5956158677557185,0.60731896924481,0.2987293547263638,0.06951092221694094,-0.12595153558763456,0.4952343682416032,0.5895172081517812,0.6005441020565944,-0.28938260868461435,0.7099000525322587,0.5257110075273812,0.7552388582601505,0.639941019157153,0.2567084927340495,0.3221678541430439,0.3569311444119238,0.3028609641163575,0.6238409723995564,0.7342956752897507,0.6361173618594302,0.6048209392316782,0.55489867186042,0.6259186696210489,0.645208224581709,0.7960441624112059,0.36009382066811657,0.11931241846747538,0.33075822251345116,0.607082711537398,0.6623696345205083,-0.25752884565112105,0.6099834575949008,-0.024232006936880043,0.6397785304931559,0.7038046073862215,0.6675388701525711,0.5548190385942764,0.6490879380123539,0.21728227636503294,0.5391595674105815,0.46819866144361466,0.5683567671338774,0.6176670483369462,0.727923635865345,0.5537299634073047,0.5629941219790419,0.5927062760839245,0.6045694738796847,0.061529466828555604,0.6161400626549511,0.5086323448071945,0.621195529413531
AT1G08090,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065558795092187875,-0.025383351765480008,0.08336912981228986,0.06391609651303908,0.03836257316057078,0.0648739406457689,-0.026389003736264717,0.09369409941950915,0.09945483850567051,0.04559163897671527,0.17685221254746858,-0.017371634321749194,0.015407315121566359,0.06122316082003056,0.06260694855505035,0.0506087049119131,0.10130137838827856,0.23321392158568785,-0.05464607027024987,0.060199995531092135,0.02052420482086958,-0.042980909903601976,0.16583529420994758,0.04252616461907235,-0.052150449472859545,-0.08515660648119448,-0.029895289082997514,-0.019580228518287786,0.00777574402314568,0.007316557277030386,-0.01605415352256023,0.04742168837898225,-0.008650326317616332,0.03214947642843474,0.02794279583234497,-0.16600071115192022,0.10033550643729104,0.05133470156932541,0.07970315161971418,0.01421512366658624,0.06265377916311843,-0.022654786419400493,0.04632427854720499,0.02290184069880207,0.11845988498786587,0.029098134155667962,0.02164452108558583,-0.12890923845796268,0.0455252130389794,0.03501787432796308,-0.049945865964801404,-0.015445698372017449,0.12833305801405928,-0.01182085587548796,-0.0014976203071670245,0.14500463786705847,0.016478799796469806,0.014042411886916644,0.04728830787300302,0.05223282166947901,0.12297754688599369,0.008283208934428195,0.010989751329550502,0.06877006247443579,0.01928067580723144,-0.030617519050292936,0.1003882082304992,0.07177625962923861,0.0691419371590995,0.07806577970169086,-0.0404474913682528,0.030115670986539212,0.1076804875913686,0.00568757445742184,-0.05526916233513778,0.15345525779928457,0.07555155085706693,0.11675617969871602,0.05465106265277965,0.008033810899299524,-0.09343764924786246,-0.00639196941952577,-0.0232630334389462,0.16883249307173656,0.14000164828607436,0.04517672752542329,-0.021176549657454427,-0.0021981282158132424,-0.032094646286892244,-0.022345939861755173,0.08496002667661641,0.15813939751306896,0.025911125180702134,-0.07059552051046124,0.013688694852366755
