,AT5G04140,AT1G70530,AT3G14240,AT5G10450,AT1G21670,AT2G25000,AT5G55050,AT4G21326,AT1G04110,AT4G20860,AT1G72300,AT4G20000,AT1G08090,AT4G01250,AT3G48650,AT4G34980,AT4G33430,AT2G22122,AT1G51800,AT3G52450,AT4G35180,AT5G53110,AT1G30730,AT2G39200,AT1G14780,AT2G19170,AT4G21870,AT5G46330,AT3G46280,AT1G77380,AT4G20430,AT3G49780,AT1G52200,AT5G50200,AT1G15950,AT1G64170,AT5G01540,AT5G59190,AT3G45060,AT3G29034,AT2G06050,AT2G05920,AT5G59130,AT1G66210,AT2G04160,AT1G51890,AT2G30490,AT4G28140,AT5G13930,AT5G06950,AT5G20250,AT5G11940,AT1G64280,AT5G20480,AT5G44530,AT1G20150,AT1G30600,AT4G39400,AT5G07440,AT4G23210,AT5G59080,AT5G53460,AT1G71950,AT5G67450,AT2G44370,AT5G44585,AT2G25470,AT1G51620,AT5G54160,AT2G41220,AT5G03620,AT4G21323,AT5G66420,AT5G45650,AT2G39530,AT4G30190,AT2G01950,AT4G26330,AT1G37130,AT1G12940,AT3G19010,AT1G30720,AT5G59810,AT2G15620,AT2G44380,AT1G02450,AT2G02220,AT5G45640,AT1G62340,AT1G19380,AT2G38900,AT4G24160,AT4G20850,AT2G37040,AT4G15040,AT5G58840,AT5G58820,AT1G65490,AT3G59880,AT2G36690,AT5G51750,AT4G38560,AT1G66220,AT1G32970,AT3G26210,AT4G08850,AT2G42360,AT3G14067,AT5G37600,AT1G49000,AT1G32950,AT3G19930,AT4G00230,AT2G30360,AT1G51680,AT3G50470,AT1G61380,AT5G67360,AT1G01900,AT2G39850,AT5G67090,AT5G59100,AT5G19660,AT1G35160,AT3G50480,AT2G31400,AT5G39580,AT5G59090,AT1G05300,AT4G01700,AT1G65690,AT3G21080,AT4G27730,AT4G31550,AT4G21410,AT5G40780,AT1G20160,AT1G61360,AT2G17740,AT5G48430,AT3G25882,AT2G19190,AT2G44490,AT3G19450,AT2G37710,AT4G31800,AT3G22060
AT5G04140,0,0.0492058872683796,0.20069299833965726,0.025658697138433162,0.0235024505195649,0.01785377002523214,0.08446624970224836,0.0,0.0,0.0,0.07060112351291337,0.05702329713878029,0.01693484212571028,0.0,0.019192198377487202,0.23116671370468356,0.0,0.04109880663816301,0.17905246159826183,0.09506760059934893,0.016380992864181154,0.10890209388296457,0.049127933680054525,0.12801640920118595,0.013995516615124215,0.021833518934425644,0.0242366734177768,0.008721963083638817,0.07529090851009435,0.09032367943851471,0.0,0.04319153195728975,0.07752862104858482,0.14229361500678883,0.0,0.09778254097944616,0.0,0.0009372508798655144,0.07495749965571563,0.1555618207547318,0.0,0.161530286834626,0.08884091526888382,0.06126665971012191,0.06634044991532484,0.031094723702072002,0.16383484268286908,0.03821603788697492,0.00012447169766360844,0.07151154285622141,0.052700783328712975,0.0,0.07082575643590627,7.760370728826516e-05,0.15922974760609887,0.0,0.0,0.03592632761868053,0.21603543425226146,0.0006158906514808216,0.0,0.0891577285068228,0.12658735931457965,0.018770503061904975,0.08077299960896434,0.0,0.0,0.006479854107259708,0.07446186381430997,0.0390795020608381,0.06388614503212331,0.0,0.11337324948595806,0.04987695183206564,0.09415824942386286,0.0,0.0,0.0,0.04353908824814301,0.0,0.058554602183532145,0.12927286763749013,0.0,0.16954944509418723,0.02133126471459823,0.0,0.0238434514790391,0.0,0.0,0.0,0.046341605786812456,0.0,0.0,0.058136798612470564,0.0,0.07256754491100903,0.017116745729681915,0.04723053205003058,0.10156807721117023,0.04916864813664379,0.18209033433649213,0.0,0.0,0.06729116914605515,0.0,0.16248239890735383,0.10071777251609237,0.020122065379168053,0.09448905174154021,0.08918577044008957,0.030314920632716014,0.06166951335687809,0.11565699536467888,0.10105739705558348,0.026771669076546933,0.0005766247840781613,0.10647321361214201,0.15445175705686331,0.034703734451055235,0.08107235111698197,0.0,0.05376245311368355,0.056591836627002845,0.056583034981234404,0.014252505633845614,0.07140480038394048,0.06447808773374697,0.10681594198602551,0.15449113582460172,0.0333449675476829,0.14134941151702352,0.03372024189119416,0.0938607737755146,0.0,0.0,0.00945775357212253,0.0,0.04965993297755866,0.04029026611068631,0.12154218035151443,0.06680018837474933,0.18828353739478354,0.0,0.043626981112371954,0.11113135157444454,0.06065093413623224,0.021276563935660908
AT1G70530,0,0.0,0.1262012747289436,0.0606196187565764,0.057541998870027866,0.09924505601053157,0.02757835719445767,0.05551545088736143,0.02901770205200327,0.38451354099481216,0.0,0.08550764739206684,0.010995202370556845,0.26182540274478416,0.17842632753325138,0.12253435314831873,0.02887479276010163,0.0,0.24944473692343005,0.12238140790753005,0.2920653454301283,0.2211428267969462,0.09110494993068907,0.2522528538309532,0.08154495889107283,0.10987667754837527,0.09379334285510765,0.10525942959460255,0.18417524987638645,0.05588385750214986,0.017068975101614203,0.18565892151784924,0.27579091856898175,0.19270305812271094,0.010788138443722506,0.07241265480689729,0.26326701796436636,0.08498481850962358,0.011288808715226972,0.1386719972858661,0.08530853876876843,0.1397321759536272,0.05657286145000118,0.032759330006333576,0.0,0.2261194858120723,0.12765855083844246,0.06031625549413522,0.0852681984725927,0.03363203021203365,0.031724952044315025,0.010083488648588768,0.376061334063136,0.09170014808945948,0.009693916717661955,0.032428940035294396,0.0,0.0,0.05484009804896517,0.24689897406455752,0.0,0.03553215781810537,0.12275532965645564,0.22395015573188104,0.21681582040583613,0.09914433936277223,0.09688827776512965,0.20565363660094027,0.04978967894348818,0.0,0.046298074762213925,0.0,0.0,0.03064603682938216,0.12747949591281005,0.039212990003581805,0.0,0.0,0.0,0.0,0.24208943657762916,0.10864404033985431,0.10804920572891796,0.010837117190732659,0.03264324039022326,0.06725013872893326,0.5170955508775594,0.0,0.0277236211650167,0.13970169078214734,0.01864954598951596,0.14398267894081784,0.0036120690292011925,0.154212856384929,0.0,0.1559080817096019,0.015061063591581325,0.0,0.09531966724156549,0.28391345399077794,0.15150133989140668,0.20298607891567344,0.09590817783349381,0.0,0.18310969565546098,0.16356789030885288,0.15469821136203765,0.02263480755208014,0.16104603122225059,0.27818455093518213,0.0,0.09343763355513679,0.019739056391581355,0.0947684184588764,0.022883787316102744,0.3128465663045037,0.2266218875370536,0.0,0.013592512616428909,0.009501933024270492,0.056214919748710956,0.02939590278137505,0.005041895130320606,0.024866045334707598,0.1302691676177714,0.047379206899752946,0.13371646689358507,0.0,0.15862690913773747,0.1550284476027184,0.21996082955763252,0.13869289468753854,0.03505666110198424,0.19178270383684004,0.15814737806085266,0.1981218066772561,0.0,0.2549758462093721,0.17071839130107636,0.12276393154031706,0.066030673828821,0.0935355110029561,0.37981942242043676,0.0,0.3450499796576092,0.20448564492982202,0.24485288686391393
AT3G14240,0,0.0,0.0,0.09157238113887578,0.09778158457784492,0.11944594933287966,0.06445607753717786,0.07667874329888869,0.0,0.2100782029364514,0.04585089510930018,0.13606936350090226,0.023103540009945744,0.04401047297262228,0.1584161547422016,0.28663839109956535,0.02828520993132133,0.02912954525061795,0.01176460847360139,0.08641282443448217,0.11037487110916389,0.11223649560337834,0.0008299206048745233,0.125503595008303,0.15113159918871544,0.10662341032550748,0.0,0.035375849514326374,0.0628227623102302,0.19635318359037224,0.04340851942232127,0.26747306793635595,0.23268547983066923,0.13269737303549167,0.0,0.0,0.09806380149097582,0.038961472958389365,0.0,0.2668223395622846,0.16483838330223044,0.3722475374524261,0.0893336518393717,0.0,0.08212588697377843,0.22993722660306815,0.06142519024718207,0.044131946189787996,0.07749713565453242,0.0,0.0,0.05739519858257447,0.055737968576656804,0.050365446318247686,0.027258114983202963,0.026503325697430302,0.0692704775204096,0.057135515795285086,0.16067904164980473,0.07450701960008654,0.040970740136956785,0.014033936569534333,0.0772189960135401,0.04159554999571835,0.017878009184759902,0.10230707879343726,0.005656806790600877,0.08843371784912768,0.031856546017725806,0.09024475875139903,0.0,0.0,0.0,0.011630576589334751,0.20431139657098996,0.03795803728988845,0.0,0.0,0.0011548580721119084,0.0,0.16218267681560072,0.03208940215954481,0.06512692998994996,0.03059108646872577,0.06165396778418897,0.1277682038976773,0.1503462596628724,0.01976351189213621,0.0,0.10695822553549439,0.10006132881002516,0.0390675127513882,0.022168361043274798,0.011956422374385767,0.043360638298196585,0.15816444043586464,0.0,0.08786798054727885,0.0,0.14519506222473577,0.139375135713117,0.0544306484835928,0.03892010257629619,0.06442634028207528,0.18388089327713186,0.08243203997142956,0.19568270107803887,0.13260672808778162,0.09614305186415728,0.10751648998910834,0.06339470743321662,0.0,0.010197779562570952,0.1294531491436821,0.000795936287523169,0.1331178352625142,0.08264970516690151,0.33721940995949606,0.0,0.14386833164496493,0.028086546921863187,0.05373678377087865,0.0,3.309662200789987e-05,0.08704194697499723,0.013308044084010762,0.13263601942660275,0.07089975137911386,0.1020047928540464,0.08182230625609965,0.3711636934947369,0.17021130804187412,0.07721667172249203,0.11846424151641344,0.09425304345380714,0.21005880810837896,0.1117753970420221,0.08094337463730228,0.12558891870705335,0.1446425087813803,0.16816850567207564,0.04982886801948694,0.04375232460485923,0.06434241538200158,0.08294448843814539,0.21242219874124402,0.10375820332752372
AT5G10450,0,0.0,0.0,0.0,0.005097084039998645,0.14714120791514884,0.06271196383067124,0.009345377317567793,0.0,0.0025115534476893853,0.06337838627798797,0.009647906634903558,0.0,0.0,0.015790055472453268,0.08278787117215569,0.0,0.07778534440401108,0.0,0.037494217364781424,0.06614929506167022,0.00015298459783985585,0.030624967155464144,0.01945252351701532,0.007109077566039179,0.0,0.03887086869714862,0.07489852325685464,0.0,0.012385247203816618,0.05564548457524254,0.010821802058296193,0.09087682047967682,0.11233867869670755,0.059640662942139766,0.0,0.04464528155311154,0.0014884577788614184,0.0,0.03366539968093507,0.0,0.004275922687329681,0.049319881377083874,0.020070848350931536,0.0,0.0435790048057243,0.021201832916486918,0.06017746529062551,0.0,0.06187654151528732,0.031460527124259396,0.014500937595235186,0.0,0.03641227883333009,0.07924459728368283,0.0,0.0,0.0,0.03299117926868034,0.0,0.0,0.07501036220729729,0.07275399715440845,0.06577122941953562,0.0,0.021926447699968543,0.0,0.0,0.05777669718149103,0.1078963739959451,0.06704910967102906,0.0,0.0,0.0004961032849066793,0.06625918331402869,0.0,0.018334299135775334,0.07113371705589899,0.009605156465837261,0.17821468500463467,0.0,0.0,0.062160675861984815,0.0,0.028037264752782898,0.007710739008239598,0.08750524561938366,0.0,0.022511299991989864,0.0007631131693399684,0.002275115927833804,0.009675330517586511,0.0,0.03851900134553343,0.026020967590129063,0.0,0.014418104162829959,0.0,0.0,0.0,0.015405697696280418,0.03215233190997857,0.0,0.0,0.09099792348573299,0.046426209171282595,0.0,0.0953081040818009,0.052129257808485985,0.034050992013799686,0.04529070982995287,0.06121168186296311,0.0,0.05665071867956328,0.0653349012608977,0.030250817021404197,0.09197595194039465,0.09039252368775808,0.08042484768143376,0.05561928022643836,0.0,0.01684206671908761,0.021380671799820616,0.0,0.0,0.029827695851187386,0.03587105354919928,0.013460985087889954,0.06237868094731147,0.02821510109863179,0.01147069014281632,0.15177641312255497,0.03505586590284193,0.0,0.03369020275284784,0.06408540470664148,0.05671788438581671,0.019347341061329626,0.02245654920167084,0.0,0.0,0.0,0.03380304186326244,0.0,0.050549032890409906,0.0,0.0
AT1G21670,0,0.0,0.0,0.0,0.0,0.0,0.1047905172371717,0.0,0.0,0.11381639200539295,0.028298384304413116,0.1474547540299973,0.009684917129309856,0.09010251270240777,0.0017879851480882003,0.15358767820423558,0.0,0.0,0.05244216035549387,0.06218358012947456,0.063499042772452,0.0919283033018985,0.06057303261564151,0.04349621231886447,0.0,0.0,0.0,0.0,0.11100217067937956,0.0005821479513821171,0.03625824476511719,0.10130939123259464,0.19774470448597992,0.08033824518162325,0.0,0.06609480422452929,0.03531651568788252,0.03802809853162947,0.0,0.021258411909299557,0.008355429351419197,0.07218063398589392,0.0,0.0,0.0,0.15095888593944018,0.11778278226312033,0.02452079412271324,0.00788063866585298,0.04971278027525661,0.05062534286124931,0.0,0.03105215739012257,0.0,0.032153729988394275,0.0,0.0,0.0,0.038429925901226625,0.16346239325140388,0.020739382381318006,0.033175692754354946,0.028569991536189665,0.0,0.14526407400754926,0.1988762293835311,0.1699112580387121,0.016294404119067796,0.02874200184832243,0.0,0.05625847220233071,0.07840652374146861,0.009994705875410403,0.03748409004914821,0.04281528699795434,0.0569049279883822,0.06491044700224036,0.012296553535696253,0.07444362102259539,0.017503309458439142,0.0,0.0,0.024972726620014818,0.05085651166031058,0.027826837325475084,0.06580464914877493,0.20746531511078858,0.050885545933791576,0.0,0.0,0.016859780528259094,0.043281859551548285,0.0,0.0,0.0,0.013868038952839612,0.006191894373772433,0.015619249677127023,0.04204009964449118,0.1417602322490037,0.004817749394709248,0.0,0.032573771703200194,0.004721827025569558,0.1267673374475109,0.11755737544783185,0.031191810178708756,0.019001672353033516,0.0704176003558723,0.09201577171980202,0.0,0.039488567639129224,0.0,0.0385438988366229,0.027754991947254615,0.13403552468350188,0.13966305013423486,0.0,0.0,0.013249762115204344,0.005520261068395982,0.0009926785145590866,0.0008980858934364289,0.09462963947494352,0.07115864966840402,0.0,0.0,0.0,0.15944272617696353,0.0,0.0,0.044348976092863035,0.02662252190764991,0.06515513629749203,0.05740544553762872,0.13761969614148883,0.000631726013368139,0.0,0.10418441865617245,0.07868370174846673,0.0,0.1050183099807045,0.07562493024875283,0.0,0.04236750000408329,0.12817719323252708,0.09362308313986212
AT2G25000,0,0.0,0.0,0.0,0.0,0.0,0.07370357377823344,0.0,0.0,0.041419296017021434,0.0,0.172383762408169,0.031073664897302677,0.07355495489871444,0.11145846338158294,0.1231067207685177,0.06535383947121409,0.0,0.0,0.15481686616366286,0.12557657635134678,0.10433590416898375,0.0,0.1605945674174778,0.04315800315679885,0.0005385350103799258,0.0397796456402435,0.0,0.06948796400544732,0.1209154974292801,0.0,0.03898611342134539,0.17406048671686358,0.2122105285140008,0.0,0.34735544812776964,0.16675590176662003,0.0,0.0,0.10290799502330894,0.0,0.020667250898654954,0.017536356860612834,0.0,0.0,0.15859446970867586,0.08601512456452465,0.0,0.0,0.0,0.0,0.0,0.1016909149504095,0.0,0.0,0.0,0.0,0.03006158519403246,0.08962888765116594,0.1391749854785913,0.0,0.0,0.04664129694216301,0.1539236447246961,0.030915663863151366,0.14650898788548683,0.1387396515344026,0.16089242914304158,0.1272473131413865,0.09110923364774148,0.0,0.08295159516314388,0.0,0.0,0.038702694841758145,0.1259260927312389,0.024869880176323633,0.013445070951302096,0.0,0.13162590382893136,0.012408057539137873,0.0,0.0,0.1955417823850798,0.18894334675774527,0.0796308251070803,0.15353745146853415,0.06228970847838822,0.0,0.0662495987566214,0.057570484353692164,0.07271682491811715,0.0,0.0,0.0,0.05825976302118807,0.0,0.06082199223670237,0.13568383537318196,0.17170074511568867,0.020243923540910203,0.007353073656079401,0.12211860758707438,0.0,0.2834533695139023,0.0514382065581771,0.0,0.0,0.08697195767590493,0.06631315922430203,0.0,0.08980068741820091,0.0,0.04248309748972501,0.06761140236385921,0.18381113688776463,0.11956709944067234,0.03429889894163063,0.0,0.0,0.028497992032783692,0.0,0.010647917201429324,0.08013124137444372,0.09920615824653223,0.0,0.013031481293019898,0.00011777973142113041,0.08118998065469696,0.12167536345101482,0.13217108442750902,0.2901927671825666,0.2858907927098837,0.0,0.0,0.2264955842279135,0.0,0.04806575424332782,0.08299091257854796,0.0,0.19354713543944246,0.055819977175506796,0.08756041219854271,0.04786084704288829,0.20914522747957354,0.12348619192374688,0.0776584679190917
AT5G55050,0,0.0,0.0,0.0,0.0,0.0,0.0,0.013460464710544295,0.014861047212263223,0.22059761933716437,0.03768095646023073,0.13118896655360746,0.027471788423567123,0.05127975693846887,0.0404661122903931,0.18723534795370922,0.024834842636422216,0.07802358027226663,0.006865873378020471,0.14046813579002881,0.043292983938786556,0.1480904891704533,0.13902324648144626,0.09890209855538101,0.06800962316737591,0.05345989620726277,0.006005811140260775,0.0,0.2099917693677289,0.1476342814742435,0.03309862862291979,0.21623860305960152,0.144208264379184,0.15203025192770525,0.04617812766207785,0.1317332172356671,0.18665014484617126,0.0,0.0,0.22858862646034406,0.0,0.061018231734699224,0.0,0.014176222341149902,0.07010214198346842,0.20375973309794726,0.17746403624255636,0.05268184883389093,0.07465208255716016,0.036254620024313455,0.025450067523934194,0.0,0.16312075820765903,0.0,0.0,0.0,0.0628336699870764,0.04641504045403355,0.1129375105880297,0.048040949407058386,0.0,0.06306903931286145,0.07482613662639737,0.1887443596889986,0.1443726396483651,0.028054611567320586,0.13804707611256606,0.25003340731127643,0.12392413731630691,0.07847577742789724,0.0,0.0,0.11170240261142261,0.06432733771844967,0.17266407138487394,0.037189331616178434,0.07977798693032212,0.0,0.01820169562208207,0.02134525017146438,0.12094741378953677,0.08028906528914725,0.010094046942321855,0.16466465526226104,0.019932131629932792,0.033132846699589935,0.094204789248022,0.0,0.0,0.13979329979394906,0.06152184573737207,0.17308091846775953,0.0015483731487331287,0.10434948399354882,0.035269224679412625,0.027530451529852007,0.03417250374271408,0.1223676939136169,0.08325214985648755,0.0,0.05562033110857012,0.03721521323358146,0.04854247322774241,0.0,0.0,0.0,0.11917855601939009,0.0,0.11446066016044565,0.22912988812493995,0.0,0.1465008916626478,0.06828586307299056,0.05081466880162955,0.06423541475868055,0.04371431003447368,0.1247173044112273,0.07025130471405361,0.04338430501808799,0.030469574738666294,0.0,0.0,0.0004211283915844799,0.004273145129707556,0.031420188502723434,0.014671531155023843,0.1382212006728467,0.07171385709119371,0.1383435998092113,0.05233397668826556,0.06957984373956583,0.08589876377427896,0.0,0.06484430557860854,0.07439983402501227,0.05227286726756253,0.013985292718587727,0.04007321192254909,0.09927226817156254,0.15584661635991015,0.1042478795687678,0.05360799555170148,0.13128261630652505,0.0,0.05977335069172618,0.08089277652290083,0.08180610046465286
AT4G21326,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823032129043449,0.0,0.0,0.07622566225080663,0.0,0.0033852376431589004,0.01636305909277147,0.03545948521451958,0.047037321458361925,0.000897438384803495,0.0,0.0,0.04038114660337078,0.018705357402075462,0.027570941756788203,0.0,0.09937054499072029,0.0,0.035342829268210085,0.0,0.02577788431386918,0.0,0.0,0.0735406711393276,0.0,0.022103158918425292,0.056165113694346847,0.0,0.02332616400635068,0.026085921266681078,0.08314011125995147,0.02548693084934195,0.0,0.0,0.004984867041989194,0.0,0.0,0.0,0.0,0.013445057224390267,0.04003422852870964,0.039705460461384456,0.0,0.08247021965417045,0.05885070754638799,0.0,0.0,0.023459253049803896,0.01895327794851731,0.03357655293927242,0.0218510879864644,0.06766645657059622,0.0,0.060164451669940444,0.010225896435284598,0.06826393934958119,0.009591304163022896,0.007848038251770717,0.006836211025770256,0.02368107502686123,0.0,0.0,0.10434036878909336,0.0,0.0,0.040270268308393975,0.012033278968783812,0.0,0.0,0.01701282389500247,0.0,0.0012491820416506982,0.06446517896675474,0.031772576917209694,0.0,0.0,0.032781087998121405,0.0,0.0,0.013795594387105314,0.0217010100709063,0.0,0.07127941038969876,0.0,0.0869625229430222,0.04515075335716512,0.01894030386563994,0.0,0.0,0.0,0.023929087005165828,0.0,0.0,0.0,0.054367649868014345,0.0037063771050143135,0.0,0.0,0.0,0.0,0.09487677169805075,0.0,0.0,0.0,0.04363988367689542,0.0,0.0,0.0,0.010796045971960044,0.0,0.0,0.0,0.0,0.0,0.03411134062796717,0.0,0.0,0.0,0.0,0.022287964789651893,0.0,0.007605428267634107,0.020553566776522203,0.11098790929717217,0.0,0.0,0.0,0.0720076517687569,0.09123639912329073,0.0,0.0,0.04657329951776812,0.0,0.0,0.04066207867189364,0.0,0.0,0.07221739831382479,0.0
AT1G04110,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049065992491459376,0.006255103588858946,0.0,0.07413139199177587,0.027341639327458367,0.0,0.0,0.0,0.00029344796848995713,0.008227434933288924,0.0763713765270837,0.0,0.0,0.0,0.0,0.0,0.0,0.02148534039003369,0.0,0.0,0.03499532742837874,0.0,0.000160756093755543,0.0011208974140148875,0.0032900557180235435,0.0019898694962312558,0.0,0.0,0.10920763745565876,0.04279970997645566,0.0,0.05197730678600543,0.0,0.02454745571146666,0.00711686894610053,0.0,0.0,0.0715833148321805,0.011866653462716537,0.0,0.0,0.04432213310786359,0.06613038108319769,0.0,0.05299893475054529,0.0,0.053101886279834254,0.08560125745532687,0.001254266279238303,0.021796271702408943,0.010318228997879597,0.0,0.03362448740729329,0.0,0.0,0.0388500237336471,0.020536049745166096,0.0,0.09399355604694892,0.0,0.014037375628334736,0.0,0.0,0.0,0.01687387417775854,0.0,0.03701349720625058,0.0406878058807556,0.0,0.03334089934448814,0.011467457966441552,0.0009052090538739233,0.034570079995320135,0.0,0.0,0.0,0.08297004246917172,0.030064367358875632,0.0,0.0,0.0949100606246649,0.021270108478046446,0.0,0.0,0.0,0.06724987715129704,0.0,0.0,0.0,0.0,0.052294842149260834,0.0,0.00668264273100605,0.0,0.029721887851804185,0.01809702000513136,0.0,0.04609502327302906,0.04472111204725371,0.0,0.0,0.04727982953270371,0.0,0.02716082375204465,0.04367394381097656,0.021415563515886138,0.0,0.0,0.09485157413877388,0.0,0.0,0.07715209894732822,0.04521368110787938,0.0,0.0,0.0,0.0,0.0,0.0,0.0024998542773992938,0.0003276152267899235,0.0,0.0,0.022063947081076174,0.05300280910136812,0.028361378407476767,0.0,0.0,0.06604045705761963,0.0,0.07570256999120306,0.0,0.03922173031204412,0.05233060495764841,0.0,0.0,0.008760846644099152
AT4G20860,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22290304043968634,0.013966571491305313,0.35131486265801204,0.15176936828883836,0.14730202982249363,0.16878045967036215,0.06637708348952365,0.232934172356706,0.3518142832387805,0.33550250512089774,0.19491158807906328,0.26002089831994324,0.4676114803450062,0.15767517205891446,0.0,0.0,0.04016431748760563,0.2513832676334129,0.12360189983710912,0.09479789222366874,0.2794296174116748,0.4013813307865295,0.22435175019680953,0.0,0.02295832745313442,0.3322389764545419,0.0,0.08441806128198048,0.2078161286102056,0.17455867313641105,0.08233204784949821,0.14628089856763515,0.03442273417032671,0.0,0.39717385180525944,0.2503349163816062,0.012646859293995893,0.0,0.04249410621552818,0.0,0.0,0.1918454093645645,0.0,0.01560073644370319,0.0,0.0,0.0893018867775126,0.19856652755490112,0.3004477567524879,0.0,0.08278692108928376,0.11261272107828213,0.16494319066607743,0.27013956774703507,0.1002849189476076,0.13222928293394776,0.3444276863841311,0.2086744326505805,0.0,0.023911326179708814,0.012989335407254998,0.14771655139909523,0.013928999710670409,0.3311512363297564,0.0,0.06552878572155985,0.0,0.032907940410358494,0.0,0.2492626343694273,0.3650334900392631,0.0,0.09482377192036706,0.264090681915508,0.043007983681032425,0.2969360081746679,0.031480161401430395,0.0,0.2300787145413088,0.06764762839211191,0.129028123785079,0.0,0.13845597731667958,0.0,0.0,0.09304820624717336,0.01533530349875556,0.10982916066812387,0.35210134324196796,0.10303042374212334,0.15589679832695702,0.015926438819136468,0.0,0.2671720348413922,0.22842558636645105,0.43567662082444647,0.1143643675232342,0.1692700233643163,0.261414813502441,0.041618827245606616,0.07851818315038006,0.029832500061467426,0.12415508091924599,0.09726189948978758,0.18335469137191862,0.25652281698229706,0.2585826300152183,0.0,0.06100529272160049,0.11071894414230798,0.06876198771537334,0.14425381607508703,0.055577709662778974,0.20077276140660372,0.0,0.35625217815321486,0.04005566842395836,0.14267557758824245,0.07583652352240455,0.3200962734143451,0.2535741321145317,0.09780411182902338,0.21901907834109768,0.14685066976036842,0.24372146496437552,0.0007495780275341701,0.4048464973724877,0.3414568829766875,0.2665304244147484,0.11136708219569202,0.2512428148766477,0.290254184478286,0.06168732622304307,0.17035213549153538,0.11766383246323242,0.4402246361060793
