"SUID","color","name","selected","shared name"
"186",,"AT5G09640","false","AT5G09640"
"187",,"AT1G21670","false","AT1G21670"
"188",,"AT3G43540","false","AT3G43540"
"189",,"AT5G27400","false","AT5G27400"
"190",,"AT4G01630","false","AT4G01630"
"191",,"AT2G36145","false","AT2G36145"
"192",,"AT3G43300","false","AT3G43300"
"193",,"AT1G15200","false","AT1G15200"
"194",,"AT3G58880","false","AT3G58880"
"195",,"AT5G13680","false","AT5G13680"
"196",,"AT1G32250","false","AT1G32250"
"197",,"AT5G13300","false","AT5G13300"
"198",,"AT1G72750","false","AT1G72750"
"199",,"AT5G56590","false","AT5G56590"
"200",,"AT3G05410","false","AT3G05410"
"201",,"AT5G51860","false","AT5G51860"
"202",,"AT3G62760","false","AT3G62760"
"203",,"AT2G29350","false","AT2G29350"
"204",,"AT2G47860","false","AT2G47860"
"205",,"AT2G47960","false","AT2G47960"
"206",,"AT5G07170","false","AT5G07170"
"207",,"AT3G61870","false","AT3G61870"
"208",,"AT4G22820","false","AT4G22820"
"209",,"AT4G09120","false","AT4G09120"
"210",,"AT1G06280","false","AT1G06280"
"211",,"AT5G64810","false","AT5G64810"
"212",,"AT2G23200","false","AT2G23200"
"213",,"AT1G77010","false","AT1G77010"
"214",,"AT5G45090","false","AT5G45090"
"215",,"AT4G20270","false","AT4G20270"
"216",,"AT1G78955","false","AT1G78955"
"217",,"AT2G38780","false","AT2G38780"
"218",,"AT1G67490","false","AT1G67490"
"219",,"AT2G01970","false","AT2G01970"
"220",,"AT2G19870","false","AT2G19870"
"221",,"AT3G60440","false","AT3G60440"
"222",,"AT1G16020","false","AT1G16020"
"223",,"AT4G08290","false","AT4G08290"
"224",,"AT5G18810","false","AT5G18810"
"225",,"AT2G44870","false","AT2G44870"
"226",,"AT1G32230","false","AT1G32230"
"227",,"AT3G07160","false","AT3G07160"
"228",,"AT3G22370","false","AT3G22370"
"229",,"AT3G05430","false","AT3G05430"
"230",,"AT1G33760","false","AT1G33760"
"231",,"AT1G06430","false","AT1G06430"
"232",,"AT3G51050","false","AT3G51050"
"233",,"AT5G07690","false","AT5G07690"
"234",,"AT1G72560","false","AT1G72560"
"235",,"AT1G02940","false","AT1G02940"
"236",,"AT1G07830","false","AT1G07830"
"237",,"AT3G51895","false","AT3G51895"
"238",,"AT1G29790","false","AT1G29790"
