"SUID","color","name","selected","shared name"
"186","","AT4G11770","false","AT4G11770"
"187","","AT4G08874","false","AT4G08874"
"188","","AT5G07400","false","AT5G07400"
"189","","AT2G35080","false","AT2G35080"
"190","","AT3G58240","false","AT3G58240"
"191","","AT4G16150","false","AT4G16150"
"192","","AT5G04270","false","AT5G04270"
"193","","AT1G45030","false","AT1G45030"
"194","","AT5G44630","false","AT5G44630"
"195","","AT2G07691","false","AT2G07691"
"196","","AT5G59670","false","AT5G59670"
"197","","AT2G07692","false","AT2G07692"
"198","","AT5G40970","false","AT5G40970"
"199","","AT4G08868","false","AT4G08868"
"200","","AT4G19990","false","AT4G19990"
"201","","AT1G45035","false","AT1G45035"
"202","","AT5G27900","false","AT5G27900"
"203","","AT2G35075","false","AT2G35075"
"204","","AT4G37090","false","AT4G37090"
"205","","AT1G80210","false","AT1G80210"
"206","","AT5G52150","false","AT5G52150"
"207","","AT1G73230","false","AT1G73230"
"208","","AT4G38710","false","AT4G38710"
"209","","AT4G16440","false","AT4G16440"
"210","","AT2G03330","false","AT2G03330"
"211","","AT1G09410","false","AT1G09410"
"212","","AT3G47200","false","AT3G47200"
"213","","AT2G24760","false","AT2G24760"
"214","","AT1G65130","false","AT1G65130"
"215","","AT5G58650","false","AT5G58650"
"216","yellow","AT1G79040","false","AT1G79040"
"217","","AT5G66820","false","AT5G66820"
"218","","AT4G01900","false","AT4G01900"
"219","","AT4G13870","false","AT4G13870"
"220","red","AT2G28650","false","AT2G28650"
"221","red","AT1G35110","false","AT1G35110"
"222","","AT5G55620","false","AT5G55620"
"223","","AT3G12020","false","AT3G12020"
"224","","AT5G60580","false","AT5G60580"
"225","","AT4G23020","false","AT4G23020"
"226","brown","AT3G28630","false","AT3G28630"
"227","brown","AT1G23870","false","AT1G23870"
"228","","AT1G73390","false","AT1G73390"
"229","","AT1G27300","false","AT1G27300"
"230","green","AT5G27420","false","AT5G27420"
"231","green","AT2G05380","false","AT2G05380"
"232","","AT3G51930","false","AT3G51930"
"233","","AT1G23880","false","AT1G23880"
"234","","AT3G57000","false","AT3G57000"
"235","","AT3G04560","false","AT3G04560"
"236","","AT1G04490","false","AT1G04490"
