"SUID","annotation","coregulated","defense","degree.layout","localization","Matching.Attribute","name","notes","prot name","selected","shared name"
"2035","Cinnamoyl CoA reductase 1. Lignin biosynthesis","false","",,"membrane","AT1G15950","AT1G15950","","CCR1","false","AT1G15950"
"2036","TF. ER-stress-induced programmed cell death","false","yes",,"","AT5G22290","AT5G22290","","NAC089","false","AT5G22290"
"2037","Pathogen induced TF. forms complexe with wrky18","false","SA JA ABA","4","","AT1G80840","AT1G80840","","WRKY40","false","AT1G80840"
"2038","TF WORKY. Activator SA, repressor JA","false","SA JA","6","","AT3G56400","AT3G56400","","WRKY70","false","AT3G56400"
"2039","Transcription factor","false","SA JA ABA","3","","AT4G31800","AT4G31800","","WRKY18","false","AT4G31800"
"2040","unknown.","true","",,"plast","AT5G59080","AT5G59080","","AT5G59080","false","AT5G59080"
"2041","GDSL-motif esterase/acyltransferase/lipase.","true","",,"","AT5G55050","AT5G55050","","AT5G55050","false","AT5G55050"
"2042","JA dependent wound responsive, dual component transporter with NRT2.1","true","yes Nitrogen",,"","AT5G50200","AT5G50200","repressor of lateral root initiation","WR3","false","AT5G50200"
"2043","Aspartyl protease. Increase expression in the resistant interaction.","true","yes",,"ER signal","AT5G48430","AT5G48430","","AT5G48430","false","AT5G48430"
"2044","Lysine Histidine transporter. mutant : resistant through SA pathway","true","yes Nitrogen",,"","AT5G40780","AT5G40780","","LHT1","false","AT5G40780"
"2045","Dark inducible. Transglycosidase. Synthesis of raffinose.","true","",,"","AT5G20250","AT5G20250","","DIN10","false","AT5G20250"
"2046","Transcription factor. Involved in ISR","true","JA","5","","AT4G31550","AT4G31550","","WRKY11","false","AT4G31550"
"2047","Integrase-type DNA binding domain prot.Transcriptional activator, actor of stress signaling","true","yes",,"","AT4G28140","AT4G28140","","AT4G28140","false","AT4G28140"
"2048","Oligopeptide transporter. May be involved in stress resistance.","true","yes",,"","AT4G27730","AT4G27730","","OPT6","false","AT4G27730"
"2049","Hydrolase. Regulates phospholipid and lipid levels.","true","",,"","AT4G24160","AT4G24160","","AT4G24160","false","AT4G24160"
"2050","HSP20 like chaperone","true","",,"","AT4G21870","AT4G21870","","AT4G21870","false","AT4G21870"
"2051","cystein rich receptor prot kinase. dependent of mpk4 and ctr1","true","yes",,"membrane","AT4G21410","AT4G21410","","CRK29","false","AT4G21410"
"2052","FAD binding and BBE domain containing protein","true","",,"","AT4G20860","AT4G20860","","AT4G20860","false","AT4G20860"
"2053","LRR receptor kinase","true","",,"membrane","AT4G08850","AT4G08850","","MIK2","false","AT4G08850"
"2054","","true","yes","5","","AT4G01250","AT4G01250","","WRKY22","false","AT4G01250"
"2055","Plant U-box 22. E3 ubiquitin-protein ligase. negative regulator of immunity PAMPs","true","yes","2","","AT3G52450","AT3G52450","","PUB22","false","AT3G52450"
"2056","Homolog of RPW8. HR response.","true","yes",,"","AT3G50480","AT3G50480","","HR4","false","AT3G50480"
