"SUID","__glayCluster","name","NumChildren","processus","selected","shared name","wordcloud.sync"
"3997","20","AT4G01900",,"P+SR","false","AT4G01900","false"
"3996","20","AT4G13870",,"P+SR","false","AT4G13870","false"
"3991","16","AT2G28650",,,"false","AT2G28650",
"3990","16","AT1G35110",,,"false","AT1G35110",
"3953","35","AT5G57310",,,"false","AT5G57310",
"3952","35","AT1G20620",,,"false","AT1G20620",
"3937","23","AT5G13720",,"carbohydrates S","false","AT5G13720","false"
"3936","23","AT2G14750",,"carbohydrates S","false","AT2G14750","false"
"3935","21","AT5G22510",,,"false","AT5G22510",
"3934","21","AT3G20460",,,"false","AT3G20460",
"3931","25","AT3G59650",,"enzymatic","false","AT3G59650","false"
"3930","25","AT1G80920",,"enzymatic","false","AT1G80920","false"
"3919","23","AT3G19553",,"carbohydrates S","false","AT3G19553","false"
"3918","23","AT2G14760",,"carbohydrates S","false","AT2G14760","false"
"3917","29","AT5G38220",,,"false","AT5G38220",
"3916","29","AT1G54780",,,"false","AT1G54780",
"3915","35","AT2G05260",,,"false","AT2G05260",
"3914","35","AT1G20470",,,"false","AT1G20470",
"3913","2","AT1G79040",,"energy","false","AT1G79040","false"
"3912","2","AT5G66820",,"energy","false","AT5G66820","false"
"3909","20","AT5G27420",,"P+SR","false","AT5G27420","false"
"3908","20","AT2G05380",,"P+SR","false","AT2G05380","false"
"3905","23","AT1G03990",,"carbohydrates S","false","AT1G03990","false"
"3904","23","AT1G16400",,"carbohydrates S","false","AT1G16400","false"
"3881","2","AT5G03430",,"energy","false","AT5G03430","false"
"3880","2","AT2G34420",,"energy","false","AT2G34420","false"
"3877","2","AT5G04690",,"energy","false","AT5G04690","false"
"3876","2","AT2G34410",,"energy","false","AT2G34410","false"
"3873","34","AT1G29080",,,"false","AT1G29080",
"3872","34","AT3G53730",,,"false","AT3G53730",
"3865","16","AT3G32990",,,"false","AT3G32990",
"3864","28","AT3G18550",,,"false","AT3G18550",
"3863","28","AT3G56970",,,"false","AT3G56970",
"3860","12","AT4G32380",,,"false","AT4G32380",
"3859","12","AT2G34390",,,"false","AT2G34390",
"3854","33","AT2G47380",,"embryonic dvpt","false","AT2G47380","false"
"3853","33","AT5G44120",,"embryonic dvpt","false","AT5G44120","false"
"3852","26","AT2G16310",,"SR","false","AT2G16310","false"
"3851","26","AT5G17220",,"SR","false","AT5G17220","false"
"3848","11","AT5G15730",,,"false","AT5G15730","false"
"3847","11","AT3G55230",,,"false","AT3G55230","false"
"3844","28","AT5G38870",,,"false","AT5G38870",
"3843","28","AT2G41240",,,"false","AT2G41240",
"3840","11","AT5G28040",,,"false","AT5G28040","false"
"3839","11","AT1G30870",,,"false","AT1G30870","false"
"3838","29","AT1G30515",,,"false","AT1G30515",
"3837","29","AT1G54790",,,"false","AT1G54790",
"3833","11","AT3G44910",,,"false","AT3G44910","false"
"3832","11","AT3G28550",,,"false","AT3G28550","false"
"3823","6","AT3G61610",,"translation","false","AT3G61610","false"
"3822","6","AT1G73220",,"translation","false","AT1G73220","false"
"3821","23","AT3G03190",,"carbohydrates S","false","AT3G03190","false"
"3820","11","AT4G36770",,,"false","AT4G36770","false"
"3819","11","AT5G05500",,,"false","AT5G05500","false"
"3816","28","AT3G56980",,,"false","AT3G56980",
"3809","16","AT2G05935",,,"false","AT2G05935",
"3808","12","AT5G15920",,,"false","AT5G15920",
"3807","12","AT2G29870",,,"false","AT2G29870",
"3802","11","AT4G21790",,,"false","AT4G21790","false"
"3801","11","AT4G05490",,,"false","AT4G05490","false"
"3800","34","AT2G30200",,,"false","AT2G30200",
"3799","34","AT3G53830",,,"false","AT3G53830",
"3798","28","AT3G18215",,,"false","AT3G18215",
"3797","12","AT5G10040",,,"false","AT5G10040",
"3792","12","AT1G70300",,,"false","AT1G70300",
"3791","12","AT3G27220",,,"false","AT3G27220",
"3788","26","AT5G17330",,"SR","false","AT5G17330","false"
"3787","26","AT5G13930",,"SR","false","AT5G13930","false"
"3786","34","AT3G03810",,,"false","AT3G03810",
"3785","34","AT2G28740",,,"false","AT2G28740",
"3784","6","AT5G52150",,"translation","false","AT5G52150","false"
"3783","6","AT1G73230",,"translation","false","AT1G73230","false"
"3782","26","AT4G22880",,"SR","false","AT4G22880","false"
"3781","2","AT1G50950",,"energy","false","AT1G50950","false"
"3780","2","AT1G06560",,"energy","false","AT1G06560","false"
"3777","8","AT4G37280",,,"false","AT4G37280",
"3776","8","AT1G07400",,,"false","AT1G07400",
"3775","19","AT2G21050",,,"false","AT2G21050",
"3774","19","AT1G04980",,,"false","AT1G04980",
