"SUID","color","name","selected","shared name"
"1751","green","AT1G11760","false","AT1G11760"
"2257","green","AT5G03770","false","AT5G03770"
"2726","green","AT3G62530","false","AT3G62530"
"2258","green","AT5G23900","false","AT5G23900"
"1752","green","AT5G09950","false","AT5G09950"
"613","green","AT1G54920","false","AT1G54920"
"614","green","AT2G09990","false","AT2G09990"
"2007","green","AT2G35140","false","AT2G35140"
"1753","green","AT3G43240","false","AT3G43240"
"3793","green","AT1G15930","false","AT1G15930"
"2261","green","AT3G15960","false","AT3G15960"
"1494","green","AT2G34480","false","AT2G34480"
"2262","green","AT4G25740","false","AT4G25740"
"1496","green","AT1G34430","false","AT1G34430"
"290","green","AT5G45113","false","AT5G45113"
"1497","green","AT3G01500","false","AT3G01500"
"291","green","AT3G23390","false","AT3G23390"
"944","green","AT2G30040","false","AT2G30040"
"945","green","AT3G16080","false","AT3G16080"
"2019","green","AT1G22015","false","AT1G22015"
"1233","green","AT2G24620","false","AT2G24620"
"1234","green","AT2G42740","false","AT2G42740"
"2739","green","AT3G05590","false","AT3G05590"
"634","green","AT1G30640","false","AT1G30640"
"635","green","AT3G53870","false","AT3G53870"
"951","green","AT1G35580","false","AT1G35580"
"952","green","AT4G14320","false","AT4G14320"
"2277","green","AT5G16710","false","AT5G16710"
"1238","green","AT5G56710","false","AT5G56710"
"2968","green","AT2G41650","false","AT2G41650"
"2027","green","AT5G41870","false","AT5G41870"
"2028","green","AT5G10360","false","AT5G10360"
"2517","green","AT2G20810","false","AT2G20810"
"3589","green","AT3G62120","false","AT3G62120"
"1773","green","AT1G13670","false","AT1G13670"
"1511","green","AT4G10170","false","AT4G10170"
"1512","green","AT3G25660","false","AT3G25660"
"1775","green","AT3G48930","false","AT3G48930"
"644","green","AT5G55480","false","AT5G55480"
"645","green","AT5G07090","false","AT5G07090"
"2032","green","AT3G52940","false","AT3G52940"
"1518","green","AT3G09350","false","AT3G09350"
"4007","green","AT1G14980","false","AT1G14980"
"317","green","AT3G61610","false","AT3G61610"
"318","green","AT1G73220","false","AT1G73220"
"1782","green","AT4G17390","false","AT4G17390"
"1522","green","AT1G07080","false","AT1G07080"
"2979","green","AT3G18740","false","AT3G18740"
"3602","green","AT3G14415","false","AT3G14415"
"2529","green","AT1G52300","false","AT1G52300"
"2046","green","AT1G03980","false","AT1G03980"
"2533","green","AT1G62790","false","AT1G62790"
"1795","green","AT3G53740","false","AT3G53740"
"1797","green","AT2G46980","false","AT2G46980"
"1535","green","AT1G11990","false","AT1G11990"
"1536","green","AT3G53430","false","AT3G53430"
"2051","green","AT1G22560","false","AT1G22560"
"3412","green","AT5G57360","false","AT5G57360"
"3414","green","AT1G65700","false","AT1G65700"
"3833","green","AT3G17440","false","AT3G17440"
"2309","green","AT1G64580","false","AT1G64580"
"1806","green","AT2G47700","false","AT2G47700"
"2310","green","AT1G48830","false","AT1G48830"
"1807","green","AT5G35530","false","AT5G35530"
"1546","green","AT2G28660","false","AT2G28660"
"1547","green","AT2G36160","false","AT2G36160"
"997","green","AT3G60770","false","AT3G60770"
"3622","green","AT5G09630","false","AT5G09630"
"2316","green","AT1G04270","false","AT1G04270"
"1283","green","AT4G01150","false","AT4G01150"
"687","green","AT3G54310","false","AT3G54310"
"2780","green","AT3G09920","false","AT3G09920"
"688","green","AT5G14320","false","AT5G14320"
"1554","green","AT5G52650","false","AT5G52650"
"2070","green","AT3G54740","false","AT3G54740"
"2071","green","AT4G29410","false","AT4G29410"
"1287","green","AT5G38520","false","AT5G38520"
"1560","green","AT2G45290","false","AT2G45290"
"1007","green","AT5G47920","false","AT5G47920"
"1008","green","AT2G47610","false","AT2G47610"
"2078","green","AT5G45630","false","AT5G45630"
"2330","green","AT3G03920","false","AT3G03920"
"4225","green","AT2G40560","false","AT2G40560"
"3018","green","AT4G05420","false","AT4G05420"
"1303","green","AT4G36710","false","AT4G36710"
"708","green","AT4G37280","false","AT4G37280"
"2798","green","AT1G73805","false","AT1G73805"
"709","green","AT1G59860","false","AT1G59860"
"4228","green","AT1G17370","false","AT1G17370"
"2799","green","AT4G24690","false","AT4G24690"
"3025","green","AT5G04140","false","AT5G04140"
"3026","green","AT3G26744","false","AT3G26744"
"2340","green","AT2G19750","false","AT2G19750"
"1841","green","AT1G28120","false","AT1G28120"
"1842","green","AT3G05560","false","AT3G05560"
"1843","green","AT3G02125","false","AT3G02125"
"3446","green","AT3G48870","false","AT3G48870"
"1844","green","AT2G05220","false","AT2G05220"
"3237","green","AT4G27600","false","AT4G27600"
"2810","green","AT4G12130","false","AT4G12130"
"2576","green","AT5G12880","false","AT5G12880"
"2577","green","AT3G46560","false","AT3G46560"
"2579","green","AT3G23830","false","AT3G23830"
"4054","green","AT4G16695","false","AT4G16695"
"2814","green","AT2G06002","false","AT2G06002"
"1590","green","AT1G11860","false","AT1G11860"
"1852","green","AT2G32060","false","AT2G32060"
"1593","green","AT2G27090","false","AT2G27090"
"2820","green","AT1G09690","false","AT1G09690"
"1046","green","AT3G21480","false","AT3G21480"
"1596","green","AT1G67430","false","AT1G67430"
"1047","green","AT4G05450","false","AT4G05450"
"2113","green","AT5G46390","false","AT5G46390"
"2823","green","AT5G28060","false","AT5G28060"
"2591","green","AT2G42610","false","AT2G42610"
"421","green","AT3G09500","false","AT3G09500"
"422","green","AT1G76530","false","AT1G76530"
"2828","green","AT3G62870","false","AT3G62870"
"3050","green","AT5G60510","false","AT5G60510"
"3667","green","AT5G44785","false","AT5G44785"
"1867","green","AT1G07400","false","AT1G07400"
"2120","green","AT2G39730","false","AT2G39730"
"427","green","AT5G63550","false","AT5G63550"
"428","green","AT3G04840","false","AT3G04840"
"3057","green","AT1G22830","false","AT1G22830"
"2124","green","AT4G39710","false","AT4G39710"
"756","green","AT5G10820","false","AT5G10820"
"1873","green","AT1G04190","false","AT1G04190"
"757","green","AT2G43460","false","AT2G43460"
"1064","green","AT5G17610","false","AT5G17610"
"1065","green","AT2G20450","false","AT2G20450"
"3475","green","AT5G52470","false","AT5G52470"
"2378","green","AT5G24360","false","AT5G24360"
"2609","green","AT4G04640","false","AT4G04640"
"2610","green","AT5G55310","false","AT5G55310"
"3888","green","AT3G09200","false","AT3G09200"
"1882","green","AT5G19855","false","AT5G19855"
"1081","green","AT4G31300","false","AT4G31300"
"453","green","AT4G00850","false","AT4G00850"
"2851","green","AT5G53860","false","AT5G53860"
"1082","green","AT5G01810","false","AT5G01810"
"2144","green","AT5G55710","false","AT5G55710"
"1365","green","AT3G08740","false","AT3G08740"
"1083","green","AT4G30220","false","AT4G30220"
"1366","green","AT3G54050","false","AT3G54050"
"2853","green","AT2G01250","false","AT2G01250"
"3485","green","AT5G27850","false","AT5G27850"
"2392","green","AT5G22580","false","AT5G22580"
"2857","green","AT5G20270","false","AT5G20270"
"465","green","AT1G49180","false","AT1G49180"
"3287","green","AT1G04430","false","AT1G04430"
"467","green","AT4G11350","false","AT4G11350"
"468","green","AT3G56340","false","AT3G56340"
"1095","green","AT1G76080","false","AT1G76080"
"2398","green","AT1G16880","false","AT1G16880"
"472","green","AT3G11430","false","AT3G11430"
"2403","green","AT4G13170","false","AT4G13170"
"3498","green","AT4G34410","false","AT4G34410"
"2634","green","AT4G16340","false","AT4G16340"
"3906","green","AT5G03350","false","AT5G03350"
"1386","green","AT3G16490","false","AT3G16490"
"2868","green","AT3G47370","false","AT3G47370"
"1105","green","AT5G45830","false","AT5G45830"
"1387","green","AT1G34030","false","AT1G34030"
"1106","green","AT5G59850","false","AT5G59850"
"2875","green","AT5G51440","false","AT5G51440"
"4286","green","AT5G23650","false","AT5G23650"
"4287","green","AT3G02080","false","AT3G02080"
"4112","green","AT5G03850","false","AT5G03850"
"1121","green","AT3G07630","false","AT3G07630"
"3715","green","AT3G04230","false","AT3G04230"
"823","green","AT1G16445","false","AT1G16445"
"2423","green","AT5G58420","false","AT5G58420"
"2881","green","AT5G16050","false","AT5G16050"
"1407","green","AT4G20900","false","AT4G20900"
"2427","green","AT1G13760","false","AT1G13760"
"3109","green","AT3G60360","false","AT3G60360"
"515","green","AT1G06770","false","AT1G06770"
"516","green","AT1G22780","false","AT1G22780"
"836","green","AT1G53450","false","AT1G53450"
"837","green","AT5G02450","false","AT5G02450"
