"SUID","color","name","selected","shared name"
"609","yellow","AT3G13150","true","AT3G13150"
"2843","yellow","AT5G43360","true","AT5G43360"
"610","yellow","AT4G28750","true","AT4G28750"
"2499","yellow","AT2G43030","true","AT2G43030"
"446","yellow","AT1G09770","true","AT1G09770"
"447","yellow","AT2G26500","true","AT2G26500"
"772","yellow","AT1G55670","true","AT1G55670"
"1361","yellow","AT2G44580","true","AT2G44580"
"4261","yellow","AT1G05190","true","AT1G05190"
"1629","yellow","AT1G49500","true","AT1G49500"
"1630","yellow","AT1G79850","true","AT1G79850"
"780","yellow","AT4G28860","true","AT4G28860"
"3484","yellow","AT1G71500","true","AT1G71500"
"4092","yellow","AT2G34860","true","AT2G34860"
"2017","yellow","AT1G72450","true","AT1G72450"
"3993","yellow","AT3G21350","true","AT3G21350"
"2018","yellow","AT3G49680","true","AT3G49680"
"1894","yellow","AT3G63190","true","AT3G63190"
"1766","yellow","AT2G20260","true","AT2G20260"
"3691","yellow","AT4G28660","true","AT4G28660"
"1503","yellow","AT3G15440","true","AT3G15440"
"3585","yellow","AT1G75690","true","AT1G75690"
"789","yellow","AT5G24314","true","AT5G24314"
"2153","yellow","AT2G27120","true","AT2G27120"
"3077","yellow","AT1G34000","true","AT1G34000"
"1504","yellow","AT5G01530","true","AT5G01530"
"1375","yellow","AT3G27160","true","AT3G27160"
"3696","yellow","AT3G20865","true","AT3G20865"
"3183","yellow","AT5G40950","true","AT5G40950"
"2401","yellow","AT1G07320","true","AT1G07320"
"2159","yellow","AT5G30510","true","AT5G30510"
"639","yellow","AT1G21650","true","AT1G21650"
"3396","yellow","AT1G48520","true","AT1G48520"
"2030","yellow","AT5G55840","true","AT5G55840"
"802","yellow","AT1G49230","true","AT1G49230"
"3190","yellow","AT4G37930","true","AT4G37930"
"483","yellow","AT5G03360","true","AT5G03360"
"4462","yellow","AT1G32760","true","AT1G32760"
"1109","yellow","AT1G10050","true","AT1G10050"
"1110","yellow","AT3G01480","true","AT3G01480"
"2641","yellow","AT4G14890","true","AT4G14890"
"2528","yellow","AT3G15360","true","AT3G15360"
"970","yellow","AT3G14200","true","AT3G14200"
"3306","yellow","AT3G62150","true","AT3G62150"
"971","yellow","AT2G31725","true","AT2G31725"
"2043","yellow","AT3G23760","true","AT3G23760"
"1661","yellow","AT2G31860","true","AT2G31860"
"2296","yellow","AT1G15580","true","AT1G15580"
"1261","yellow","AT2G30880","true","AT2G30880"
"1262","yellow","AT3G50685","true","AT3G50685"
"662","yellow","AT3G54200","true","AT3G54200"
"663","yellow","AT3G26060","true","AT3G26060"
"2175","yellow","AT3G08920","true","AT3G08920"
"3825","yellow","AT5G63310","true","AT5G63310"
"4293","yellow","AT5G35200","true","AT5G35200"
"4294","yellow","AT2G27680","true","AT2G27680"
"3612","yellow","AT2G46820","true","AT2G46820"
"2304","yellow","AT5G03930","true","AT5G03930"
"2653","yellow","AT2G24230","true","AT2G24230"
"1126","yellow","AT3G10580","true","AT3G10580"
"1671","yellow","AT4G26660","true","AT4G26660"
"1127","yellow","AT3G56910","true","AT3G56910"
"1672","yellow","AT3G15190","true","AT3G15190"
"1128","yellow","AT4G02770","true","AT4G02770"
"2768","yellow","AT5G64400","true","AT5G64400"
"3514","yellow","AT3G02700","true","AT3G02700"
"1131","yellow","AT1G50950","true","AT1G50950"
"2998","yellow","AT5G54180","true","AT5G54180"
"3110","yellow","AT4G39970","true","AT4G39970"
"832","yellow","AT1G18580","true","AT1G18580"
"1676","yellow","AT4G15510","true","AT4G15510"
"833","yellow","AT3G54210","true","AT3G54210"
"358","yellow","AT4G33250","true","AT4G33250"
"359","yellow","AT3G47070","true","AT3G47070"
"1285","yellow","AT4G17060","true","AT4G17060"
"2784","yellow","AT1G09250","true","AT1G09250"
"531","yellow","AT5G55650","true","AT5G55650"
"3847","yellow","AT1G74970","true","AT1G74970"
"1951","yellow","AT4G12850","true","AT4G12850"
"1952","yellow","AT3G25920","true","AT3G25920"
"1295","yellow","AT1G48350","true","AT1G48350"
"3014","yellow","AT3G08940","true","AT3G08940"
"4401","yellow","AT2G03150","true","AT2G03150"
"2079","yellow","AT5G50370","true","AT5G50370"
"2080","yellow","AT1G78680","true","AT1G78680"
"539","yellow","AT1G70750","true","AT1G70750"
"540","yellow","AT1G30380","true","AT1G30380"
"4039","yellow","AT4G34620","true","AT4G34620"
"1697","yellow","AT4G36810","true","AT4G36810"
"3743","yellow","AT3G26710","true","AT3G26710"
"1304","yellow","AT4G21860","true","AT4G21860"
"4406","yellow","AT3G09660","true","AT3G09660"
"1164","yellow","AT5G58260","true","AT5G58260"
"216","yellow","AT1G79040","true","AT1G79040"
"1167","yellow","AT1G31230","true","AT1G31230"
"713","yellow","AT1G17770","true","AT1G17770"
"714","yellow","AT3G11630","true","AT3G11630"
"1311","yellow","AT4G36960","true","AT4G36960"
"3029","yellow","AT5G10940","true","AT5G10940"
"2917","yellow","AT3G23710","true","AT3G23710"
"1584","yellow","AT2G32790","true","AT2G32790"
"884","yellow","AT2G41360","true","AT2G41360"
"2922","yellow","AT5G63980","true","AT5G63980"
"885","yellow","AT3G21055","true","AT3G21055"
"1974","yellow","AT1G03600","true","AT1G03600"
"4237","yellow","AT5G17870","true","AT5G17870"
"3240","yellow","AT1G28040","true","AT1G28040"
"1324","yellow","AT1G07740","true","AT1G07740"
"4417","yellow","AT5G44650","true","AT5G44650"
"3960","yellow","AT1G10960","true","AT1G10960"
"3553","yellow","AT5G51220","true","AT5G51220"
"1856","yellow","AT1G12900","true","AT1G12900"
"2478","yellow","AT5G19940","true","AT5G19940"
"3358","yellow","AT1G16080","true","AT1G16080"
"3872","yellow","AT1G68140","true","AT1G68140"
"1598","yellow","AT5G38410","true","AT5G38410"
"1471","yellow","AT1G32990","true","AT1G32990"
"1861","yellow","AT3G07910","true","AT3G07910"
"1334","yellow","AT4G25050","true","AT4G25050"
"2118","yellow","AT2G04700","true","AT2G04700"
"3464","yellow","AT4G17600","true","AT4G17600"
"2711","yellow","AT2G38140","true","AT2G38140"
"591","yellow","AT3G47420","true","AT3G47420"
"592","yellow","AT2G06520","true","AT2G06520"
"1606","yellow","AT4G09010","true","AT4G09010"
"1871","yellow","AT1G06680","true","AT1G06680"
"2369","yellow","AT3G18390","true","AT3G18390"
"916","yellow","AT1G27450","true","AT1G27450"
"917","yellow","AT1G75350","true","AT1G75350"
"1995","yellow","AT2G33450","true","AT2G33450"
"1482","yellow","AT5G28690","true","AT5G28690"
"2945","yellow","AT2G21330","true","AT2G21330"
"2493","yellow","AT1G60790","true","AT1G60790"
"759","yellow","AT3G14395","true","AT3G14395"
"1874","yellow","AT4G36430","true","AT4G36430"
"2946","yellow","AT2G44581","true","AT2G44581"
"2374","yellow","AT1G52590","true","AT1G52590"
"765","yellow","AT4G33690","true","AT4G33690"
"1486","yellow","AT4G37740","true","AT4G37740"
"607","yellow","AT5G14910","true","AT5G14910"
"766","yellow","AT5G09660","true","AT5G09660"
"2379","yellow","AT5G02760","true","AT5G02760"
"608","yellow","AT1G08380","true","AT1G08380"
