"SUID","__glayCluster","__mclCluster","COLOR","GOlorize.data","KEGG_ath","KEGG_hsa","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","P48347","selected","shared name"
"4956","39","63","",,"AT3G43540","","","Unclustered","0.0","AT3G43540","Q9M236","false","AT3G43540"
"4953","8","360","",,"AT2G36145","","","Unclustered","0.0","AT2G36145","Q8VXY0","false","AT2G36145"
"4952","42","361","",,"AT3G43300","","","Unclustered","0.0","AT3G43300","F4IXW2","false","AT3G43300"
"4942","6","362","",,"AT3G62760","","","Unclustered","0.0","AT3G62760","Q9LZI9","false","AT3G62760"
"4941","38","9","",,"AT2G29350","","","Unclustered","0.0","AT2G29350","Q9ZW18","false","AT2G29350"
"4937","5","12","",,"AT3G61870","","","Unclustered","0.0","AT3G61870","Q9M277","false","AT3G61870"
"4936","15","35","",,"AT4G22820","","","Unclustered","0.0","AT4G22820","O49663","false","AT4G22820"
"4930","10","13","",,"AT5G45090","","","Unclustered","0.0","AT5G45090","Q9FHE5","false","AT5G45090"
"4927","5","22","",,"","","","Unclustered","0.0","AT2G38780","F4ITX5","false","AT2G38780"
"4926","18","36","",,"AT1G67490","","","Unclustered","0.0","AT1G67490","F4HTM3","false","AT1G67490"
"4922","5","64","",,"","","","Unclustered","0.0","AT1G16020","Q9S9N3","false","AT1G16020"
"4921","1","65","",,"AT4G08290","","","Unclustered","0.0","AT4G08290","Q9SUF1","false","AT4G08290"
"4919","5","153","",,"AT2G44870","","","Unclustered","0.0","AT2G44870","O22164","false","AT2G44870"
"4918","14","66","",,"","","","Unclustered","0.0","AT1G32230","F4ICM3","false","AT1G32230"
"4917","14","363","",,"","","","Unclustered","0.0","AT3G07160","","false","AT3G07160"
"4910","31","364","",,"AT1G72560","","","Unclustered","0.0","AT1G72560","Q7PC79","false","AT1G72560"
"4905","21","154","",,"AT2G04530","","","Unclustered","0.0","AT2G04530","Q8L633","false","AT2G04530"
"4902","36","7","",,"AT3G14180","","","Unclustered","0.0","AT3G14180","Q9LJG8","false","AT3G14180"
"4899","15","23","",,"","","","Unclustered","0.0","AT3G31310","","false","AT3G31310"
"4898","8","365","",,"","","","Unclustered","0.0","AT1G07870","F4HSH9","false","AT1G07870"
"4897","7","37","",,"AT5G17670","","","Unclustered","0.0","AT5G17670","Q9FN84","false","AT5G17670"
"4896","6","67","",,"AT1G32760","","","Unclustered","0.0","AT1G32760","Q9LPI8","false","AT1G32760"
"4891","4","366","",,"AT1G19770","","","Unclustered","0.0","AT1G19770","Q9FXH5","true","AT1G19770"
"4885","35","367","",,"AT1G51120","","","Unclustered","0.0","AT1G51120","Q9C688","false","AT1G51120"
"4884","22","368","",,"AT3G06490","","","Unclustered","0.0","AT3G06490","Q9LDE1","false","AT3G06490"
"4882","16","155","",,"","","","Unclustered","0.0","AT1G63940","F4I577","false","AT1G63940"
"4877","3","369","",,"","","","Unclustered","0.0","AT2G02790","F4IRA9","false","AT2G02790"
"4872","4","38","",,"AT1G09240","","","Unclustered","0.0","AT1G09240","O80483","true","AT1G09240"
"4869","6","68","",,"AT4G40045","","","Unclustered","0.0","AT4G40045","Q940J7","false","AT4G40045"
"4868","36","7","",,"AT1G49800","","","Unclustered","0.0","AT1G49800","Q5S502","false","AT1G49800"
"4859","6","69","",,"AT2G30695","","","Unclustered","0.0","AT2G30695","Q945Q5","false","AT2G30695"
"4858","14","370","",,"AT3G10360","","","Unclustered","0.0","AT3G10360","Q9SS47","false","AT3G10360"
"4857","13","156","",,"AT1G22810","","","Unclustered","0.0","AT1G22810","O80542","false","AT1G22810"
"4853","27","371","",,"AT3G19210","","","Unclustered","0.0","AT3G19210","Q0PCS3","false","AT3G19210"
"4852","27","157","",,"","","","Unclustered","0.0","AT3G57890","Q940S9","false","AT3G57890"
"4851","6","158","",,"AT5G44650","","","Unclustered","0.0","AT5G44650","Q9LU01","false","AT5G44650"
"4850","8","70","",,"AT1G30200","","","Unclustered","0.6666666666666666","AT1G30200","Q9C534","false","AT1G30200"
"4846","14","159","",,"AT1G25490","","","Unclustered","0.0","AT1G25490","Q38845","false","AT1G25490"
"4844","30","372","",,"","","","Unclustered","0.0","AT1G79245","","false","AT1G79245"
"4843","15","160","",,"AT4G21585","","","Unclustered","0.0","AT4G21585","F4JJL0","false","AT4G21585"
"4842","3","161","",,"AT1G27435","","","Unclustered","0.0","AT1G27435","Q94F28","false","AT1G27435"
"4840","16","155","",,"AT3G09660","","","Unclustered","0.5","AT3G09660","Q9SF37","false","AT3G09660"
"4839","5","162","",,"AT3G51520","","","Unclustered","0.0","AT3G51520","Q9ASU1","false","AT3G51520"
"4838","17","163","",,"AT2G22100","","","Unclustered","0.0","AT2G22100","Q9SHZ5","false","AT2G22100"
"4837","2","71","",,"AT3G59020","","","Unclustered","0.0","AT3G59020","F4J738","false","AT3G59020"
"4835","16","373","",,"AT2G03150","","","Unclustered","0.0","AT2G03150","F4IS91","false","AT2G03150"
"4834","21","374","",,"AT3G24440","","","Unclustered","0.0","AT3G24440","Q9LHF5","false","AT3G24440"
"4827","1","65","",,"AT4G37270","","","Unclustered","0.0","AT4G37270","Q9M3H5","false","AT4G37270"
"4826","14","164","",,"AT1G66770","","","Unclustered","0.0","AT1G66770","Q9C9M9","false","AT1G66770"
"4825","8","375","",,"","","","Unclustered","0.0","AT1G16550","","false","AT1G16550"
"4824","4","376","",,"AT1G80330","","","Unclustered","0.0","AT1G80330","Q9C971","true","AT1G80330"
"4823","4","165","",,"AT4G21390","","","Unclustered","0.0","AT4G21390","O81906","true","AT4G21390"
"4816","8","166","",,"AT3G26400","","","Unclustered","0.0","AT3G26400","Q9LIN5","false","AT3G26400"
"4812","6","167","",,"","","","Unclustered","0.0","AT1G67645","","false","AT1G67645"
"4811","8","72","",,"AT4G01500","","","Unclustered","0.0","AT4G01500","O82595","false","AT4G01500"
"4810","35","24","",,"","","","Unclustered","0.0","AT2G33370","Q1H559","false","AT2G33370"
"4808","49","168","",,"AT2G45620","","","Unclustered","0.0","AT2G45620","O64642","false","AT2G45620"
"4805","14","14","",,"AT4G02020","","","Unclustered","0.0","AT4G02020","Q9ZSM8","false","AT4G02020"
"4804","8","166","",,"","","","Unclustered","0.0","AT3G53940","Q8W4M2","false","AT3G53940"
"4803","4","169","COLOR",,"AT5G40780","","","Unclustered","0.0","AT5G40780","Q9FKS8","true","AT5G40780"
"4802","26","170","",,"AT2G35795","","","Unclustered","0.0","AT2G35795","Q8RV04","false","AT2G35795"
"4801","21","377","",,"AT2G04865","","","Unclustered","0.0","AT2G04865","F4IFD0","false","AT2G04865"
