gene,cluster
AT4G11770,746
AT5G07400,745
AT3G58240,613
AT5G04270,744
AT5G44630,612
AT5G59670,83
AT5G40970,23
AT4G19990,742
AT5G27900,610
AT4G37090,10
AT5G52150,1
AT4G38710,3
AT2G03330,609
AT3G47200,608
AT1G65130,216
AT1G79040,3
AT4G01900,5
AT2G28650,2
AT5G55620,217
AT5G60580,6
AT3G28630,8
AT1G73390,607
AT5G27420,1
AT3G51930,168
AT3G57000,80
AT1G04490,606
AT1G23080,605
AT5G55950,604
AT1G20860,603
AT5G23220,601
AT2G42090,1
AT5G15500,741
AT1G35910,677
AT4G15870,627
AT3G23980,65
AT5G53110,599
AT1G07270,215
AT3G20800,598
AT5G13380,6
AT3G04360,597
AT3G23050,199
AT3G15180,596
AT5G13660,594
AT3G10380,34
AT4G28365,14
AT1G50735,2
AT5G11470,2
AT5G49320,6
AT3G14050,6
AT3G14430,8
AT3G48860,592
AT3G25990,591
AT3G15810,123
AT5G45113,1
AT1G34065,589
AT3G43175,2
AT2G38150,2
AT3G60170,66
AT2G41520,588
AT3G01260,6
AT5G15920,65
AT4G22285,587
AT3G29175,586
AT1G29710,740
AT3G04130,695
AT1G11180,4
AT3G23640,651
AT3G61610,1
AT5G05230,32
AT4G30030,12
AT5G66490,2
AT2G01820,38
AT2G20850,583
AT1G65280,104
AT4G26270,581
AT2G29500,6
AT1G48760,6
AT3G57960,580
AT2G35350,71
AT5G38490,579
AT3G15740,8
AT3G62160,6
AT1G12320,578
AT1G42705,8
AT1G04310,74
AT5G03430,3
AT5G20230,2
AT5G19180,577
AT4G33250,3
AT4G24080,213
AT3G07890,5
AT3G22500,61
AT4G01520,52
AT2G34580,4
AT1G64810,2
AT3G05240,2
AT3G17030,2
AT3G57330,2
AT1G72700,34
AT1G28690,10
AT1G60310,15
AT2G24310,8
AT2G11280,20
AT2G28740,16
AT3G07970,8
AT4G13575,2
AT4G13460,2
AT2G28390,211
AT1G58050,2
AT5G06910,569
AT1G11650,6
AT3G18550,64
AT2G19900,568
AT5G42655,567
AT5G53020,566
AT5G22510,51
AT2G01100,563
AT2G38130,2
AT3G09500,1
AT5G02470,2
AT5G35640,2
AT5G63550,1
AT5G05870,2
AT5G38820,11
AT4G27652,27
AT5G17170,14
AT3G09590,2
AT4G32380,65
AT2G40460,6
AT3G62210,2
AT5G52530,49
AT5G58660,71
AT1G09770,3
AT1G23860,2
AT1G13410,5
AT4G00850,1
AT4G38140,6
AT2G16130,8
AT3G19553,9
AT5G61700,6
AT1G77655,34
AT1G49180,5
AT4G11350,1
AT5G64660,2
AT3G57930,11
AT5G46050,41
AT5G49910,2
AT5G04230,560
AT1G62730,2
AT3G12090,2
AT5G03360,3
AT3G12970,28
AT1G60750,2
AT5G53150,5
AT5G25150,2
AT4G16420,554
AT2G36020,17
AT5G06530,20
AT5G40370,8
AT2G36895,6
AT3G59970,209
AT5G17830,552
AT1G23440,3
AT1G31460,550
AT3G07770,42
AT3G10340,549
AT1G06770,1
AT1G04360,8
AT3G55850,2
AT2G26180,8
AT5G19875,548
AT3G10000,208
AT4G13195,8
AT1G16680,547
AT2G28970,5
AT5G55650,3
AT4G38890,8
AT3G16000,5
AT5G18190,70
AT1G70750,3
AT3G14790,1
AT3G01370,9
AT4G04320,1
AT1G77400,219
AT5G59770,70
AT1G14455,2
AT1G36180,2
AT3G50620,11
AT3G05850,2
AT5G57740,1
AT5G19740,544
AT5G62900,543
AT3G14820,20
AT4G23060,6
AT1G19270,16
AT5G53390,8
AT5G45670,11
AT3G15480,3
AT4G02040,542
AT3G01380,11
AT5G13720,9
AT3G27470,31
AT4G33495,65
AT2G20890,3
AT5G04520,2
AT3G47420,3
AT2G21100,540
AT2G15280,9
AT3G17430,8
AT1G72980,4
AT1G12250,72
AT5G53380,7
AT5G21070,108
AT5G14910,3
AT3G13150,3
AT1G60700,18
AT1G54920,1
AT1G80130,2
AT4G39680,9
AT3G18540,8
AT2G17880,121
AT1G12560,13
AT5G61310,16
AT1G17950,178
AT4G08850,8
AT4G38950,8
AT1G17300,81
AT1G30640,1
AT5G19485,4
AT1G21650,3
AT5G19430,65
AT3G23150,531
AT5G55480,1
AT1G51740,58
AT1G03030,6
AT5G06770,32
AT3G63400,530
AT5G04910,6
AT1G30515,7
AT1G17820,2
AT3G61790,8
AT4G31790,6
AT3G54200,3
AT2G41820,2
AT2G41560,527
AT1G33230,523
AT3G03380,12
AT2G33520,2
AT1G24650,2
AT5G11830,38
AT1G48380,521
AT1G80050,518
AT1G29280,517
AT1G54990,4
AT1G65660,516
AT3G54310,5
AT3G18270,8
AT5G66590,127
AT3G22570,102
AT5G25080,8
AT3G09850,2
AT1G07300,5
AT1G73230,1
AT1G02205,10
AT3G02840,2
AT2G46930,2
AT4G37280,6
AT3G44910,71
AT2G44910,205
AT1G17770,3
AT1G20790,631
AT4G14050,2
AT1G76060,115
AT5G03170,20
AT3G13070,8
AT5G50420,5
AT1G35560,2
AT1G48410,5
AT1G30960,65
AT1G70650,33
AT3G43835,2
AT4G09320,1
AT5G03440,614
AT3G31430,6
AT5G38680,8
AT1G14048,600
AT2G40010,24
AT1G10750,4
AT2G38880,204
AT1G14000,582
AT5G10820,1
AT3G14395,3
AT2G40160,83
AT3G04600,571
AT4G33690,3
AT1G09812,57
AT1G70610,21
AT1G70830,4
AT3G46060,7
AT3G54880,21
AT4G28860,3
AT4G17140,546
AT4G00290,74
AT5G11040,2
AT1G63610,8
AT4G25550,14
AT5G50900,2
AT2G10250,2
AT5G39350,526
AT1G07180,515
AT1G49230,3
AT2G17530,2
AT3G43436,202
AT5G17130,69
AT4G08640,79
AT5G27880,15
AT5G57310,68
AT3G03450,12
AT3G11385,2
AT1G30650,41
AT1G16445,1
AT1G16920,5
AT2G29250,57
AT2G04480,52
AT3G25210,2
AT1G18580,3
AT3G17840,2
AT1G53450,1
AT5G55530,21
AT5G55230,3
AT3G62810,2
AT1G20130,2
AT4G15460,6
AT2G20430,1
AT4G13970,4
AT4G15730,503
AT5G22810,10
AT2G07120,16
AT3G57310,3
AT5G65495,1
AT3G14172,2
AT2G45380,28
AT2G45030,6
AT4G08340,2
AT5G52820,65
AT2G05020,5
AT4G01575,502
AT3G04380,37
AT1G13920,2
AT3G60070,13
AT4G24020,126
AT2G41360,3
AT1G43690,13
AT1G70300,65
AT1G18690,1
AT2G31081,496
AT5G25840,36
AT5G34869,184
AT2G31810,62
AT5G17580,12
AT2G17430,47
AT5G38150,2
AT3G19900,494
AT5G48490,150
AT1G72540,13
AT1G13480,2
AT1G27450,3
AT1G33350,177
AT1G29630,6
AT5G61170,1
AT2G43880,493
AT3G03640,492
AT4G15280,48
AT1G18440,18
AT4G07521,2
AT1G10160,122
AT4G31615,2
AT5G28490,19
AT2G30040,1
AT1G68050,9
AT4G01210,8
AT4G05510,2
AT1G35580,1
AT4G13160,8
AT3G03810,16
AT5G62680,8
AT5G12040,68
AT2G30990,2
AT3G26618,2
AT4G24430,2
AT1G17240,8
AT4G18440,8
AT3G14200,3
AT1G03990,15
AT5G16480,489
AT1G49780,4
AT4G15590,33
AT5G49690,2
AT1G15080,19
AT2G21195,42
AT5G13790,1
AT5G17330,197
AT3G22910,484
AT3G11850,10
AT1G64600,6
AT2G01810,9
AT5G06250,16
AT2G43700,25
AT2G30160,481
AT5G47920,1
AT3G20155,2
AT2G43375,18
AT2G44900,2
AT4G29940,480
AT4G30710,3
AT1G79050,2
AT1G54680,4
AT5G42650,32
AT2G32520,8
AT5G40500,19
AT2G22050,479
AT5G59810,4
AT1G53570,2
AT2G39420,21
AT1G77885,65
AT2G29070,18
AT2G05260,98
AT2G26710,2
AT3G58660,7
AT3G56650,158
AT4G08530,18
AT3G21480,1
AT3G15630,2
AT1G61580,4
AT4G11740,6
AT2G12195,3
AT4G24790,15
AT3G05790,3
AT2G35270,8
AT5G17610,1
AT5G15350,5
AT5G65730,30
AT1G56310,122
AT2G21880,3
AT5G48440,2
AT3G13175,2
AT1G28200,61
AT1G45000,3
AT4G31300,1
AT5G01810,1
AT1G28410,2
AT1G10380,1
AT1G05577,34
AT4G26130,6
AT5G63200,188
AT1G76080,1
AT2G13260,3
AT5G35160,7
AT5G09730,2
AT5G45830,1
AT1G10050,3
AT3G59040,7
AT3G60680,2
AT5G37620,468
AT1G22930,6
AT2G41475,29
AT3G09210,6
AT3G07630,1
AT2G37900,10
AT3G10580,3
AT4G29200,5
AT1G50950,3
AT1G08010,20
AT4G12860,6
AT1G22330,16
AT3G18400,8
AT5G63135,2
AT1G13170,133
AT2G33350,194
AT2G18820,1
AT1G18870,5
AT2G36750,465
AT5G24820,463
AT3G43675,462
AT3G55280,20
AT3G60780,192
AT4G12420,12
AT1G42440,6
AT3G42050,460
AT1G31230,3
AT1G23790,3
AT4G38190,459
AT5G40440,2
AT2G01790,1
AT4G02075,1
AT1G77090,18
AT3G57785,40
AT5G59400,458
AT5G37820,115
AT1G75670,457
AT1G69610,12
AT3G54890,3
AT5G19290,3
AT2G18150,1
AT3G57380,2
AT2G14255,4
AT5G28050,456
AT5G45210,91
AT3G12160,25
AT1G80120,453
AT2G32795,42
AT3G06030,4
AT4G36770,21
AT2G39820,2
AT3G30390,30
AT4G38100,8
AT1G70310,39
AT3G05140,227
AT1G44960,2
AT5G61910,9
AT5G63040,694
AT1G74030,10
AT1G19130,41
AT1G68795,5
AT4G17620,688
AT2G24620,1
AT1G20630,68
AT2G37925,70
AT3G53050,37
AT4G29360,2
AT5G07480,1
AT4G04790,7
AT1G15520,4
AT3G15390,658
AT5G52540,12
AT4G21065,191
AT3G14440,2
AT2G19220,643
AT5G54160,101
AT2G30880,3
AT2G32070,10
AT5G38700,220
AT5G65600,128
AT1G10522,2
AT5G61920,15
AT1G49510,4
AT5G40460,45
AT3G16250,12
AT2G36250,2
AT1G04980,3
AT1G69630,2
AT3G18660,190
AT4G17060,3
AT3G27740,1
AT1G52150,618
AT5G17270,2
AT2G31460,3
AT5G40700,2
AT5G60530,75
AT5G26617,8
AT3G05670,12
AT3G17160,2
AT4G36710,5
AT2G32235,48
AT3G14310,2
AT1G16370,3
AT5G46410,218
AT4G36960,3
AT4G39810,2
AT2G40140,2
AT3G54300,16
AT1G42510,15
AT3G18850,17
AT1G73820,595
AT1G07740,9
AT5G53960,2
AT1G30370,1
AT1G20410,14
AT1G63970,5
AT5G24355,11
AT5G59450,35
AT3G52860,212
AT2G20724,8
AT1G33811,576
AT4G07915,19
AT1G43005,10
AT1G24270,41
AT3G49490,2
AT5G62350,53
AT1G18640,564
AT4G25450,8
AT5G01880,2
AT2G44580,3
AT4G29440,2
AT3G08740,3
AT2G16860,556
AT4G27890,116
AT3G15570,1
AT2G04790,8
AT4G13870,5
AT5G47290,15
AT5G10100,3
AT5G50290,2
AT5G10490,8
AT3G16490,1
AT5G67340,2
AT5G50830,27
AT5G08565,31
AT5G14690,2
AT3G05530,2
AT5G65690,538
AT2G01930,535
AT1G01510,2
AT5G46690,534
AT4G25835,532
AT2G18910,14
AT4G20900,1
AT5G03510,525
AT5G35460,520
AT5G45070,15
AT1G22850,2
AT4G37490,2
AT1G12700,513
AT2G18115,10
AT4G29970,510
AT1G26320,69
AT5G28040,21
AT2G34300,90
AT2G26880,6
AT1G23800,2
AT5G59480,2
AT2G26695,187
AT2G38540,1
AT4G16690,47
AT1G01305,2
AT3G43522,2
AT2G15430,2
AT4G05090,19
AT1G63490,6
AT5G67320,6
AT2G05600,14
AT3G07450,8
AT5G64560,499
AT5G13110,9
AT4G27750,69
AT3G51750,1
AT5G44000,30
AT1G76800,2
AT3G62380,5
AT5G53520,53
AT4G31850,4
