Gene1,Gene2,Score
AT2G41520,AT2G24755,0.03858401609033969
AT5G40970,AT4G08868,0.03849805215509216
AT4G11770,AT4G08874,0.035069578174037656
AT5G59670,AT2G07692,0.03498589844324747
AT5G44630,AT2G07691,0.03320844458508585
AT3G47200,AT2G24760,0.03011760267896845
AT4G22285,AT1G24470,0.029133152696716264
AT1G75670,AT1G24480,0.02626646871408388
AT1G29710,AT2G07712,0.024607943044800035
AT5G15500,AT2G07786,0.024226031029030464
AT5G55620,AT3G12020,0.0241473226715452
AT5G53110,AT1G35112,0.02402889625973224
AT5G19875,AT4G16155,0.023745157225028443
AT5G48490,AT3G12030,0.02368381186031563
AT4G37090,AT1G80210,0.022473536367232448
AT4G01900,AT4G13870,0.022449194255900005
AT1G04490,AT5G06190,0.02228752724917453
AT3G23640,AT1G54320,0.0222111039339362
AT2G28650,AT1G35110,0.02203994188663913
AT2G03330,AT1G09410,0.02201800968965348
AT3G51930,AT1G23880,0.02183522183940978
AT3G23050,AT3G04550,0.021719477243601796
AT3G20800,AT4G13860,0.021684422836187215
AT4G15870,AT5G06180,0.021303054905611952
AT3G25990,AT1G09415,0.021295164636088496
AT1G80120,AT1G65410,0.021050729511084488
AT2G20850,AT4G16430,0.020640571114148677
AT1G65280,AT4G24330,0.020593310129296834
AT3G04360,AT5G46030,0.020529717599993887
AT4G27652,AT5G40650,0.02049923003411187
AT3G28630,AT1G23870,0.020331722299361147
AT2G21100,AT5G40660,0.020008593780557842
AT2G38150,AT1G09800,0.020001042123056804
AT3G59970,AT5G46040,0.019776624127918335
AT1G34065,AT1G79280,0.01975979794818361
AT3G57000,AT3G04560,0.019410888091062457
AT4G16420,AT5G39785,0.01926869087427184
AT5G57310,AT1G20620,0.018999669607662018
AT4G38710,AT4G16440,0.018787373894694964
AT5G57990,AT3G01345,0.01859647873129083
AT2G22050,AT1G79270,0.018432654564119674
AT5G04230,AT4G24320,0.01839822677941858
AT3G48860,AT1G09795,0.018389316687266496
