,AT5G04140,AT1G70530,AT3G14240,AT5G10450,AT1G21670,AT2G25000,AT5G55050,AT4G21326,AT1G04110,AT4G20860,AT1G72300,AT4G20000,AT1G08090,AT4G01250,AT3G48650,AT4G34980,AT4G33430,AT2G22122,AT1G51800,AT3G52450,AT4G35180,AT5G53110,AT1G30730,AT2G39200,AT1G14780,AT2G19170,AT4G21870,AT5G46330,AT3G46280,AT1G77380,AT4G20430,AT3G49780,AT1G52200,AT5G50200,AT1G15950,AT1G64170,AT5G01540,AT5G59190,AT3G45060,AT3G29034,AT2G06050,AT2G05920,AT5G59130,AT1G66210,AT2G04160,AT1G51890,AT2G30490,AT4G28140,AT5G13930,AT5G06950,AT5G20250,AT5G11940,AT1G64280,AT5G20480,AT5G44530,AT1G20150,AT1G30600,AT4G39400,AT5G07440,AT4G23210,AT5G59080,AT5G53460,AT1G71950,AT5G67450,AT2G44370,AT5G44585,AT2G25470,AT1G51620,AT5G54160,AT2G41220,AT5G03620,AT4G21323,AT5G66420,AT5G45650,AT2G39530,AT4G30190,AT2G01950,AT4G26330,AT1G37130,AT1G12940,AT3G19010,AT1G30720,AT5G59810,AT2G15620,AT2G44380,AT1G02450,AT2G02220,AT5G45640,AT1G62340,AT1G19380,AT2G38900,AT4G24160,AT4G20850,AT2G37040,AT4G15040,AT5G58840,AT5G58820,AT1G65490,AT3G59880,AT2G36690,AT5G51750,AT4G38560,AT1G66220,AT1G32970,AT3G26210,AT4G08850,AT2G42360,AT3G14067,AT5G37600,AT1G49000,AT1G32950,AT3G19930,AT4G00230,AT2G30360,AT1G51680,AT3G50470,AT1G61380,AT5G67360,AT1G01900,AT2G39850,AT5G67090,AT5G59100,AT5G19660,AT1G35160,AT3G50480,AT2G31400,AT5G39580,AT5G59090,AT1G05300,AT4G01700,AT1G65690,AT3G21080,AT4G27730,AT4G31550,AT4G21410,AT5G40780,AT1G20160,AT1G61360,AT2G17740,AT5G48430,AT3G25882,AT2G19190,AT2G44490,AT3G19450,AT2G37710,AT4G31800,AT3G22060
AT5G04140,0,0.04873256565887418,0.20107207919339465,0.025493155020659852,0.020170688892337196,0.017746938149658664,0.08348075065992,0.0,0.0,0.0,0.07072555114062307,0.05830915898385314,0.014962011364967776,0.0,0.017988168944381933,0.2316053438483745,0.0,0.040758174829792715,0.17857324811430741,0.09579005402734331,0.01443189026874081,0.11043968354078482,0.04960612235644679,0.1308399896474879,0.014366923218597671,0.023438876812304388,0.023352215601122772,0.010463335690638509,0.07580114363392698,0.09034960020770555,0.0,0.04430201174347048,0.07896241436224116,0.14275998647822408,0.0,0.09739930353182968,0.0,0.0008986311732164243,0.07509799674637296,0.15687664308240912,0.0,0.16179769653657994,0.08780730046259122,0.05988985266566704,0.0657484553747032,0.03092100752392346,0.16254566352352073,0.04012712160243104,0.0,0.0690208977292659,0.05101286915378411,0.0,0.07174553840773146,0.0,0.15917282778558928,0.0,0.0,0.03336573219458416,0.2165048488999206,0.0013768768027608846,0.0,0.08766240263632574,0.12703368445712515,0.018609847673466406,0.08034310739113337,0.0,0.0,0.005820599639411395,0.07425635974953426,0.03578343730500011,0.06567792438427622,0.0,0.11317784161153321,0.05033265904476969,0.09194615175703813,0.0,0.0,0.0,0.04367252370244401,0.0,0.05888476915459662,0.12985613210004776,0.0,0.16815711942830402,0.021136944763781473,0.0,0.02483529106596949,0.0,0.0,0.0,0.04730727655598721,0.0,0.0,0.05796423703223996,0.0,0.07266820038486044,0.01620949643022951,0.04841813551058283,0.09967255139011888,0.05119654603928758,0.1820635845719618,0.0,0.0,0.06613184508249925,0.0,0.1622515028996545,0.1001306269522182,0.020009694126537525,0.09538312958867934,0.08926927363965476,0.03059770524038896,0.06263951330120032,0.11365967021456047,0.0998892727711842,0.025115429506925135,0.0,0.10622792742255927,0.15451424188712304,0.035363719642366176,0.08210663005345742,0.0,0.05279969500303072,0.05788844585603581,0.05820837680629887,0.01603844575713831,0.07081044204935116,0.0643359958373666,0.10730295382568755,0.15294666657425005,0.03306460780044462,0.14107766771985597,0.03321311667862381,0.09395057590417388,0.0,0.0,0.009878477034359845,0.0,0.04752699188536469,0.0412760377201955,0.12023871967180289,0.06594053245901743,0.1855350336426702,0.0,0.04275863307321415,0.11074952667915339,0.06159894747738415,0.022781448194729936
AT1G70530,0,0.0,0.1273039368641662,0.06060402936079545,0.05709021340977216,0.0993541949540051,0.028763165215452524,0.05402231400742008,0.02980049895465431,0.3838435910116067,0.0,0.08603289695318783,0.011039600996274324,0.25940430218553323,0.1798498362755827,0.12198941288153908,0.028748372884130236,0.0,0.2485119053522491,0.12159202245987877,0.29100013118556545,0.22381696981874888,0.09059319828029544,0.2524977507673192,0.08123820115274727,0.10936936015673604,0.0933699401475272,0.10402829691883397,0.18426803104180967,0.055950621289403646,0.01832130381948982,0.1873774665639829,0.27546738386497815,0.1938298446983655,0.00992380949354632,0.07287375078095804,0.26323498609927354,0.08321423937947547,0.011640918755758012,0.13917081863489877,0.08458069038967198,0.1411864871865769,0.05612815084106515,0.028196883114297355,0.0,0.2245229787090366,0.12946091952369532,0.06067722634540362,0.08628563420554491,0.03601201297827994,0.0316124800289137,0.00859590338751115,0.3751550612417667,0.0941318646316498,0.011192625110355792,0.030593141081871833,0.0,0.0,0.05439919246279512,0.24539792146113504,0.0,0.03558641449733746,0.12204546252161963,0.2234915974301952,0.2194903634389962,0.10041944622900822,0.09472295577854761,0.20631596858074697,0.049842732637305875,0.0,0.0484411001130709,0.0,0.0,0.03063613458168346,0.12819642453293634,0.040783992658796064,0.0,0.0,0.0,0.0,0.24303108651940186,0.10940699970299872,0.10842407831911482,0.011038611788779518,0.03348043275620105,0.06762396172637364,0.5181869650435871,0.0,0.028400098499835602,0.13931751922150548,0.019825266768962235,0.14336572473956966,0.00470840492639879,0.1527521201117812,0.0,0.15392624302255986,0.012743052356917861,0.0,0.09594210166644568,0.2851344481914597,0.1529107180096989,0.20481425991103075,0.09825173116556507,0.0,0.18286309785779342,0.1649665562848266,0.1540034864748019,0.020871817464087172,0.15923798707373682,0.27796371383844787,0.0,0.09319900205438714,0.0165165147716968,0.09303974937434001,0.02298034236348001,0.31163609111973867,0.2252713526172887,0.0,0.01066293978221533,0.011032256701681842,0.05701505712828103,0.029539593236123318,0.006540390746150759,0.025133159976822084,0.12974086326845646,0.04591376289226523,0.13320115208994965,0.0,0.15731479697551753,0.15585476561520717,0.21865725072132092,0.1386153385959883,0.033576164534368846,0.18979766783030128,0.15507283202045863,0.19869404931899548,0.0,0.25321470810162516,0.16987047603054095,0.1220953072940647,0.06678757772804733,0.09440354238882698,0.38156046078006955,0.0,0.34513139989631836,0.20486248947934538,0.24534954580047041
AT3G14240,0,0.0,0.0,0.0911307978180882,0.09780719308568364,0.1205423968205992,0.0652567680313898,0.07394863342981117,0.0,0.20968886731027303,0.049139191117233194,0.1359063986340452,0.022297246455996955,0.04441413914016823,0.15825548340128082,0.2879137231611717,0.029538661688036427,0.0295835737086787,0.013018913605340687,0.08666722165114948,0.1101374836694684,0.11103491676354027,0.00015381628887034537,0.12363817930251186,0.15255235660800626,0.105825643283189,0.0,0.03478326771562146,0.06105246223563232,0.1945256150849053,0.045016944360110944,0.26681559691704293,0.2321109708204907,0.13329339148070662,0.0,0.0,0.09618944439190491,0.037080630615325294,0.0,0.26739014866758826,0.16540995222170207,0.37140390869780626,0.08724121593401768,0.0,0.08196940241541517,0.22999788360203488,0.06131328433900429,0.04577189085772981,0.07626607038905586,0.0,0.0,0.05728997509863509,0.055115946114415726,0.048862540810866495,0.02587645508232761,0.026429760604573582,0.07016140253549841,0.05718699442501696,0.15967013064729207,0.07282974053567193,0.0417874486305192,0.014590262129910991,0.07656463494540033,0.04171605484312857,0.018449091387620742,0.10214665168859893,0.007185901896970215,0.08741852195415123,0.03150768445267871,0.08924599319283222,0.0,0.0,0.0,0.014329648570598152,0.203544260832496,0.03892227571604012,0.0,0.0,0.0007826244170050511,0.0,0.1617679236020395,0.03265374614489236,0.06491121683298662,0.0320663881952461,0.061418281401954156,0.12858104283573035,0.14908439577321442,0.0174426953023481,0.0,0.10989476381658903,0.09888184206888506,0.038659845496323175,0.02148577077770053,0.01141963266373791,0.04026914844410734,0.15877181273469199,0.0003770598508834322,0.08751428528845495,0.0,0.1447710618906124,0.13986457784669803,0.05445809449996708,0.03858218649102363,0.06667477272412325,0.18418113969113414,0.08215633809820422,0.19523652114187784,0.134339703096104,0.09629166976948844,0.1080579409264879,0.06124124563745026,0.0,0.009918316756589274,0.1288367647873201,0.0014858594391626845,0.13263823824052534,0.08281534152960357,0.3388698997899251,0.0,0.14417316915728406,0.028782246808878753,0.05216074539472659,0.0,0.0,0.08748746363286708,0.013822031062785456,0.13407406973999092,0.07019819357694468,0.1009458338392053,0.08006812056145685,0.3720247029450763,0.16951330628151196,0.075356936000323,0.11939761450701658,0.09362837544473379,0.20923412385383644,0.11112600436653808,0.08160579789283129,0.1266547795599886,0.1442453871563929,0.1673293204214703,0.05057192551713774,0.042774008538999375,0.06234759702475623,0.08358457367966987,0.21429397523144122,0.10370252013136083
AT5G10450,0,0.0,0.0,0.0,0.004110012076741665,0.14678101151835565,0.06406544217584309,0.00950714212512005,0.0,0.002429201342786236,0.06249644729354076,0.009249615336379025,0.0,0.0,0.017746240587956708,0.08037639571087496,0.0,0.07607748366642664,0.0,0.03647867755686729,0.06759360392024139,1.704258660417679e-05,0.031242336444197605,0.0190241420609234,0.00498312546627333,0.0,0.03634203046283435,0.07632976063555352,0.0,0.013162721209733164,0.05323275409446393,0.010999211350978255,0.0897591820286876,0.11265491160775509,0.05960333873081458,0.0,0.04656524632484493,0.0021746989326600907,0.0,0.034430303169024956,0.0,0.00517256126127541,0.04979841988755429,0.02046005152488739,0.0,0.04420921142430312,0.02264873802138201,0.05979114575837774,0.0,0.061784365697681976,0.03295427030534692,0.01913550665768926,0.0,0.0370599306246695,0.08008147593673676,0.0,0.0,0.0,0.03344867344543201,0.0,0.0,0.07527248133302566,0.07208932157269654,0.0667282888026588,0.0,0.02237890230374817,0.0,0.0,0.05773452318442529,0.10713991217943275,0.06654811154260787,0.0,0.0,0.001556204621305346,0.06719305320796876,0.0,0.01770534552209968,0.07156474311176475,0.008940553430803577,0.17820623569859895,0.0,0.0,0.06260844549350031,0.0,0.02695886790716262,0.005462249757323345,0.08704454688225094,0.0,0.02297671666621559,0.0005268738694221842,0.002453460372832117,0.010143913432850038,0.0,0.04052661841701988,0.024654289163015264,0.0,0.016305702389360466,0.0,0.0,0.0,0.0148541954085335,0.030876299207237334,0.0,0.0,0.09216598192731329,0.04504205264244843,0.0,0.09550116987012713,0.051323981694652465,0.032697490732969126,0.04582446502859727,0.05955908178922642,0.0,0.055671517855493624,0.06467093117927325,0.031421297399312875,0.09202695784575621,0.09193700308495023,0.07860231697320774,0.05452515941095437,0.0,0.0161084870776802,0.02156141338523465,0.0,0.0,0.029011871500145725,0.03597846768515511,0.012768596013059907,0.062284993672768296,0.028523929225322986,0.012399799047680071,0.1496171948812144,0.03445359062854236,0.0,0.03160042939028007,0.062203559916730544,0.05619337001685487,0.02250220825529503,0.022036224068173516,0.0,0.0003147112557155829,0.0,0.032562679320178534,0.0,0.05031913074303751,0.0,0.0
AT1G21670,0,0.0,0.0,0.0,0.0,0.0,0.1044263044741629,0.0,0.0,0.11386111838666957,0.02650335517517477,0.14867618451655784,0.011602657493404056,0.09026464928405686,0.0012906478468415195,0.15339005143104312,0.0,0.0,0.05268214498187551,0.06079149912247561,0.06394310793113611,0.09382833457832707,0.06142848997596739,0.043517285034751385,0.0,0.0,0.0,0.0,0.1103041922082233,0.0,0.03601998545707841,0.10195792040288887,0.1969627472212192,0.08085291436966724,0.0,0.06743416603741492,0.03461187975256497,0.03669008659133666,0.0,0.023750538529666798,0.008101025230941472,0.07277866577404102,0.0,0.0,0.0003606319539433134,0.14942230714453464,0.11846716927810075,0.023633499672995217,0.008010746046598793,0.04851613510028718,0.049969599745340876,0.0,0.031150873207886898,0.0,0.03294955304683134,0.0,0.0,0.0,0.03831330765359997,0.1627142695481656,0.01956212613637298,0.03273673960718293,0.030745676579696957,0.0,0.1459227977176798,0.19726285698235824,0.16883368172249935,0.016679747840122383,0.029410379174790835,0.0,0.05446033414110851,0.07723532722358861,0.010654723226307228,0.038049290412063064,0.043279397006814824,0.05677478769550759,0.061975323870772314,0.01322617768693668,0.07340421824871579,0.01740100494462493,0.0,0.0,0.022129585384796924,0.049816249506062116,0.025760712285844534,0.06423088890635253,0.20907501436459874,0.05111330660559865,0.0,0.0,0.015406848133900697,0.042305943499822085,0.0,0.0,0.0,0.014431104107319515,0.00303914438120767,0.01708094791915382,0.04228607449098276,0.14141409280868,0.0048247047921017305,0.0,0.03209167004516633,0.007439188001532537,0.1267125990769833,0.11748510646296229,0.030013131416413596,0.01620767997544892,0.06943821438949782,0.09326284958341824,0.0,0.038077555633462046,0.0,0.038333554157551575,0.026811886409271235,0.13504713926709533,0.13752332808601508,0.0,0.0,0.013568892026722512,0.0025641191415530784,0.0009831112263956054,0.0003541598164442661,0.09497152235076989,0.07093369269055394,0.0,0.0,0.0,0.15860993589707229,0.0,0.0,0.04198265839294302,0.023797396824937644,0.06657357811614939,0.058249355316552176,0.1353701783819521,0.00015653826247041813,0.0,0.103581928868413,0.07917063761681375,0.0,0.1057453826887782,0.0753135413466246,0.0,0.041581853554759185,0.1276983081141052,0.0921485699489284
AT2G25000,0,0.0,0.0,0.0,0.0,0.0,0.0730739817359991,0.0,0.0,0.040618519674071374,0.0,0.17358150834275743,0.032503808538047574,0.07522832986517014,0.11116294435032081,0.1231293778295377,0.06393138267765086,0.0,0.0,0.1551694532148291,0.12685545865994308,0.10495544179411764,0.0,0.159556736552944,0.04631703089846906,0.00040949982347604497,0.040215128653908305,0.0,0.07089720956770562,0.12172195677469477,0.0,0.03719684442344029,0.17505429744836642,0.21171163210664634,0.0,0.3475673204834162,0.165922592981947,0.0,0.0,0.1035046903232506,0.0,0.02115774684392724,0.01766585695907219,0.0,0.0,0.15933878004910418,0.08564982662237774,0.0,0.0,0.0,0.0,0.0,0.10308301641005668,0.0,0.0,0.0,0.0,0.02955774490656693,0.0890273112522384,0.1401445941111812,0.0,0.0,0.04576424561826542,0.152858237230856,0.03138843806738412,0.14664094352899282,0.1381951974395843,0.16235086696002266,0.12605005661670754,0.09208525397658196,0.0,0.08147909560020783,0.0,0.0,0.03859395291644918,0.12636103253273356,0.02467019801313608,0.014244581765207265,0.0,0.13273122774155643,0.012538116690275602,0.0,0.00011980569950442721,0.19630559389758662,0.18821250559325864,0.08076020159435848,0.15346123854697447,0.06170441786776104,0.0,0.06561380427886054,0.05778122997114932,0.07208038944695794,0.0,0.0,0.001758253547223143,0.05819029386598995,0.0,0.06105075232901491,0.13611932229884371,0.17327206491344183,0.019580842021547973,0.007661708783138987,0.1209596661764436,0.0,0.2838636109738859,0.05047316737130925,0.0,0.0,0.08439639294973245,0.06644986602065273,0.0,0.08980903342886881,0.0,0.0423580878907297,0.06772710572192131,0.18443524860189542,0.11970321719100374,0.034117306963998395,0.0,0.0,0.03001782969284128,0.00038641078960921504,0.010244384902458492,0.08234268181347426,0.09918621399259897,0.0,0.013728448917543545,3.556826504924615e-05,0.08345479364380104,0.12248809708552089,0.13249986813306713,0.2903229359532151,0.28680430861516326,0.0,0.0,0.22580591728824628,0.0,0.04759419519798147,0.08107891599621442,0.0,0.1945954952860136,0.05614162256770383,0.08692758442674009,0.047079560321659386,0.20815196909055977,0.12359677507648237,0.07687590306072689
AT5G55050,0,0.0,0.0,0.0,0.0,0.0,0.0,0.016410259824199303,0.015850429044838465,0.22109585234667573,0.03630758133026757,0.13469392811107683,0.028000194947028545,0.04987522951029666,0.04126446001870443,0.18775203648371552,0.022809109633396663,0.07669258483051355,0.007579643490268406,0.14057417927349913,0.04337947128518582,0.1499774094190891,0.13796849390102217,0.09908374875134429,0.06656929031341852,0.052229136021424205,0.005991973892069291,0.0,0.20934541381542227,0.14859341538116033,0.03331563169664564,0.21347869438268008,0.14438078352432826,0.1520852188255053,0.045640134871596016,0.1323809782157599,0.1882144964332535,0.0,0.0,0.22788303469169513,0.0,0.05986554439002845,0.0,0.015069552003883713,0.07045345952639037,0.20227327820257401,0.17746177384394457,0.05281616110976617,0.07474173571476417,0.03770850971072548,0.026790662543319854,0.0,0.1638328940766267,0.0,0.0,0.0,0.060859209031620676,0.046523838685119445,0.11399897006561788,0.046470668903339396,0.0,0.06338198914812243,0.0748595293008667,0.1872892954306593,0.14373013761787945,0.028963892780656364,0.13813895156637868,0.25094936902600384,0.12518979920525708,0.07956120029473501,0.0,0.0,0.11173519183697289,0.06511416479220844,0.1732551435559293,0.03953955062730308,0.08402071113498821,0.0,0.017986030110088924,0.01991760802780962,0.1197547913714323,0.08125525736739303,0.010052720417354166,0.16474968510705446,0.01953125700209113,0.033303560342770266,0.09325354138441377,0.0,0.0,0.14065212593141307,0.060304323514005276,0.17570068621000723,0.0019090445403189271,0.10203553704982915,0.036161008430591446,0.02766167743205994,0.033980689499099936,0.12148845561964339,0.08329164582358128,0.0,0.055731330074611396,0.0363586663732669,0.050864692299933845,0.0,0.0,0.0,0.1201308463828974,0.0,0.11518593088795193,0.22643095859204054,0.0,0.14521001242008325,0.07055034654053127,0.049291763748355866,0.06280794719184657,0.042709083843135875,0.12570238490220786,0.06900752731412596,0.03807438655041673,0.031356288744850414,0.0,0.0,0.0020677212858868366,0.004869632992502426,0.031039253292160396,0.013609174078184738,0.1378566099687346,0.07085336868194525,0.13774417160104102,0.05398179656836222,0.06855136844536247,0.08547486696316087,0.0,0.0668803558837725,0.07431557154246327,0.05106367155133862,0.01359683536713141,0.03991001207546874,0.0991428040166451,0.1560766451559199,0.1034807735561698,0.05340805613159061,0.13414739221356897,0.0,0.061340003558007394,0.08130499147046333,0.08212770630399113
AT4G21326,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006535034678458507,0.0,0.0,0.07403322983662419,0.0,0.0006414617022445501,0.016213748294545915,0.03335211391763826,0.04828042740910621,0.0,0.0,0.0,0.040816341948185286,0.01782397458886087,0.02986452383739535,0.0,0.09812457784776885,0.0,0.03975155682368703,0.0,0.02360268948908706,0.0,0.0,0.07523765211831823,0.0,0.020290860974929492,0.058806972154717974,0.0,0.021799670359191392,0.0239104045587073,0.08459672731837098,0.0265532192850213,0.0,0.0,0.002774943849870093,0.0,0.0,0.0,0.0,0.013905837748338534,0.04013149540065952,0.04069819586851553,0.0,0.08587973605571286,0.05644445932798381,0.0,0.0,0.024624298877932382,0.015862230843389558,0.03565872385737534,0.022740198384181065,0.07111332661117387,0.0,0.058476983728851906,0.009889851596444288,0.06885833714099787,0.009762308759538207,0.006220200810361343,0.006413492491596839,0.025966303139944413,0.0,0.0,0.1046961122708816,0.0,0.0,0.04314337113684252,0.011608114407691605,0.0,0.0,0.014712286112988027,0.0,0.0,0.06547839864526495,0.030605784326948493,0.0,0.0,0.03256122237445025,0.0,0.0,0.015780670286887455,0.023625777018419614,0.0,0.07146556390519021,0.0,0.08582955188255448,0.04271362714950877,0.020294632118765588,0.0,0.0,0.0,0.023489206572974597,0.0,0.0,0.0004697649266927062,0.05616887768827028,0.005398575447109533,0.0,0.0,0.0,0.0,0.09380830911750859,0.0,0.0,0.0,0.04547184518453906,0.0,0.0,0.0,0.010059676558800357,0.0,0.0,0.0,0.0,0.0,0.03410839348972439,0.0,0.0,0.0,0.0,0.023889519413519356,0.0,0.008456160571208127,0.020638097295400337,0.11423632563927133,0.0,0.0,0.0,0.07214492080440071,0.0885198308904187,0.0,0.0,0.04672867872739572,0.0,0.0,0.0415369407218793,0.0,0.0,0.07125155192582056,0.0
AT1G04110,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04867253913053449,0.00863887550854936,0.0,0.0773013805060252,0.029773703817610464,0.0,0.0,0.0,0.0013120395627248538,0.011074276871749777,0.0773491162533384,0.0,0.0,0.0,0.0,0.0,0.0,0.022116871284674877,0.0015398677006386308,0.0,0.0324185453706638,0.0,0.0,0.0013961974029286228,0.0035944809962771274,0.0009048327456828709,0.0,0.0,0.10549653566728479,0.04055722384835758,0.0,0.05200787888464409,0.0,0.026200104709069416,0.004953315375341383,0.0,0.0,0.07092523196735412,0.012665932546194192,0.0,0.0,0.04321982762524601,0.061515961231132454,0.0,0.05252981576391469,0.0002721398520426632,0.05119970841721866,0.08473380536034703,0.0027497196677812585,0.02178365231787094,0.010230302827155757,0.0,0.02903390498222458,0.0,0.0,0.03951325066938338,0.02075429215458091,0.0,0.09249658090691715,0.0,0.014735519023723498,0.0,0.0,0.0,0.01570300152064452,0.0,0.038169211072652365,0.04176090261177223,0.0,0.03122590612954701,0.010666028761393775,0.0013534984295133778,0.03249995955030216,0.0,0.0,0.0,0.08178790410535441,0.027504233155445812,0.0,0.0,0.0947131582672025,0.019177257116259838,0.0,0.0,0.0,0.06696795819639867,0.0,0.0,0.0,0.0,0.051518436323582106,0.0,0.007291696812034676,0.0,0.030671999983751475,0.0180859760541221,0.0,0.045556829005970245,0.045131529189348374,0.0,0.0,0.04645924533997414,0.0,0.026522405001804694,0.042492898106991195,0.026218063722227347,0.0,0.0,0.09470223015577162,0.0,0.0,0.08380322717185984,0.04798233400059093,0.0,0.0,0.0,0.0,0.0,0.0,0.002497919583148267,0.0,0.0,0.0,0.02582694335794189,0.05469072281919085,0.02904779488964726,0.0,0.0014226503534884305,0.06823459938486431,0.0,0.0727072901885708,0.0,0.03599903729512044,0.04889448028922394,0.0,0.0,0.010664377973697459
AT4G20860,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22373637023121162,0.014957179235782325,0.3501529930216494,0.1524545857396553,0.14714089774572714,0.1698992036837852,0.06755853429239367,0.23314640956080224,0.3492507425207032,0.33563447183067985,0.1964606510596143,0.25963954469825556,0.46656430490095735,0.15988715141381138,0.0,0.0,0.04073440172612086,0.2523076730919631,0.12248005967192133,0.09465435100580599,0.2788828456683612,0.40236555356084813,0.2247800689795929,0.0,0.02345134420278594,0.3331235203458185,0.0,0.08655986910290459,0.20693580799075417,0.1746972071225985,0.0824906301557764,0.14713534965901953,0.03381974445213465,0.0,0.3951050038039181,0.2503618932885463,0.012270636708864968,0.0,0.04214846442412723,0.0,0.0,0.19148465668132975,0.0,0.014168119214707842,0.0,0.0,0.08965512403096265,0.19891353551183721,0.30322986299071664,0.0,0.08220347300669073,0.11252577797861973,0.16540676476097627,0.27071012936105054,0.09915775742729371,0.13002974569286652,0.34468099585368783,0.2087678580439285,0.0,0.026841670736958756,0.013862173985895287,0.14918028258913751,0.013322551772552815,0.3307490413062948,0.0,0.06442748087854056,0.0,0.032770085195531706,0.0,0.24953061962548628,0.36518737055041295,0.0,0.09546507061440535,0.2633107842530955,0.041566521984540916,0.2978716146475284,0.031042228819235573,0.0,0.22977019875888405,0.06832925146552227,0.12772397265092805,0.0,0.13934092527157294,0.0,0.0,0.09399871476626798,0.0157029053605533,0.10914015052060799,0.3493455431332273,0.10327653242431456,0.15701885615585032,0.01424815333431062,0.0,0.2666706017083802,0.2270923131829783,0.4363433433908337,0.11385565092923478,0.16726896122649482,0.26490392466121615,0.040445608408878675,0.07892570499170981,0.030007247125752867,0.12338062836767527,0.09783951923866718,0.1828039603273106,0.2582472009632566,0.25981400579656255,0.0,0.06015493958699447,0.11029380811076028,0.06715004520669843,0.14185187989451276,0.05576258218563068,0.19997962767020305,0.0,0.3546493531598891,0.040128486048072176,0.14168066675260294,0.0757706087552632,0.3218580978446104,0.25362904051585344,0.09847235247745068,0.2178347382009902,0.14793813246286747,0.24570841259659804,0.00023514049019057737,0.4040433273367787,0.3412853880923663,0.26752883123729143,0.11124282205327196,0.25168431613817743,0.2907047871807664,0.059602024967198464,0.17037508889156205,0.11715393175917366,0.44149227985386363
