gene1,gene2,value,rank
AT1G52200,AT5G39580,0.527775153984356,1
AT1G49000,AT4G01700,0.4063324858156279,1
AT2G25000,AT1G64170,0.3475673204834162,1
AT1G15950,AT1G37130,0.2780900170667291,1
AT2G39200,AT2G44370,0.8104356683469442,1
AT5G59130,AT5G45650,0.3036728229379177,1
AT2G37040,AT1G51680,0.4101787836623991,1
AT4G35180,AT3G25882,0.5501076331195309,1
AT3G19010,AT4G31550,0.4449219387081624,1
AT4G39400,AT2G01950,0.16975847454234394,1
AT5G10450,AT1G12940,0.17820623569859895,1
AT4G01250,AT3G52450,0.5466474348189119,1
AT4G01250,AT1G19380,0.5138404770157867,2
AT2G39200,AT2G02220,0.6689927334337096,2
AT1G51890,AT1G65690,0.4995541343893388,2
AT4G20860,AT3G22060,0.4414922798538636,2
AT4G20430,AT5G59190,0.14662076495881204,2
AT1G52200,AT2G17740,0.4997693149185187,2
AT4G38560,AT4G08850,0.35107736943375545,2
AT5G59130,AT5G19660,0.20083440250395104,2
AT1G02450,AT3G25882,0.4969751863454557,2
AT2G44370,AT5G44585,0.7119231642126367,2
AT3G52450,AT1G61360,0.5392343973025204,2
AT4G23210,AT1G51620,0.5434074230804193,2
AT3G19010,AT4G08850,0.4337813635663597,2
AT5G37600,AT3G50480,0.30517456959831857,2
AT1G70530,AT2G02220,0.5181869650435871,2
AT4G20000,AT5G67450,0.480460873213012,2
AT5G50200,AT3G29034,0.4588612821275413,2
AT3G14240,AT2G05920,0.3714039086978063,2
AT5G53460,AT2G41220,0.18301437713877625,3
AT2G05920,AT1G05300,0.3234938860152217,3
AT2G25000,AT4G27730,0.2868043086151633,3
AT3G29034,AT1G65690,0.4371234555414347,3
AT3G45060,AT4G30190,0.14939104702903386,3
AT1G51620,AT2G36690,0.514420929441457,3
AT2G39200,AT2G36690,0.5268017665500482,3
AT5G53110,AT5G40780,0.3720345652916224,3
AT2G04160,AT2G41220,0.13223523338778365,3
AT5G45650,AT1G32970,0.17690786635624378,3
AT4G26330,AT1G32970,0.0996526004428131,3
AT4G20860,AT2G42360,0.4363433433908337,3
AT2G38900,AT5G67090,0.16813358658900945,3
AT1G30730,AT5G44585,0.4610109088764303,3
AT5G11940,AT5G03620,0.1059914142312992,3
AT2G02220,AT1G61360,0.4940657756640441,3
AT5G07440,AT3G19930,0.2918117979415682,3
AT1G30720,AT4G31550,0.3791967052597629,3
AT1G30720,AT5G39580,0.4911870104002318,3
AT2G44370,AT1G51620,0.6507706499833252,3
AT5G67450,AT3G50470,0.3923277208163967,3
AT3G49780,AT1G51890,0.4428915218573724,3
AT5G54160,AT2G37040,0.2605858715221201,3
AT1G64170,AT1G05300,0.3163113905185,3
AT2G19170,AT4G21323,0.14970980203884987,3
AT3G14240,AT5G67360,0.3388698997899251,3
AT1G70530,AT1G64280,0.3751550612417667,4
AT1G51800,AT3G19010,0.3791093319970724,4
AT5G66420,AT1G51680,0.3208300112026998,4
AT1G52200,AT1G65690,0.472751513597837,4
AT1G61360,AT2G44490,0.4565926537428842,4
AT2G25470,AT4G27730,0.22147040813744834,4
AT2G41220,AT2G01950,0.1203110727718706,4
AT3G19930,AT1G51680,0.2569552557774488,4
AT4G39400,AT5G19660,0.14587543895739485,4
AT5G04140,AT5G07440,0.2165048488999206,4
AT4G20430,AT1G30600,0.12403243770459516,4
AT1G32950,AT5G19660,0.16251943156174908,4
AT4G35180,AT5G01540,0.4165475515856447,4
AT4G30190,AT3G19450,0.14297814926192487,4
AT2G44370,AT2G36690,0.5598512099453024,4
AT4G01250,AT2G36690,0.5007953919204655,4
AT3G50470,AT3G25882,0.32398122042426913,4
AT1G05300,AT5G40780,0.3440156148696507,4
AT3G50480,AT3G21080,0.3131036072540112,4
AT3G14240,AT4G34980,0.2879137231611717,4
AT4G33430,AT2G30360,0.17011796651483446,4
AT1G64280,AT4G08850,0.3466747865255781,4
AT5G59190,AT2G04160,0.11955957920040895,4
AT4G27730,AT3G19450,0.1482810379876507,4
AT2G42360,AT1G65690,0.4231997671216097,4
AT4G21326,AT5G03620,0.1046961122708816,4
AT2G39200,AT5G39580,0.5097106874444217,4
AT4G20000,AT5G44585,0.4291069939857426,5
AT1G51620,AT2G02220,0.4888310759729153,5
AT5G59810,AT4G15040,0.09558859606958993,5
AT4G23210,AT5G44585,0.41041131800852937,5
AT1G70530,AT2G44490,0.3815604607800696,5
AT4G35180,AT2G42360,0.4015784202710533,5
AT5G07440,AT1G51680,0.2241111231289743,5
AT1G70530,AT2G37710,0.3451313998963184,5
AT3G52450,AT2G02220,0.4848889829890453,5
AT3G52450,AT5G39580,0.4505234917756436,5
AT1G71950,AT3G14067,0.17545662350674918,5
AT4G01250,AT4G31550,0.4338574047189363,5
AT1G62340,AT5G67090,0.16174726462136335,5
AT3G49780,AT2G05920,0.3161232029293628,5
AT1G04110,AT1G01900,0.09470223015577164,5
AT3G46280,AT2G39530,0.35799485392398744,5
AT3G49780,AT3G29034,0.3785053687817388,5
AT4G34980,AT2G05920,0.3096239604355873,5
AT2G39530,AT2G17740,0.4466979132421465,5
AT1G52200,AT3G29034,0.4626470527829978,5
AT4G38560,AT2G37710,0.30446683462820845,5
AT1G30730,AT2G44370,0.5510336050934714,5
