gene1,gene2,value,rank
AT3G14240,AT2G05920,0.7186401063281821,1
AT3G45060,AT2G38900,0.6160907041653751,1
AT2G39200,AT2G44370,0.9057105551881428,1
AT2G22122,AT5G59090,0.2825770391713074,1
AT1G15950,AT1G37130,0.6382383688615341,1
AT5G39580,AT5G48430,0.8167777186829491,1
AT5G59130,AT5G45650,0.721145336266471,1
AT1G51890,AT1G65690,0.8479235906099849,1
AT5G10450,AT5G20250,0.42917119473481896,1
AT3G52450,AT1G61360,0.8701534375038695,1
AT3G46280,AT2G17740,0.8438246933541294,1
AT1G32970,AT5G59100,0.22388991695309216,1
AT1G02450,AT3G25882,0.8084574727382792,1
AT2G37040,AT1G51680,0.8063368304251618,1
AT2G39200,AT2G36690,0.8905360240912739,2
AT5G53460,AT2G15620,0.4971111915971013,2
AT1G20150,AT5G03620,0.2981411542971998,2
AT5G44530,AT2G39850,0.5107739250471014,2
AT1G52200,AT5G39580,0.8116636297820004,2
AT2G04160,AT5G19660,0.3932424954323453,2
AT2G06050,AT2G30360,0.5537434703310823,2
AT3G29034,AT1G51890,0.8125988222055818,2
AT4G39400,AT3G14067,0.2523125854323672,2
AT4G35180,AT3G25882,0.7961073644130489,2
AT4G20860,AT2G42360,0.8023660069684863,2
AT2G42360,AT1G65690,0.8312050134761463,2
AT3G14240,AT4G34980,0.7007965320224575,2
AT1G51800,AT3G19010,0.8210637495726014,2
AT2G02220,AT2G36690,0.871266876077685,2
AT5G04140,AT5G44530,0.5349834803935871,2
AT1G30720,AT5G48430,0.7883891213280543,2
AT4G38560,AT4G08850,0.7572821064400259,2
AT4G34980,AT2G05920,0.6441311613034588,2
AT4G01250,AT3G52450,0.8356117936890716,2
AT2G25470,AT1G12940,0.6540972804426226,2
AT1G72300,AT1G37130,0.4707232556362146,2
AT2G25000,AT4G27730,0.6130583560506381,2
AT4G20000,AT5G67450,0.8097501054012197,2
AT5G37600,AT1G05300,0.6914805092017223,2
AT3G14240,AT5G67360,0.5548430695246674,3
AT2G25000,AT1G12940,0.6051222845278371,3
AT1G30730,AT5G44585,0.768376328239862,3
AT4G20000,AT1G49000,0.7960441624112059,3
AT4G34980,AT5G67360,0.637325206541391,3
AT2G19170,AT5G53460,0.3720619049679307,3
AT2G39200,AT2G02220,0.8844257321084553,3
AT5G50200,AT3G29034,0.7571381018160479,3
AT5G53110,AT1G49000,0.7640073079001394,3
AT2G05920,AT5G67360,0.5890152171342029,3
AT2G44370,AT2G36690,0.8707334497151739,3
AT2G41220,AT5G19660,0.4096828188501106,3
AT5G54160,AT2G37040,0.6279338677023228,3
AT1G64170,AT1G05300,0.6860104761721879,3
AT3G26210,AT5G40780,0.7165183099897371,3
AT1G70530,AT1G64280,0.7224909129168771,3
AT3G26210,AT5G37600,0.6975308930090945,3
AT2G44370,AT1G51620,0.8646538544383925,3
AT1G30720,AT5G39580,0.7982409333077566,3
AT1G20150,AT5G58820,0.2625091410696278,3
AT5G13930,AT2G15620,0.4657120126093002,3
AT3G21080,AT3G25882,0.6979002915373392,3
AT5G04140,AT2G15620,0.4997757528252684,3
AT4G23210,AT3G21080,0.7803619550229627,3
AT1G08090,AT1G32970,0.1833771564282207,4
AT5G51750,AT5G67360,0.43744015767056094,4
AT3G50480,AT3G21080,0.686672839539165,4
AT4G01250,AT2G36690,0.8626156519296212,4
AT1G08090,AT5G59090,0.2035538556727209,4
AT3G14067,AT1G20160,0.3205201041920909,4
AT1G61360,AT2G44490,0.8174584209487437,4
AT3G45060,AT1G32950,0.4712029358857196,4
AT3G52450,AT2G44490,0.8206503655268774,4
AT1G51620,AT2G02220,0.8343578188448977,4
AT5G67450,AT4G38560,0.7024899496762342,4
AT4G35180,AT4G23210,0.7677548012746261,4
AT2G44370,AT2G02220,0.85295954686508,4
AT2G39200,AT1G51620,0.8772617018109967,4
AT1G52200,AT3G29034,0.7926127946187317,4
AT5G59130,AT2G39850,0.4035768330798571,4
AT5G50200,AT5G40780,0.7323430076573758,4
AT4G20860,AT3G22060,0.7803146706250499,4
AT1G15950,AT5G54160,0.5477313193697539,4
AT3G19010,AT2G44490,0.784304738416655,4
AT5G04140,AT4G34980,0.551814904964266,4
AT3G29034,AT1G65690,0.7476641215183382,4
AT5G04140,AT2G39850,0.4933321903189145,4
AT3G14240,AT5G51750,0.5135907317109195,4
AT3G52450,AT5G01540,0.8197974745790252,5
AT2G15620,AT2G39850,0.3594892659708927,5
AT4G23210,AT1G51620,0.8227721412142841,5
AT2G22122,AT4G21870,0.231427125772656,5
AT5G53110,AT2G44380,0.7297493930611624,5
AT3G48650,AT5G01540,0.8095087801623809,5
AT5G44530,AT5G51750,0.4292342717111631,5
AT1G64280,AT4G08850,0.7355207398480398,5
AT3G14240,AT5G45650,0.4312662768329721,5
AT1G04110,AT2G01950,0.14408706108148422,5
AT1G72300,AT1G20160,0.3349701078941636,5
AT1G64170,AT2G25470,0.6383972229131567,5
AT5G01540,AT1G61360,0.8110960393803942,5
AT3G19010,AT5G39580,0.7848842987225813,5
AT3G25882,AT2G37710,0.6947874908888783,5
AT2G02220,AT1G61360,0.8327214354844633,5
AT4G08850,AT4G31550,0.7521994448853521,5
AT4G34980,AT5G59130,0.5512320913273834,5
AT4G35180,AT1G51890,0.7662437967067385,5
AT2G05920,AT5G51750,0.4346716319993171,5
AT1G51620,AT2G36690,0.8426145640276249,5
AT5G04140,AT2G05920,0.4818626179774054,5
AT3G19930,AT1G51680,0.5943602267429883,5
AT1G52200,AT2G17740,0.8111333604657242,5
AT2G25470,AT3G59880,0.6252071865920783,5
AT2G19170,AT1G30600,0.2557710753132643,5
AT4G20430,AT5G45650,0.3365156350591081,5
AT4G01250,AT4G31550,0.8003497594864675,5
AT4G21326,AT1G66220,0.2069083611051902,5
AT2G39200,AT2G17740,0.8405906953306945,5
AT2G44370,AT5G44585,0.8478259786063524,5
AT3G46280,AT5G48430,0.7680051688124332,6
AT1G51800,AT1G51620,0.8137575760889216,6
AT1G51800,AT2G42360,0.7941161811818521,6
AT1G66210,AT4G26330,0.2542969696510294,6
AT5G59130,AT5G44530,0.3635438205665991,6
AT5G51750,AT2G31400,0.3526569980455364,6
AT2G25000,AT1G64170,0.6286607358715209,6
AT4G20000,AT2G44370,0.8366473333169515,6
AT2G36690,AT2G17740,0.8148505973678233,6
AT2G44380,AT3G26210,0.6918562706545565,6
AT3G19010,AT4G31550,0.7749420943634321,6
AT2G05920,AT5G45650,0.3888132888397797,6
