gene1,gene2,value,rank
AT5G04140,AT5G07440,0.05109992918814647,1
AT4G08850,AT4G31550,0.05473223365871652,1
AT1G30730,AT5G44585,0.04582152744688224,1
AT2G30490,AT2G42360,0.04965343953429202,1
AT2G25000,AT4G27730,0.04439489198644902,1
AT1G66220,AT5G59100,0.023667489108102523,1
AT3G59880,AT1G65490,0.03689584893795697,1
AT1G64280,AT4G38560,0.041293720687328665,1
AT2G37040,AT1G51680,0.08818081209755445,1
AT3G45060,AT4G28140,0.03827715637269563,1
AT5G44530,AT2G39850,0.032280417117258764,1
AT1G20150,AT5G03620,0.03034869565217373,1
AT1G02450,AT3G25882,0.05928254801375438,1
AT1G30720,AT5G39580,0.05330801513237619,1
AT5G53460,AT2G15620,0.036883659712029185,1
AT3G29034,AT1G51890,0.04848302955539677,1
AT4G20000,AT5G67450,0.05932375480769684,1
AT1G15950,AT1G37130,0.0733922444705147,1
AT5G10450,AT5G20250,0.036233418013587086,1
AT3G14240,AT2G05920,0.046580780358009805,1
AT1G08090,AT5G59090,0.036350546690726564,1
AT5G59130,AT5G45650,0.06574124156960247,1
AT2G06050,AT2G30360,0.036019646882983675,1
AT1G70530,AT2G44490,0.038023591734441066,2
AT2G42360,AT1G65690,0.046805471707507235,2
AT1G30720,AT5G48430,0.04945031744067312,2
AT5G04140,AT5G44530,0.04089787512517791,2
AT3G50480,AT3G21080,0.021196459158873214,2
AT4G35180,AT3G25882,0.05751815395859624,2
AT1G12940,AT1G20160,0.027214179987208445,2
AT2G44370,AT2G36690,0.06946036801470654,2
AT4G39400,AT5G58820,0.016473925439401918,2
AT2G44370,AT5G44585,0.070720171438934,2
AT4G20000,AT1G49000,0.04563869080877502,2
AT3G26210,AT5G40780,0.04747027268232512,2
AT2G41220,AT2G39850,0.03079618780189835,2
AT4G38560,AT2G37710,0.043156928161334436,2
AT1G20150,AT2G38900,0.020785394606256,2
AT1G72300,AT1G37130,0.036492185690968036,2
AT2G06050,AT4G24160,0.02814666896324267,2
AT5G50200,AT5G40780,0.04243341993733829,2
AT3G52450,AT1G61360,0.05249038399821464,2
AT1G04110,AT5G03620,0.016840055795525742,2
AT5G13930,AT2G15620,0.0232851692092332,2
AT4G33430,AT1G35160,0.02236941923599975,2
AT5G06950,AT2G30360,0.013158408614584815,2
AT4G20850,AT5G58840,0.01892221085208481,2
AT4G20850,AT1G32950,0.025849947058703998,2
AT5G50200,AT3G29034,0.04650157372418278,2
AT5G20250,AT5G07440,0.02305250174552237,2
AT2G22122,AT5G59090,0.01938605595310136,2
AT1G70530,AT1G64280,0.044929146707216684,2
AT1G15950,AT5G54160,0.0366235211321535,2
AT4G34980,AT5G67360,0.039260039807517084,2
AT1G32970,AT5G59100,0.023211516946933124,2
AT5G59080,AT5G19660,0.029260242178664988,2
AT3G14240,AT3G49780,0.0400122599904448,2
AT3G46280,AT2G17740,0.03880795937269725,2
AT4G20860,AT3G22060,0.0472557675090708,2
AT2G39200,AT2G02220,0.0603446979356409,2
AT5G59190,AT5G20480,0.015360417728189428,2
AT2G19170,AT1G01900,0.02968863967156841,2
AT2G05920,AT5G67360,0.043125410394114085,2
AT3G14067,AT1G20160,0.029835126804353605,2
AT2G04160,AT2G41220,0.0346186739318034,2
AT5G39580,AT5G48430,0.04747320724316896,2
AT2G30360,AT5G67360,0.02539475366633573,3
AT2G30490,AT2G39530,0.036944174514174456,3
AT1G70530,AT2G02220,0.0341371494109384,3
AT4G20860,AT2G42360,0.05019335796267257,3
AT2G02220,AT2G36690,0.05272923231448132,3
AT3G45060,AT2G38900,0.027513880926309044,3
AT5G58820,AT5G59100,0.016365420636815526,3
AT5G55050,AT1G14780,0.03299471589950069,3
AT4G33430,AT4G39400,0.03894497269477033,3
AT5G55050,AT3G59880,0.021888767502556958,3
AT2G25470,AT1G05300,0.025969745045866143,3
AT5G58840,AT4G00230,0.01928753873256534,3
AT5G06950,AT5G59810,0.014261003062052168,3
AT1G51620,AT3G22060,0.05071093421688084,3
AT2G39530,AT2G17740,0.03440777487680026,3
AT5G45640,AT1G32970,0.013147479286856441,3
AT4G27730,AT3G19450,0.0250609140259962,3
AT1G72300,AT3G19930,0.02324706660455729,3
AT3G49780,AT2G05920,0.043971248263222525,3
AT1G62340,AT1G01900,0.012301849829267436,3
AT1G64170,AT1G05300,0.035649535933726675,3
AT1G64280,AT4G08850,0.03761822876323402,3
AT4G33430,AT4G20850,0.01804718940803675,3
AT2G19170,AT2G38900,0.024942648164756016,3
AT3G50470,AT4G31800,0.03535908122606485,3
AT3G19930,AT1G51680,0.03462471271553928,3
AT2G04160,AT5G19660,0.03457313282332758,3
AT1G30720,AT3G19930,0.04325910514930631,3
AT4G39400,AT2G01950,0.01263863005272379,3
AT1G51890,AT1G65690,0.04662408380436714,3
AT5G37600,AT1G05300,0.04688833266496068,3
AT1G49000,AT4G01700,0.039578788111364914,3
AT3G48650,AT4G24160,0.02699499572358886,3
AT5G54160,AT2G37040,0.03732934494440224,3
AT5G04140,AT3G19450,0.03324593521932264,3
AT5G20480,AT2G19190,0.023043021629570355,3
AT1G30600,AT4G21323,0.017131694774206598,3
AT3G26210,AT5G37600,0.05452823998144424,3
