gene1,gene2,value
AT2G44370,AT2G39200,0.8104356683469442
AT2G39200,AT2G44370,0.8104356683469442
AT2G44370,AT5G44585,0.7119231642126367
AT5G44585,AT2G44370,0.7119231642126367
AT2G39200,AT2G02220,0.6689927334337096
AT2G02220,AT2G39200,0.6689927334337096
AT1G51620,AT2G44370,0.6507706499833252
AT2G44370,AT1G51620,0.6507706499833252
AT2G44370,AT2G36690,0.5598512099453024
AT2G36690,AT2G44370,0.5598512099453024
AT1G30730,AT2G44370,0.5510336050934714
AT2G44370,AT1G30730,0.5510336050934714
AT3G25882,AT4G35180,0.5501076331195309
AT4G35180,AT3G25882,0.5501076331195309
AT3G52450,AT4G01250,0.5466474348189119
AT4G01250,AT3G52450,0.5466474348189119
AT4G23210,AT1G51620,0.5434074230804193
AT1G51620,AT4G23210,0.5434074230804193
AT3G52450,AT1G61360,0.5392343973025204
AT1G61360,AT3G52450,0.5392343973025204
AT5G39580,AT1G52200,0.527775153984356
AT1G52200,AT5G39580,0.527775153984356
AT2G36690,AT2G39200,0.5268017665500482
AT2G39200,AT2G36690,0.5268017665500482
AT2G44370,AT4G20000,0.5182076326188494
AT4G20000,AT2G44370,0.5182076326188494
AT1G70530,AT2G02220,0.5181869650435871
AT2G02220,AT1G70530,0.5181869650435871
AT1G51620,AT2G36690,0.514420929441457
AT2G36690,AT1G51620,0.514420929441457
AT1G19380,AT4G01250,0.5138404770157867
AT4G01250,AT1G19380,0.5138404770157867
AT2G39200,AT5G39580,0.5097106874444217
AT5G39580,AT2G39200,0.5097106874444217
AT2G39200,AT1G51890,0.5095376800291944
AT1G51890,AT2G39200,0.5095376800291944
AT3G52450,AT2G39200,0.5019604153653199
AT2G39200,AT3G52450,0.5019604153653199
AT2G36690,AT4G01250,0.5007953919204655
AT4G01250,AT2G36690,0.5007953919204655
AT2G17740,AT1G52200,0.4997693149185187
AT1G52200,AT2G17740,0.4997693149185187
AT1G65690,AT1G51890,0.4995541343893388
AT1G51890,AT1G65690,0.4995541343893388
AT1G30730,AT2G39200,0.49887478696374
AT2G39200,AT1G30730,0.49887478696374
AT1G02450,AT3G25882,0.4969751863454557
AT3G25882,AT1G02450,0.4969751863454557
AT1G61360,AT2G02220,0.4940657756640441
AT2G02220,AT1G61360,0.4940657756640441
AT2G44370,AT1G61360,0.4935139296156668
AT1G61360,AT2G44370,0.4935139296156668
AT2G39200,AT1G51620,0.4923456666784538
AT1G51620,AT2G39200,0.4923456666784538
AT1G30720,AT5G39580,0.4911870104002318
AT5G39580,AT1G30720,0.4911870104002318
AT2G02220,AT1G51620,0.4888310759729153
AT1G51620,AT2G02220,0.4888310759729153
AT3G52450,AT2G02220,0.4848889829890453
AT2G02220,AT3G52450,0.4848889829890453
AT5G39580,AT1G51620,0.4847532510709454
AT1G51620,AT5G39580,0.4847532510709454
AT5G01540,AT1G51620,0.4847063005087622
AT1G51620,AT5G01540,0.4847063005087622
AT2G17740,AT2G36690,0.4839053734013179
AT2G36690,AT2G17740,0.4839053734013179
AT2G44490,AT2G02220,0.4810443020106989
AT2G02220,AT2G44490,0.4810443020106989
AT4G20000,AT5G67450,0.480460873213012
AT5G67450,AT4G20000,0.480460873213012
AT1G51620,AT1G52200,0.4790516969453431
AT1G52200,AT1G51620,0.4790516969453431
AT2G39200,AT3G46280,0.476630197480574
AT3G46280,AT2G39200,0.476630197480574
AT1G52200,AT1G65690,0.472751513597837
AT1G65690,AT1G52200,0.472751513597837
AT5G44585,AT2G39200,0.4670113287472204
AT2G39200,AT5G44585,0.4670113287472204
AT4G01250,AT2G39200,0.4666450833821012
AT4G20860,AT2G39200,0.4665643049009574
AT2G44370,AT2G17740,0.4661484888755789
AT2G17740,AT2G44370,0.4661484888755789
AT3G29034,AT1G52200,0.4626470527829978
AT1G52200,AT3G29034,0.4626470527829978
AT4G20000,AT2G39200,0.461641909256975
AT2G02220,AT2G44370,0.4615152025509275
AT2G44370,AT2G02220,0.4615152025509275
AT1G30730,AT5G44585,0.4610109088764303
AT5G44585,AT1G30730,0.4610109088764303
AT2G36690,AT5G48430,0.4598105214283008
AT5G48430,AT2G36690,0.4598105214283008
AT3G29034,AT5G50200,0.4588612821275413
AT5G50200,AT3G29034,0.4588612821275413
AT2G36690,AT2G02220,0.4571386080731541
