gene1,gene2,value
AT2G39200,AT2G44370,0.9057105551881428
AT2G44370,AT2G39200,0.9057105551881428
AT2G36690,AT2G39200,0.8905360240912739
AT2G39200,AT2G36690,0.8905360240912739
AT2G39200,AT2G02220,0.8844257321084553
AT2G02220,AT2G39200,0.8844257321084553
AT2G39200,AT1G51620,0.8772617018109967
AT1G51620,AT2G39200,0.8772617018109967
AT2G02220,AT2G36690,0.871266876077685
AT2G36690,AT2G02220,0.871266876077685
AT2G36690,AT2G44370,0.8707334497151739
AT2G44370,AT2G36690,0.8707334497151739
AT3G52450,AT1G61360,0.8701534375038695
AT1G61360,AT3G52450,0.8701534375038695
AT1G51620,AT2G44370,0.8646538544383925
AT2G44370,AT1G51620,0.8646538544383925
AT4G01250,AT2G36690,0.8626156519296212
AT2G36690,AT4G01250,0.8626156519296212
AT2G44370,AT2G02220,0.85295954686508
AT2G02220,AT2G44370,0.85295954686508
AT1G65690,AT1G51890,0.8479235906099849
AT1G51890,AT1G65690,0.8479235906099849
AT2G44370,AT5G44585,0.8478259786063524
AT5G44585,AT2G44370,0.8478259786063524
AT3G46280,AT2G17740,0.8438246933541294
AT2G17740,AT3G46280,0.8438246933541294
AT2G36690,AT1G51620,0.8426145640276249
AT1G51620,AT2G36690,0.8426145640276249
AT2G17740,AT2G39200,0.8405906953306945
AT2G39200,AT2G17740,0.8405906953306945
AT4G20000,AT2G44370,0.8366473333169515
AT2G44370,AT4G20000,0.8366473333169515
AT3G52450,AT4G01250,0.8356117936890716
AT4G01250,AT3G52450,0.8356117936890716
AT2G02220,AT1G51620,0.8343578188448977
AT1G51620,AT2G02220,0.8343578188448977
AT1G61360,AT2G39200,0.8332419979072381
AT2G39200,AT1G61360,0.8332419979072381
AT2G02220,AT1G61360,0.8327214354844633
AT1G61360,AT2G02220,0.8327214354844633
AT1G65690,AT2G42360,0.8312050134761463
AT2G42360,AT1G65690,0.8312050134761463
AT2G17740,AT2G44370,0.8293782004014952
AT2G44370,AT2G17740,0.8293782004014952
AT3G52450,AT2G02220,0.8289218692786989
AT2G02220,AT3G52450,0.8289218692786989
AT2G02220,AT5G01540,0.8286936690982997
AT5G01540,AT2G02220,0.8286936690982997
AT4G01250,AT2G02220,0.8286721364070496
AT2G02220,AT4G01250,0.8286721364070496
AT1G51800,AT2G39200,0.8276531096675939
AT2G39200,AT1G51800,0.8276531096675939
AT2G02220,AT1G70530,0.8261471695546427
AT1G70530,AT2G02220,0.8261471695546427
AT2G39200,AT1G52200,0.8252661765181291
AT1G52200,AT2G39200,0.8252661765181291
AT2G39200,AT4G01250,0.8250385536676352
AT4G01250,AT2G39200,0.8250385536676352
AT2G44370,AT5G01540,0.8236076881451109
AT5G01540,AT2G44370,0.8236076881451109
AT1G51620,AT4G23210,0.8227721412142841
AT4G23210,AT1G51620,0.8227721412142841
AT1G51800,AT3G19010,0.8210637495726014
AT3G19010,AT1G51800,0.8210637495726014
AT3G52450,AT2G44490,0.8206503655268774
AT2G44490,AT3G52450,0.8206503655268774
AT5G01540,AT3G52450,0.8197974745790252
AT3G52450,AT5G01540,0.8197974745790252
AT2G44490,AT1G61360,0.8174584209487437
AT1G61360,AT2G44490,0.8174584209487437
AT5G48430,AT5G39580,0.8167777186829491
AT5G39580,AT5G48430,0.8167777186829491
AT2G44490,AT2G02220,0.8148999850273101
AT2G02220,AT2G44490,0.8148999850273101
AT2G17740,AT2G36690,0.8148505973678233
AT2G36690,AT2G17740,0.8148505973678233
AT1G51800,AT1G51620,0.8137575760889216
AT1G51620,AT1G51800,0.8137575760889216
AT1G51890,AT3G29034,0.8125988222055818
AT3G29034,AT1G51890,0.8125988222055818
AT5G39580,AT1G52200,0.8116636297820004
AT1G52200,AT5G39580,0.8116636297820004
AT1G52200,AT2G17740,0.8111333604657242
AT2G17740,AT1G52200,0.8111333604657242
AT5G01540,AT1G61360,0.8110960393803942
