gene1,gene2,value
AT2G37040,AT1G51680,0.08818081209755445
AT3G25882,AT1G02450,0.0815851253498983
AT1G51680,AT2G37040,0.07933358428673362
AT1G15950,AT1G37130,0.0733922444705147
AT2G44370,AT5G44585,0.070720171438934
AT2G02220,AT1G70530,0.07057292028776098
AT2G44370,AT2G36690,0.06946036801470654
AT2G36690,AT2G44370,0.06809165807504056
AT2G36690,AT2G39200,0.06807292698938405
AT2G39200,AT4G01250,0.06686818194641345
AT1G37130,AT1G15950,0.0658199742204928
AT5G59130,AT5G45650,0.06574124156960247
AT2G36690,AT2G02220,0.06379826568638239
AT3G52450,AT4G01250,0.06357616106830097
AT5G01540,AT4G35180,0.06351627428309366
AT2G36690,AT1G51620,0.06089795107316324
AT1G61360,AT3G52450,0.06035509372553921
AT2G39200,AT2G02220,0.0603446979356409
AT2G44370,AT2G17740,0.060011652488448426
AT4G20000,AT5G67450,0.05932375480769684
AT1G02450,AT3G25882,0.05928254801375438
AT4G01250,AT4G24160,0.05900847707988838
AT2G39200,AT1G61360,0.0590065553689106
AT3G49780,AT3G14240,0.058560501796758375
AT2G39200,AT2G36690,0.05841656673395081
AT2G44370,AT1G51620,0.058126278896425985
AT2G39200,AT3G52450,0.05799678942693321
AT4G35180,AT3G25882,0.05751815395859624
AT5G45650,AT5G59130,0.05738442982396531
AT2G44370,AT1G49000,0.056442257481226624
AT2G36690,AT4G01250,0.05641843340486584
AT2G44370,AT2G39200,0.05614283662684166
AT1G52200,AT1G51800,0.05569284686187111
AT1G61360,AT2G44490,0.055529304612997536
AT4G01250,AT1G19380,0.05518539003086157
AT2G02220,AT2G39200,0.05504789279713631
AT4G01250,AT3G52450,0.05502659616679143
AT4G34980,AT3G14240,0.054981617036248105
AT5G01540,AT3G48650,0.05493510526833533
AT4G08850,AT4G31550,0.05473223365871652
AT3G26210,AT5G37600,0.05452823998144424
AT2G39200,AT1G30730,0.05437840867840797
AT4G08850,AT4G38560,0.054298283821966116
AT1G30720,AT5G39580,0.05330801513237619
AT2G44370,AT2G02220,0.053147992509785504
AT4G35180,AT4G31800,0.05285771718255113
AT2G02220,AT2G36690,0.05272923231448132
AT5G39580,AT1G30720,0.052599212244558435
AT3G52450,AT1G61360,0.05249038399821464
AT2G17740,AT3G46280,0.052450368908316884
AT2G02220,AT3G52450,0.052440149614188636
AT2G02220,AT5G01540,0.05240203716438386
AT2G02220,AT2G44490,0.05222490911677108
AT4G38560,AT1G64280,0.05208797679940328
AT3G52450,AT2G39200,0.05202190178566042
AT3G19010,AT5G67090,0.051966626176271784
AT1G37130,AT1G72300,0.05190341858772805
AT2G39200,AT1G51620,0.05184215415761795
AT2G42360,AT2G30490,0.05172069188958344
AT2G44370,AT1G30730,0.051682450644636425
AT2G39200,AT5G39580,0.05163424986794765
AT1G52200,AT3G29034,0.051340431818102564
AT1G65690,AT1G51890,0.051301869218409984
AT5G48430,AT1G30720,0.051212434161319854
AT4G01250,AT4G31550,0.051133181898324484
AT5G04140,AT5G07440,0.05109992918814647
AT3G19930,AT1G72300,0.05086706794816962
AT2G36690,AT1G61360,0.0508478869595952
AT1G51620,AT3G22060,0.05071093421688084
AT1G51890,AT3G29034,0.05059477038859162
AT2G44490,AT1G70530,0.05057627339700566
AT2G39200,AT2G44370,0.05023017595021762
AT5G07440,AT5G04140,0.05021865050307679
AT4G20860,AT2G42360,0.05019335796267257
AT2G44370,AT2G44380,0.0500298858698224
AT2G36690,AT1G30730,0.05000509230184274
AT1G51890,AT5G40780,0.04993296600245844
AT2G30490,AT2G42360,0.04965343953429202
AT1G30720,AT5G48430,0.04945031744067312
AT2G36690,AT1G19380,0.04907451645186689
AT2G36690,AT4G20000,0.049062313513240176
AT2G30490,AT5G54160,0.048968112086225
AT2G17740,AT1G52200,0.04888766506920423
AT1G51800,AT5G48430,0.048806713533308316
AT2G02220,AT1G51620,0.048806249231624715
AT2G36690,AT3G52450,0.0486869830559158
AT2G44490,AT1G64280,0.0484845714173096
AT3G29034,AT1G51890,0.04848302955539677
AT5G44585,AT1G30730,0.04828242948935019
AT1G52200,AT5G50200,0.04825168013444235
AT5G48430,AT5G39580,0.04790241184105151
AT5G67450,AT4G20000,0.04789323906364736
AT4G01250,AT1G61360,0.047824952346550084
AT1G49000,AT4G20000,0.04774396966202808
AT2G44370,AT4G20000,0.047654943202841686
AT2G37040,AT1G15950,0.047617385063289136
AT2G37710,AT4G38560,0.047579806017261764
AT3G50470,AT3G26210,0.04754803441685297
AT5G39580,AT5G48430,0.04747320724316896
AT3G26210,AT5G40780,0.04747027268232512
AT5G37600,AT1G12940,0.04727007112254165
AT4G20860,AT3G22060,0.0472557675090708
AT2G05920,AT3G14240,0.04724318454186333
AT3G26210,AT2G25000,0.047143370477526834
AT2G17740,AT2G39530,0.047086078654188734
AT3G52450,AT2G44490,0.047062940131550095
AT1G65690,AT2G42360,0.04699457601877599
AT2G19190,AT2G37040,0.04696535480529957
AT5G37600,AT1G05300,0.04688833266496068
AT2G42360,AT1G65690,0.046805471707507235
AT5G44585,AT2G44370,0.04671491832348098
AT1G51890,AT1G65690,0.04662408380436714
AT3G14240,AT2G05920,0.046580780358009805
AT1G19380,AT3G59880,0.04656207106418987
AT3G25882,AT4G35180,0.046513872082393035
AT5G50200,AT3G29034,0.04650157372418278
AT4G08850,AT1G64280,0.04642700122710365
AT2G17740,AT2G30490,0.046332510467223566
AT1G51620,AT4G23210,0.046331031159513834
AT1G51620,AT2G36690,0.046277798047892886
AT2G39200,AT1G19380,0.046272322368301325
AT4G31550,AT4G08850,0.04626331402264276
AT3G19010,AT5G01540,0.046073826392235256
AT4G01250,AT2G39200,0.04593052127006799
AT5G48430,AT5G66420,0.04592184085290602
AT1G51890,AT3G49780,0.04582927602643426
AT1G30730,AT5G44585,0.04582152744688224
AT3G52450,AT3G48650,0.04575604267656557
AT4G31550,AT4G01250,0.04568243807088584
