"SUID","annotation","coregulated","defense","degree.layout","localization","name","notes","prot name","selected","shared name"
"1805",,,,,,"AT2G30990",,"AT2G30990","false","AT2G30990"
"1806",,,,,,"AT5G59850",,"AT5G59850","false","AT5G59850"
"141","cysteine/histidine C1 domain protein","true","SA","3",,"AT2G44370",,"AT2G44370","false","AT2G44370"
"121","secreted peptide","true",,,"ER signal","AT5G44585",,"SCOOP12","false","AT5G44585"
"1809",,,,,,"AT3G15630",,"AT3G15630","false","AT3G15630"
"1810",,,,,,"AT2G30600",,"AT2G30600","false","AT2G30600"
"1812",,,,,,"AT3G55980",,"AT3G55980","false","AT3G55980"
"1813",,,,,,"AT2G22500",,"AT2G22500","false","AT2G22500"
"1815",,,,,,"AT3G15450",,"AT3G15450","false","AT3G15450"
"1817",,,,,,"AT3G49530",,"AT3G49530","false","AT3G49530"
"1818",,,,,,"AT5G24590",,"AT5G24590","false","AT5G24590"
"1820",,,,,,"AT3G23250",,"AT3G23250","false","AT3G23250"
"124","Lectin receptor kinase. positively regulates PTI and negatively regulates ABA response.","true","ABA","7",,"AT5G01540",,"LECRKA4.1","false","AT5G01540"
"1822",,,,,,"AT4G39670",,"AT4G39670","false","AT4G39670"
"1823",,,,,,"AT1G73810",,"AT1G73810","false","AT1G73810"
"1826",,,,,,"AT2G24600",,"AT2G24600","false","AT2G24600"
"1828",,,,,,"AT3G52430",,"AT3G52430","false","AT3G52430"
"1829",,,,,,"AT2G31865",,"AT2G31865","false","AT2G31865"
"1831",,,,,,"AT3G49670",,"AT3G49670","false","AT3G49670"
"1832",,,,,,"AT5G11420",,"AT5G11420","false","AT5G11420"
"1834",,,,,,"AT2G44180",,"AT2G44180","false","AT2G44180"
"1836",,,,,,"AT1G06990",,"AT1G06990","false","AT1G06990"
"1837",,,,,,"AT1G06910",,"AT1G06910","false","AT1G06910"
"1839",,,,,,"AT1G07135",,"AT1G07135","false","AT1G07135"
"1840",,,,,,"AT5G54490",,"AT5G54490","false","AT5G54490"
"1842",,,,,,"AT3G17840",,"AT3G17840","false","AT3G17840"
"1844",,,,,,"AT1G17420",,"AT1G17420","false","AT1G17420"
"1845",,,,,,"AT1G20510",,"AT1G20510","false","AT1G20510"
"1847",,,,,,"AT5G63920",,"AT5G63920","false","AT5G63920"
"1849",,,,,,"AT3G15518",,"AT3G15518","false","AT3G15518"
"129","VQ motif protein. Unknown function","true",,,,"AT4G20000",,"AT4G20000","false","AT4G20000"
"1851",,,,,,"AT5G42870",,"AT5G42870","false","AT5G42870"
"1852",,,,,,"AT5G04600",,"AT5G04600","false","AT5G04600"
"1854",,,,,,"AT4G14365",,"AT4G14365","false","AT4G14365"
"1855",,,,,,"AT5G25250",,"AT5G25250","false","AT5G25250"
"1857",,,,,,"AT1G10340",,"AT1G10340","false","AT1G10340"
"1859",,,,,,"AT4G23190",,"AT4G23190","false","AT4G23190"
"1860",,,,,,"AT1G30755",,"AT1G30755","false","AT1G30755"
"1862",,,,,,"AT1G15430",,"AT1G15430","false","AT1G15430"
