"SUID","annotation","interaction","name","Score","selected","shared interaction","shared name","source","Taux d'apparition","type"
"189","phenylpropanoid biosynthesis","undirected","AT1G15950 (undirected) AT5G54160",,"false","undirected","AT1G15950 (undirected) AT5G54160","KEGG",,"pathway"
"190","","undirected","AT1G15950 (undirected) AT2G37040",,"false","undirected","AT1G15950 (undirected) AT2G37040","STRING",,"cocitation"
"191","","interaction","AT1G15950 (interaction) AT3G19450",,"false","interaction","AT1G15950 (interaction) AT3G19450","STRING",,"cocitation"
"192","flavonoid and phenylpropanoid pathways","undirected","AT1G15950 (undirected) AT5G13930",,"false","undirected","AT1G15950 (undirected) AT5G13930","KEGG",,"pathway"
"193","","undirected","AT5G22290 (undirected) AT3G29034",,"false","undirected","AT5G22290 (undirected) AT3G29034","CCSB",,"AI1"
"194","","undirected","AT1G80840 (undirected) AT3G56400",,"false","undirected","AT1G80840 (undirected) AT3G56400","STRING",,"cocitation"
"195","","undirected","AT1G80840 (undirected) AT4G01250",,"false","undirected","AT1G80840 (undirected) AT4G01250","STRING",,"cocitation"
"196","AT4G01700 positively controlled y wrky70","undirected","AT3G56400 (undirected) AT4G01700",,"false","undirected","AT3G56400 (undirected) AT4G01700","pubmed",,"experimental"
"197","wrky60 positively controlled by wrky70","undirected","AT3G56400 (undirected) AT2G25000",,"false","undirected","AT3G56400 (undirected) AT2G25000","pubmed",,"experimental"
"198","AT2G44380 positively controlled by wrk70","undirected","AT3G56400 (undirected) AT2G44380",,"false","undirected","AT3G56400 (undirected) AT2G44380","pubmed",,"experimental"
"199","interact in prot complexe","undirected","AT4G31800 (undirected) AT1G80840",,"false","undirected","AT4G31800 (undirected) AT1G80840","pubmed",,"experimental"
"200","interaction","undirected","AT4G31800 (undirected) AT2G25000",,"false","undirected","AT4G31800 (undirected) AT2G25000","CCSB",,"LCI"
"201","SA JA signaling pathway","undirected","AT4G31800 (undirected) AT1G64280",,"false","undirected","AT4G31800 (undirected) AT1G64280","pubmed",,"experimental"
"202","","undirected","AT5G50200 (undirected) AT4G01700",,"false","undirected","AT5G50200 (undirected) AT4G01700","STRING",,"cocitation"
"203","","undirected","AT5G50200 (undirected) AT2G19190",,"false","undirected","AT5G50200 (undirected) AT2G19190","STRING",,"cocitation"
"204","ROS","undirected","AT5G50200 (undirected) AT1G65690",,"false","undirected","AT5G50200 (undirected) AT1G65690","STRING",,"cocitation"
"205","","undirected","AT5G50200 (undirected) AT1G12940",,"false","undirected","AT5G50200 (undirected) AT1G12940","STRING",,"experimental"
"206","2YH","undirected","AT5G50200 (undirected) AT1G08090",,"false","undirected","AT5G50200 (undirected) AT1G08090","INTACT",,"experimental"
"207","","undirected","AT5G50200 (undirected) AT1G37130",,"false","undirected","AT5G50200 (undirected) AT1G37130","STRING",,"cocitation"
"208","","undirected","AT5G40780 (undirected) AT3G26210",,"false","undirected","AT5G40780 (undirected) AT3G26210","STRING",,"cocitation"
"209","","undirected","AT5G40780 (undirected) AT5G50200",,"false","undirected","AT5G40780 (undirected) AT5G50200","STRING",,"cocitation"
"210","","undirected","AT5G40780 (undirected) AT5G37600",,"false","undirected","AT5G40780 (undirected) AT5G37600","STRING",,"cocitation"
"211","SA JA crosstalk","undirected","AT4G31550 (undirected) AT3G56400",,"false","undirected","AT4G31550 (undirected) AT3G56400","pubmed",,"cocitation"
"212","","undirected","AT4G31550 (undirected) AT1G64280",,"false","undirected","AT4G31550 (undirected) AT1G64280","pubmed",,"cocitation"
"213","JA","undirected","AT4G31550 (undirected) AT3G46280",,"false","undirected","AT4G31550 (undirected) AT3G46280","pubmed",,"cocitation"
"214","","undirected","AT4G01250 (undirected) AT5G39580",,"false","undirected","AT4G01250 (undirected) AT5G39580","STRING",,"cocitation"
"215","","undirected","AT4G01250 (undirected) AT2G39200",,"false","undirected","AT4G01250 (undirected) AT2G39200","STRING",,"cocitation"
"216","","undirected","AT4G01250 (undirected) AT4G31550",,"false","undirected","AT4G01250 (undirected) AT4G31550","STRING",,"cocitation"
"217","","undirected","AT3G52450 (undirected) AT2G39200",,"false","undirected","AT3G52450 (undirected) AT2G39200","STRING",,"cocitation"
"218","","undirected","AT3G52450 (undirected) AT4G01250",,"false","undirected","AT3G52450 (undirected) AT4G01250","STRING",,"cocitation"
"219","","undirected","AT3G45060 (undirected) AT5G50200",,"false","undirected","AT3G45060 (undirected) AT5G50200","STRING",,"experimental"
"220","","undirected","AT3G45060 (undirected) AT5G53460",,"false","undirected","AT3G45060 (undirected) AT5G53460","STRING",,"cocitation"
"221","","undirected","AT3G45060 (undirected) AT5G04140",,"false","undirected","AT3G45060 (undirected) AT5G04140","STRING",,"cocitation"
"222","","undirected","AT3G45060 (undirected) AT2G41220",,"false","undirected","AT3G45060 (undirected) AT2G41220","STRING",,"cocitation"
"223","","undirected","AT2G44490 (undirected) AT2G39200",,"false","undirected","AT2G44490 (undirected) AT2G39200","pubmed",,"cocitation"
"224","","undirected","AT2G41110 (undirected) AT4G31550",,"false","undirected","AT2G41110 (undirected) AT4G31550","STRING",,"experimental"
"225","","undirected","AT2G37710 (undirected) AT1G64280",,"false","undirected","AT2G37710 (undirected) AT1G64280","pubmed",,"cocitation"
"226","","undirected","AT2G37710 (undirected) AT3G26210",,"false","undirected","AT2G37710 (undirected) AT3G26210","STRING",,"cocitation"
"227","","undirected","AT2G37710 (undirected) AT5G04140",,"false","undirected","AT2G37710 (undirected) AT5G04140","STRING",,"cocitation"
"228","phenylpropanoid biosynthesis","undirected","AT2G30490 (undirected) AT1G15950",,"false","undirected","AT2G30490 (undirected) AT1G15950","KEGG",,"pathway"
"229","","undirected","AT2G30490 (undirected) AT5G54160",,"false","undirected","AT2G30490 (undirected) AT5G54160","STRING",,"cocitation"
"230","Phenylalanine metabolism","undirected","AT2G30490 (undirected) AT2G37040",,"false","undirected","AT2G30490 (undirected) AT2G37040","KEGG",,"pathway"
"231","","undirected","AT2G30490 (undirected) AT3G19450",,"false","undirected","AT2G30490 (undirected) AT3G19450","STRING",,"cocitation"
"232","","undirected","AT2G17740 (undirected) AT2G19190",,"false","undirected","AT2G17740 (undirected) AT2G19190","STRING",,"cocitation"
"233","","interaction","AT1G51890 (interaction) AT2G17740",,"false","interaction","AT1G51890 (interaction) AT2G17740","pubmed",,"cocitation"
"234","","undirected","AT5G54160 (undirected) Node 7",,"false","undirected","AT5G54160 (undirected) Node 7","CCSB",,"LCI"
"235","","undirected","AT5G54160 (undirected) AT2G37040",,"false","undirected","AT5G54160 (undirected) AT2G37040","STRING",,"cocitation"
"236","Phenylpropanoid pathway","undirected","AT5G54160 (undirected) AT3G19450",,"false","undirected","AT5G54160 (undirected) AT3G19450","KEGG",,"pathway"
"237","Ala, Asp, Glu metabolism, nitrogen metabolism","undirected","AT5G37600 (undirected) AT5G53460",,"false","undirected","AT5G37600 (undirected) AT5G53460","KEGG",,"pathway"
"238","Ala, Asp, Glu metabolism, nitrogen metabolism","undirected","AT5G37600 (undirected) AT5G04140",,"false","undirected","AT5G37600 (undirected) AT5G04140","KEGG",,"pathway"
"239","","undirected","AT5G37600 (undirected) AT1G08090",,"false","undirected","AT5G37600 (undirected) AT1G08090","STRING",,"cocitation"
"240","","undirected","AT4G30190 (undirected) Node 7",,"false","undirected","AT4G30190 (undirected) Node 7","CCSB",,"LCI"
"241","","undirected","AT4G30190 (undirected) AT5G53460",,"false","undirected","AT4G30190 (undirected) AT5G53460","STRING",,"cocitation"
"242","protein kinase assay","undirected","AT4G30190 (undirected) AT2G30360",,"false","undirected","AT4G30190 (undirected) AT2G30360","INTACT",,"experimental"
"243","in vitro","undirected","AT4G30190 (undirected) AT1G72300",,"false","undirected","AT4G30190 (undirected) AT1G72300","pubmed",,"experimental"
"244","","undirected","AT4G23210 (undirected) AT5G01540",,"false","undirected","AT4G23210 (undirected) AT5G01540","STRING",,"cocitation"
"245","","undirected","AT3G26210 (undirected) AT5G01540",,"false","undirected","AT3G26210 (undirected) AT5G01540","STRING",,"cocitation"
"246","","undirected","AT3G22060 (undirected) AT5G01540",,"false","undirected","AT3G22060 (undirected) AT5G01540","STRING",,"cocitation"
"247","","undirected","AT3G22060 (undirected) AT3G26210",,"false","undirected","AT3G22060 (undirected) AT3G26210","STRING",,"cocitation"
"248","","undirected","AT3G21080 (undirected) AT4G35180",,"false","undirected","AT3G21080 (undirected) AT4G35180","STRING",,"cocitation"
"249","","undirected","AT2G44380 (undirected) AT4G01700",,"false","undirected","AT2G44380 (undirected) AT4G01700","pubmed",,"cocitation"
"250","","interaction","AT2G44380 (interaction) AT2G25000",,"false","interaction","AT2G44380 (interaction) AT2G25000","pubmed",,"cocitation"
"251","SA ABA crosstalk","undirected","AT2G44370 (undirected) AT2G44380",,"false","undirected","AT2G44370 (undirected) AT2G44380","pubmed",,"cocitation"
"252","","undirected","AT2G39530 (undirected) AT4G01700",,"false","undirected","AT2G39530 (undirected) AT4G01700","pubmed",,"cocitation"
"253","SA ABA crosstalk","undirected","AT2G39530 (undirected) AT2G44380",,"false","undirected","AT2G39530 (undirected) AT2G44380","pubmed",,"cocitation"
"254","SA ABA crosstalk","undirected","AT2G39530 (undirected) AT2G44370",,"false","undirected","AT2G39530 (undirected) AT2G44370","pubmed",,"cocitation"
"255","","undirected","AT2G39200 (undirected) AT1G51890",,"false","undirected","AT2G39200 (undirected) AT1G51890","STRING",,"cocitation"
"256","","undirected","AT2G39200 (undirected) AT5G01540",,"false","undirected","AT2G39200 (undirected) AT5G01540","STRING",,"cocitation"
"257","","undirected","AT2G39200 (undirected) AT4G01700",,"false","undirected","AT2G39200 (undirected) AT4G01700","STRING",,"cocitation"
"258","","undirected","AT2G39200 (undirected) AT5G39580",,"false","undirected","AT2G39200 (undirected) AT5G39580","STRING",,"cocitation"
"259","","undirected","AT2G39200 (undirected) AT2G39530",,"false","undirected","AT2G39200 (undirected) AT2G39530","STRING",,"cocitation"
"260","","undirected","AT2G25000 (undirected) AT4G01700",,"false","undirected","AT2G25000 (undirected) AT4G01700","pubmed",,"cocitation"
"261","interaction","undirected","AT2G25000 (undirected) AT1G80840",,"false","undirected","AT2G25000 (undirected) AT1G80840","CCSB",,"LCI"
"262","","undirected","AT2G19190 (undirected) AT1G51890",,"false","undirected","AT2G19190 (undirected) AT1G51890","STRING",,"cocitation"
"263","","undirected","AT2G19190 (undirected) AT5G01540",,"false","undirected","AT2G19190 (undirected) AT5G01540","STRING",,"cocitation"
"264","","interaction","AT2G19190 (interaction) AT5G39580",,"false","interaction","AT2G19190 (interaction) AT5G39580","STRING",,"cocitation"
"265","","undirected","AT2G19190 (undirected) AT3G46280",,"false","undirected","AT2G19190 (undirected) AT3G46280","STRING",,"cocitation"
"266","","undirected","AT2G19190 (undirected) AT2G39200",,"false","undirected","AT2G19190 (undirected) AT2G39200","STRING",,"cocitation"
"267","","interaction","AT2G19190 (interaction) AT4G35180",,"false","interaction","AT2G19190 (interaction) AT4G35180","STRING",,"cocitation"
"268","","interaction","AT2G19190 (undirected) AT3G21080",,"false","undirected","AT2G19190 (undirected) AT3G21080","STRING",,"cocitation"
"269","","interaction","AT1G52200 (interaction) AT1G51890",,"false","interaction","AT1G52200 (interaction) AT1G51890","STRING",,"cocitation"
"270","","undirected","AT1G51800 (undirected) AT5G01540",,"false","undirected","AT1G51800 (undirected) AT5G01540","STRING",,"cocitation"
"271","","undirected","AT1G51800 (undirected) AT5G37600",,"false","undirected","AT1G51800 (undirected) AT5G37600","STRING",,"cocitation"
