P48347	AT1G22300
Q9C5W6	AT1G26480
P42643	AT4G09000
Q01525	AT1G78300
P42644	AT5G38480
P46077	AT1G35160
P42645	AT5G16050
P48349	AT5G10450
Q96300	AT3G02520
P48348	AT5G65430
Q96299	AT2G42590
Q9LQ10	AT1G62960
Q9S9U6	AT4G08040
Q8GYY0	AT5G51690
Q06429	AT3G61510
Q06402	AT1G01480
Q43309	AT2G22810
Q37001	AT5G65800
Q9SAR0	AT4G11280
Q9STR4	AT4G26200
Q9T065	AT4G37770
Q9M2Y8	AT3G49700
O04375	AT5G03470
O04376	AT3G09880
Q9ZQY6	AT3G26030
Q9SV41	AT3G54930
Q8RW96	AT4G15415
Q93YV6	AT5G25510
Q9LU89	AT3G26020
Q8LF36	AT1G13460
Q9LVE2	AT3G21650
Q38845	AT1G25490
Q38950	AT3G25800
Q38951	AT1G13320
Q38821	AT1G51690
Q39247	AT1G17720
P15457	AT4G27140
P15458	AT4G27150
P15459	AT4G27160
P15460	AT4G27170
Q9FH31	AT5G54740
Q9SUC0	AT4G20930
Q39147	AT3G12040
Q42524	AT1G51680
Q9S725	AT3G21240
Q9S777	AT1G65060
Q9LU36	AT3G21230
Q9LQ12	AT1G62940
Q84P25	AT1G20480
P0C5B6	AT1G20500
Q84P21	AT1G20510
Q84P24	AT4G19010
Q9M0X9	AT4G05160
Q84P26	AT5G38120
Q84P23	AT5G63380
Q9SMT7	AT3G48990
Q93YP7	AT4G23660
Q1PE49	AT4G26020
Q9LMX8	AT1G13700
Q8LG70	AT3G49360
Q8LEV7	AT5G24420
Q9FIN1	AT5G24410
Q84WW2	AT5G24400
P43295	AT2G21430
Q00762	AT5G07230
Q9C8D4	AT1G66120
Q9SS00	AT1G65890
Q8H151	AT3G16170
Q8W471	AT4G14070
Q9LK39	AT3G23790
F4KBF3	AT5G23050
F4HUK6	AT1G20560
Q9SS01	AT1G65880
Q9SEY5	AT2G17650
O80658	AT1G77240
Q9FFE6	AT5G16370
Q9FFE9	AT5G16340
Q9LQS1	AT1G75960
O49434	AT4G20070
Q42400	AT1G58360
Q38967	AT5G09220
Q39134	AT1G77380
Q9FN04	AT5G63850
Q8GUM3	AT1G44100
P92934	AT5G49630
Q9FF99	AT5G23810
O80592	AT1G10010
P46643	AT2G30970
P46645	AT5G19550
P46644	AT5G11520
P46646	AT1G62800
P46248	AT4G31990
Q9SGY1	AT1G10680
Q9MAH4	AT1G53270
Q8H1R4	AT4G33460
Q9FWX7	AT1G02520
Q9C8H1	AT1G30420
Q8RXN0	AT1G17840
Q8LEF6	AT5G14100
Q9FWX8	AT1G02530
Q9C8K2	AT1G51500
Q944H2	AT3G21580
Q9C7F8	AT1G27940
Q9C8J8	AT1G51460
Q9AT00	AT1G65410
Q9C7F2	AT1G28010
Q9LZJ5	AT3G62700
Q9C6W5	AT1G31770
Q9LHD1	AT3G28345
Q8RWI9	AT3G21090
Q9LSJ8	AT3G28360
Q9M2V7	AT3G55090
Q9LSJ6	AT3G28380
Q9M2V6	AT3G55100
Q9C9W0	AT1G67940
Q9LSJ5	AT3G28390
Q9M2V5	AT3G55110
Q9LJX0	AT3G28860
Q9M3D6	AT3G55130
Q3EDJ0	AT1G03905
Q84M24	AT2G41700
Q9ZR72	AT2G36910
Q9C8G9	AT1G30400
Q94FB9	AT4G39850
Q9LID6	AT3G13640
Q9FJH6	AT5G60790
O80946	AT2G39350
Q9C8T1	AT1G63270
Q9M3B9	AT3G55320
Q9LFG8	AT3G53510
Q9LZ98	AT5G02270
Q7XA72	AT3G25620
Q9XF19	AT5G44110
Q93YS4	AT5G06530
Q9FUT3	AT4G28630
Q3E9B8	AT5G19410
Q9M0G9	AT4G28620
Q9MAG3	AT1G53390
Q9LVM1	AT5G58270
Q84TH5	AT1G71960
Q8RY46	AT1G70610
Q0WML0	AT5G39040
Q8LPQ6	AT4G25450
Q9FF46	AT5G60740
Q9LZB8	AT5G03910
Q94A18	AT3G16340
Q84K47	AT3G47730
Q8LPK2	AT4G25960
Q42093	AT2G34660
Q6NLC1	AT1G54350
Q8LPJ4	AT4G19210
Q9FIB4	AT5G09930
Q9ZUT0	AT2G37360
Q8GZ52	AT4G15230
Q7PC88	AT2G29940
O81016	AT2G26910
Q9ZUT8	AT2G37280
Q7PC87	AT2G36380
Q7PC86	AT1G15210
Q9XIE2	AT1G59870
Q9LFH0	AT3G53480
Q7PC84	AT1G66950
Q9SYI2	AT4G01820
Q9LK64	AT3G13080
Q9M0D0	AT4G30300
Q8H0V6	AT1G64550
Q9ZUU9	AT2G28070
Q9M9E1	AT1G15520
O80725	AT2G47000
Q7DM58	AT2G47800
Q9M1H3	AT3G54540
Q9SW08	AT4G25750
Q9SYI3	AT4G01830
Q7GB25	AT1G04120
Q9LV93	AT5G64840
Q9SIT6	AT2G13610
Q8LPT1	AT2G39480
Q8VZZ4	AT3G13090
Q9FNB5	AT5G13580
Q9CAF5	AT3G10670
Q9STT5	AT3G47780
Q9FHF1	AT5G46540
Q9LK62	AT3G13100
Q9ZU35	AT2G01320
Q9LQK7	AT1G32500
Q8LPK0	AT3G47790
Q8LGU1	AT3G21250
Q9FLX5	AT5G52860
Q9ZS97	AT4G04770
Q3E8H7	AT5G44316
Q9C826	AT1G52340
Q949P1	AT4G19230
O81077	AT2G29090
Q9FH76	AT5G45340
Q9LJK2	AT3G19270
B7U179	AT5G13060
Q01593	AT3G24650
A0MES8	AT2G40220
Q9SJN0	AT2G36270
Q8S8M5	AT2G46225
Q9M3A3	AT3G49290
Q6NMC6	AT5G24310
Q9FHY1	AT5G42030
P33487	AT4G02980
Q9FGF8	AT5G64750
Q9SZR1	AT4G29900
Q9M2L4	AT3G57330
Q9LY77	AT3G63380
Q9LIK7	AT3G22910
Q37145	AT1G27770
O81108	AT4G37640
O22218	AT2G41560
O64806	AT2G22950
Q9LF79	AT5G57110
Q9LU41	AT3G21180
Q9SM23	AT5G53470
Q9STP8	AT4G27780
Q9STX1	AT4G24230
Q9MA55	AT3G05420
Q8RWD9	AT5G27630
P57752	AT1G31812
Q38970	AT1G36160
F4I1L3	AT1G36180
Q9LD43	AT2G38040
O04983	AT5G35360
Q84MB3	AT1G06620
Q9C5K7	AT1G06640
Q8H1S4	AT1G06650
Q94A78	AT1G03400
Q43383	AT1G03410
P93824	AT1G04350
P93821	AT1G04380
Q9M2C4	AT3G61400
Q9LSW7	AT5G43440
Q9ZUN4	AT2G19590
Q41931	AT1G62380
O65378	AT1G12010
Q06588	AT1G05010
Q0WPW4	AT1G77330
Q9S7D9	AT3G09780
O80963	AT2G39180
Q9LY50	AT3G55950
Q9FIJ6	AT5G47850
P28297	AT3G21720
Q8L856	AT4G25570
Q9SWS1	AT5G38630
Q67ZF6	AT1G14730
Q9C540	AT1G26100
Q9LSW6	AT5G43450
Q9LTH8	AT5G59530
Q9LTH7	AT5G59540
Q9S7X6	AT5G19530
Q9SGY2	AT1G10670
O22718	AT1G60810
O80526	AT1G09430
Q9C522	AT3G06650
Q9FGX1	AT5G49460
Q9ZQP2	AT2G35690
Q42560	AT4G35830
Q9SIB9	AT2G05710
Q9LMI7	AT1G06310
Q94A28	AT4G26970
O65202	AT4G16760
O65201	AT5G65110
Q96329	AT3G51840
P11829	AT3G05020
P25701	AT1G54580
P25702	AT1G54630
P53665	AT2G44620
Q9LX29	AT3G59420
B9DGD6	AT5G36880
P53496	AT3G12110
P53497	AT3G46520
P0CJ46	AT2G37620
P0CJ46	AT3G53750
Q96292	AT3G18780
